user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-1.100744,1.743069,-3.876983,2.05678,0,0,0,0,
-1.100744,1.743069,-3.876983,2.05678,0,0,0,0,
-1.099641,1.741176,-2.348699,0.8828887,0.4755746,0.5464156,-1.248659,1.095259,
-1.098192,1.720898,-2.348665,0.8831644,0.4756376,0.5461042,-1.159877,1.098744,
-1.100017,1.722178,-2.348612,0.8833175,0.4756716,0.5460715,-1.149265,1.099782,
-1.101083,1.722765,-2.348785,0.8834274,0.4757639,0.5462668,-1.12739,1.101719,
-1.101523,1.722997,-2.348839,0.8834538,0.4757969,0.5462267,-1.116924,1.103115,
-1.102927,1.723332,-2.349019,0.8834864,0.4756873,0.546268,-1.084477,1.107343,
-1.103997,1.7234,-2.349049,0.8834132,0.4756611,0.546628,-1.063674,1.111576,
-1.104084,1.7234,-2.34841,0.8833662,0.475372,0.5466664,-0.9059352,1.143982,
-1.109107,1.728586,-2.348593,0.8833904,0.4753693,0.5466535,-0.8968735,1.144587,
-1.109713,1.729286,-2.348641,0.8834411,0.4752325,0.546505,-0.8801485,1.145032,
-1.110945,1.731265,-2.348623,0.8834549,0.4752149,0.5464799,-0.870699,1.144467,
-1.111579,1.73225,-2.348606,0.883461,0.475289,0.5466349,-0.8617336,1.143593,
-1.112155,1.733193,-2.348675,0.8837798,0.4752705,0.5466456,-0.8532313,1.142992,
-1.113986,1.735886,-2.348357,0.8833495,0.4752783,0.5466232,-0.8256161,1.13887,
-1.114434,1.736202,-2.348355,0.8833448,0.475285,0.5466688,-0.8252602,1.138854,
-1.11517,1.737186,-2.348675,0.8833175,0.4752725,0.5466609,-0.8153387,1.137492,
-1.116109,1.738064,-2.348658,0.8836554,0.4753847,0.5466559,-0.8063973,1.136296,
-1.116935,1.738873,-2.348652,0.8836843,0.4754003,0.5466273,-0.7968065,1.134846,
-1.117896,1.739772,-2.34829,0.8837692,0.4753927,0.5466218,-0.7866882,1.133432,
-1.118757,1.740557,-2.348291,0.8837134,0.4753869,0.5466142,-0.7772369,1.131915,
-1.120701,1.742471,-2.348236,0.8839415,0.4754173,0.546627,-0.7473479,1.127205,
-1.122351,1.743091,-2.348134,0.8840131,0.4754375,0.5464871,-0.7274674,1.124165,
-1.124199,1.742793,-2.348247,0.8837811,0.4754534,0.5463557,-0.7064413,1.121234,
-1.124685,1.742447,-2.348249,0.8837906,0.4754962,0.5463507,-0.7059941,1.121558,
-1.125533,1.742168,-2.348451,0.8837744,0.4755076,0.5463595,-0.6948901,1.12016,
-1.126213,1.742027,-2.348577,0.8835059,0.4755901,0.546351,-0.6847193,1.11889,
-1.126762,1.741866,-2.348587,0.8835009,0.4755515,0.5464351,-0.6742167,1.117584,
-1.127228,1.741354,-2.34839,0.8834102,0.475553,0.5464363,-0.6631845,1.116444,
-1.127601,1.741026,-2.348521,0.8831766,0.475507,0.5464993,-0.6531584,1.115769,
-1.128102,1.740716,-2.348504,0.8831962,0.4755652,0.5463941,-0.6426656,1.114833,
-1.128493,1.740346,-2.348735,0.8833594,0.4755659,0.5464044,-0.6315158,1.114256,
-1.129056,1.739962,-2.348736,0.8833824,0.4754053,0.5464528,-0.6214001,1.113725,
