chair to collider angle,table to collider angle,audience to collider angle,


33.84248,96.21885,33.84248,
33.84248,96.21885,33.84248,
24.13163,109.3121,53.44973,
38.21282,103.3884,104.9262,
30.69349,106.3973,99.30212,
29.15964,106.9292,98.11348,
27.64046,107.4505,96.93449,
26.13514,107.9706,95.76865,
24.64529,108.4582,94.60403,
23.16509,108.9036,93.42734,
21.69219,109.2931,92.23791,
20.30078,109.6033,91.09243,
18.96852,109.8752,89.98217,
4.390347,111.7427,77.34708,
3.944616,111.9691,76.84371,
3.755515,112.0415,76.60061,
3.180816,112.1164,75.78448,
2.95711,112.1623,75.32402,
2.965703,112.1573,75.36124,
2.918597,112.2077,75.14149,
2.904949,112.2583,74.94254,
2.924894,112.3194,74.73063,
2.968672,112.3734,74.53576,
3.027503,112.421,74.33718,
3.109358,112.4683,74.14735,
3.179708,112.5089,73.94218,
3.24938,112.5152,73.75597,
3.325666,112.5159,73.5825,
3.390902,112.5145,73.41754,
3.432222,112.4731,73.24448,
3.497208,112.4513,73.0864,
3.599674,112.4518,72.9161,
3.671359,112.3996,72.7242,
3.776106,112.3803,72.55027,
3.869182,112.3551,72.38056,
3.93099,112.3062,72.23183,
3.981871,112.2498,72.08917,
4.028808,112.1664,71.94196,
4.071695,112.0362,71.74167,
4.144206,111.9107,71.53157,
4.219558,111.7664,71.31598,
4.32178,111.6384,71.09683,
4.429034,111.5448,70.90903,
4.528224,111.4604,70.74641,
4.62402,111.3758,70.59357,
4.738715,111.2913,70.43047,
4.855872,111.2353,70.29153,
4.991868,111.1718,70.12828,
5.115769,111.1117,69.98284,
5.256951,111.105,69.84824,
5.40229,111.1268,69.73154,
5.522829,111.0726,69.59441,
5.642919,110.9806,69.43258,
5.796097,110.8592,69.23366,
5.968181,110.7759,69.03918,
6.172665,110.7265,68.8391,
6.407962,110.6872,68.61606,
6.648417,110.6197,68.37653,
6.897309,110.5352,68.11971,
7.195302,110.4036,67.7996,
7.468369,110.2681,67.50232,
7.748485,110.154,67.21028,
8.042933,110.0291,66.90588,
8.340755,109.8957,66.59883,
8.67138,109.7739,66.26958,
9.046872,109.6535,65.90146,
9.431548,109.5127,65.52097,
9.81011,109.3987,65.15431,
10.20467,109.239,64.75961,
10.59024,109.0992,64.37915,
11.00253,108.96,63.98317,
11.40481,108.8393,63.59681,
11.79897,108.7223,63.22477,
12.19126,108.6187,62.85281,
12.56255,108.5225,62.50394,
12.89942,108.4213,62.18294,
13.22293,108.3458,61.88138,
13.52577,108.2564,61.59242,
13.82071,108.1716,61.30759,
14.09435,108.1268,61.06146,
14.3589,108.0676,60.81728,
14.58947,108.0384,60.61476,
14.83688,108.0366,60.39819,
15.06567,107.9888,60.18942,
15.24994,107.9685,60.01905,
15.41952,107.9302,59.86117,
15.5504,107.9098,59.74651,
15.59458,107.8762,59.70849,
15.61652,107.8371,59.67918,
15.59269,107.7913,59.68892,
15.5677,107.7754,59.7216,
15.5178,107.8035,59.77599,
15.43408,107.8818,59.88866,
15.33238,107.9584,60.01406,
15.17223,108.0649,60.20087,
14.94777,108.1441,60.43054,
14.73852,108.1971,60.64212,
14.50439,108.2341,60.86504,
14.29274,108.2572,61.06947,
