user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-1.23604,1.651898,-3.876983,2.05678,0,0,0,0,
-1.23604,1.651898,-3.876983,2.05678,0,0,0,0,
-1.235275,1.651974,-2.341551,0.8183732,0.3264754,0.468981,-2.47401,0.6686175,
-1.200836,1.616734,-2.341579,0.8183165,0.3264986,0.4689732,-2.474457,0.6679661,
-1.197622,1.619175,-2.341594,0.8184795,0.326482,0.4689851,-2.474514,0.6679499,
-1.197249,1.619751,-2.341607,0.8184762,0.3264844,0.4689469,-2.474572,0.6678083,
-1.196856,1.62049,-2.341537,0.8184419,0.3265,0.4689498,-2.474539,0.6677577,
-1.196606,1.621253,-2.341536,0.8184152,0.3265098,0.4690185,-2.474382,0.6678088,
-1.196471,1.622026,-2.34154,0.8183963,0.3265121,0.4689798,-2.474386,0.6677382,
-1.196341,1.622903,-2.341491,0.8183625,0.3265506,0.4689913,-2.474394,0.667717,
-1.196706,1.623806,-2.341498,0.818331,0.3264743,0.4690094,-2.474417,0.6676872,
-1.19678,1.624608,-2.341497,0.8183105,0.3264666,0.4690275,-2.474391,0.6677959,
-1.196975,1.625535,-2.341612,0.8183715,0.3264607,0.468991,-2.474381,0.6679096,
-1.203541,1.63618,-2.341659,0.818269,0.3263829,0.4688907,-2.47447,0.6678047,
-1.203546,1.636858,-2.341653,0.8182967,0.3264344,0.4689429,-2.474437,0.6678834,
-1.203597,1.637187,-2.34163,0.8182995,0.3264273,0.4688962,-2.474303,0.6678925,
-1.203738,1.638253,-2.341601,0.8183079,0.3263815,0.4689729,-2.47439,0.6677983,
-1.203764,1.638797,-2.341661,0.8183722,0.3264089,0.46894,-2.474424,0.667737,
-1.203726,1.638746,-2.341649,0.8184574,0.3264103,0.4689679,-2.474486,0.6677511,
-1.203691,1.639159,-2.341657,0.8184323,0.3264204,0.4689879,-2.474531,0.6677377,
-1.203601,1.639482,-2.341675,0.8184142,0.3264232,0.4690559,-2.474473,0.6680136,
-1.203532,1.639753,-2.341658,0.8184493,0.3263929,0.4690726,-2.474491,0.6680002,
-1.203478,1.640073,-2.341702,0.8184004,0.326364,0.469059,-2.474571,0.6680121,
-1.203409,1.640318,-2.341709,0.818382,0.326349,0.4690945,-2.474572,0.6681156,
-1.203308,1.640585,-2.341676,0.818404,0.3263296,0.4691255,-2.474576,0.6681142,
-1.203058,1.640691,-2.341704,0.8186383,0.3264031,0.4693649,-2.474436,0.6682413,
-1.202888,1.640843,-2.3417,0.8186588,0.3264073,0.4692781,-2.474484,0.6681502,
-1.202827,1.640805,-2.341568,0.8182895,0.3264558,0.4690688,-2.474453,0.6681459,
-1.202593,1.640793,-2.341557,0.8183002,0.326503,0.4690518,-2.474335,0.6680598,
-1.202381,1.640817,-2.341546,0.8182926,0.3265108,0.469054,-2.474335,0.6680584,
-1.202309,1.640752,-2.341189,0.8181472,0.3266811,0.4690268,-2.474291,0.668011,
-1.202276,1.640602,-2.341152,0.8180447,0.3266049,0.4689074,-2.474258,0.6679633,
-1.202145,1.640541,-2.341093,0.8180144,0.3266253,0.4688382,-2.474283,0.6678207,
-1.202009,1.640586,-2.341336,0.818212,0.3265287,0.4688339,-2.474346,0.667829,
