pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.113356,3.982007,2.113356,0,4.507173,0,
2.113356,3.982007,2.113356,0,4.507173,0,
3.00378,3.141128,3.706375,1.376172,2.329544,2.58291,
2.894753,3.13409,3.491684,2.60908,3.149855,3.294836,
2.885508,3.146107,3.460002,2.605792,3.154306,3.27275,
2.884801,3.147596,3.451345,2.604207,3.156603,3.26219,
2.884171,3.148866,3.443452,2.603423,3.158926,3.253261,
2.883676,3.150223,3.435579,2.602721,3.161184,3.244226,
2.883111,3.151638,3.427838,2.602213,3.163269,3.236579,
2.882575,3.153105,3.419927,2.601869,3.165568,3.228657,
2.882125,3.154595,3.4122,2.601859,3.167621,3.221102,
2.88169,3.155908,3.301871,2.616476,3.220369,3.103949,
2.866058,3.173396,3.261147,2.619982,3.227796,3.09571,
2.865384,3.1741,3.254935,2.621803,3.231608,3.091178,
2.864306,3.174404,3.248731,2.623983,3.235434,3.087497,
2.863441,3.175137,3.242597,2.625907,3.239287,3.0834,
2.862854,3.175758,3.236631,2.627912,3.24308,3.079226,
2.862048,3.176167,3.230726,2.629842,3.246684,3.075201,
2.861275,3.176801,3.224901,2.631779,3.25029,3.071325,
2.860483,3.177315,3.219345,2.633781,3.253662,3.067583,
2.859704,3.177809,3.213546,2.636154,3.257394,3.064128,
2.858988,3.178391,3.207605,2.638068,3.260299,3.060448,
2.858283,3.178824,3.201877,2.640272,3.263698,3.056874,
2.857904,3.179562,3.196229,2.642604,3.266848,3.053455,
2.85707,3.179678,3.190586,2.644747,3.269345,3.050612,
2.856403,3.179959,3.185016,2.6471,3.271916,3.047534,
2.85569,3.180316,3.179353,2.649181,3.274523,3.044362,
2.854852,3.180592,3.173716,2.651242,3.276733,3.04162,
2.854197,3.180833,3.168171,2.653339,3.278443,3.038647,
2.853251,3.18098,3.162396,2.65519,3.280051,3.03576,
2.852177,3.18106,3.156346,2.656748,3.281362,3.032613,
2.851497,3.181145,3.150809,2.65808,3.282272,3.029122,
2.850458,3.181207,3.144871,2.659182,3.283045,3.025554,
2.849508,3.181127,3.139068,2.659607,3.282925,3.021542,
2.848569,3.180977,3.133125,2.660177,3.283032,3.01731,
2.847563,3.180787,3.127088,2.66045,3.282821,3.01302,
2.846464,3.180648,3.121186,2.660105,3.282168,3.008048,
2.845233,3.18028,3.114923,2.658927,3.280543,3.002523,
2.844158,3.180045,3.108656,2.658083,3.279596,2.996868,
2.842951,3.179561,3.102653,2.656641,3.278003,2.991118,
2.841657,3.17908,3.096527,2.655025,3.276236,2.984972,
2.84036,3.178479,3.090173,2.653238,3.274565,2.978558,
2.838989,3.177897,3.083766,2.650677,3.272421,2.971654,
2.837648,3.177397,3.077725,2.64839,3.270673,2.964842,
2.836297,3.17669,3.071353,2.646052,3.268846,2.957821,
2.834934,3.175983,3.064876,2.643375,3.266703,2.950804,
2.833386,3.175174,3.05834,2.640735,3.264443,2.943541,
2.832187,3.174627,3.051873,2.638161,3.262339,2.936283,
2.830629,3.17384,3.045219,2.635482,3.260137,2.929488,
2.829474,3.1731,3.039349,2.632842,3.257913,2.922418,
