chair to collider angle,table to collider angle,audience to collider angle,


76.9129,27.93602,76.9129,
76.9129,27.93602,76.9129,
60.11963,97.8215,36.09515,
22.11573,57.69744,14.25075,
23.01608,60.31375,11.6552,
23.00729,60.56593,11.33068,
23.02067,60.80993,11.02678,
23.06646,61.06335,10.75158,
23.13744,61.31912,10.46324,
23.22514,61.56459,10.20856,
23.3182,61.8044,9.964565,
23.41306,62.05171,10.30813,
25.51899,63.91032,9.748122,
25.58644,63.8849,9.899721,
25.66943,63.87007,10.06251,
25.77817,63.86743,10.24006,
25.92608,63.86489,10.46584,
26.1321,63.89889,10.71979,
26.36594,63.95127,10.98312,
26.60865,64.01673,11.23917,
26.82281,64.08664,11.464,
27.02841,64.1732,11.64875,
27.21858,64.24763,11.83914,
27.41526,64.34389,12.00661,
27.62216,64.44839,12.18065,
27.83172,64.56718,12.33914,
28.02953,64.67302,12.50434,
28.23061,64.7885,12.65552,
28.43257,64.90671,12.8139,
28.63024,65.03564,12.95505,
28.81845,65.1621,13.0934,
29.03808,65.29921,13.26028,
29.23392,65.42529,13.41994,
29.42144,65.54279,13.58194,
29.63282,65.67863,13.754,
29.86174,65.81571,13.94716,
30.08992,65.96732,14.13716,
30.31891,66.11339,14.33424,
30.54781,66.26585,14.52308,
30.77057,66.42684,14.69859,
30.9635,66.56361,14.87371,
31.17574,66.71327,15.05473,
31.42924,66.89669,15.2415,
31.71729,67.08737,15.47816,
32.04619,67.3165,15.71918,
32.41383,67.56391,15.98376,
32.76322,67.81499,16.23625,
33.0798,68.05001,16.45291,
33.37553,68.29214,16.61705,
33.64615,68.51783,16.78543,
33.93003,68.77197,16.93224,
34.18806,69.00771,17.05605,
34.43002,69.24072,17.16799,
34.64337,69.4565,17.26899,
34.85858,69.6748,17.36335,
35.10996,69.93428,17.47099,
35.38049,70.22351,17.55848,
35.69514,70.57167,17.61637,
35.99927,70.91972,17.67656,
36.29776,71.2711,17.70656,
36.58925,71.63551,17.69089,
36.87646,72.01117,17.68854,
37.19916,72.45643,17.62972,
37.5891,72.9594,17.58442,
38.04357,73.54138,17.56808,
38.5356,74.16951,17.55546,
39.07337,74.82623,17.59143,
39.6246,75.50037,17.65511,
40.20592,76.18363,17.75827,
40.75643,76.83488,17.86474,
41.31493,77.48673,18.02735,
41.83604,78.10758,18.15074,
42.33121,78.69994,18.41091,
42.78037,79.24092,18.47646,
43.23011,79.76646,18.63114,
43.65756,80.2675,18.90221,
44.034,80.7107,18.97818,
44.37157,81.12158,19.10121,
44.69679,81.52608,19.25224,
45.02141,81.92304,19.38177,
45.30735,82.2887,19.3814,
45.59549,82.65421,19.49194,
45.85485,83.01449,19.56171,
46.08316,83.362,19.50944,
46.3686,83.74205,19.61809,
46.7553,84.15423,19.86001,
47.15731,84.57189,20.12114,
47.54837,84.98933,20.39054,
47.93781,85.40527,20.6433,
48.33919,85.82711,20.88288,
48.77444,86.27729,21.24919,
49.26801,86.7654,21.60878,
49.75874,87.27065,21.95624,
50.2386,87.75977,22.26749,
50.7183,88.26245,22.58955,
51.17412,88.75571,22.88742,
51.62432,89.24489,23.15147,
52.06978,89.73661,23.43419,
52.52642,90.23215,23.73184,
