pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.644429,3.339246,1.644429,0,4.507173,0,
1.644429,3.339246,1.644429,0,4.507173,0,
2.625118,2.482368,2.979646,2.016225,1.880547,3.117063,
2.634669,2.514451,3.016327,2.334101,2.368123,3.035341,
2.637635,2.516046,3.018883,2.335582,2.367877,3.037305,
2.638609,2.516138,3.018807,2.336189,2.367693,3.037402,
2.638919,2.515739,3.019785,2.335856,2.365226,3.037264,
2.639371,2.515431,3.019777,2.336624,2.36427,3.036433,
2.641237,2.514991,3.020848,2.338516,2.360779,3.03477,
2.641337,2.514809,3.020388,2.338518,2.360371,3.034335,
2.642053,2.515068,3.039581,2.349779,2.321519,3.011345,
2.665188,2.510867,3.011333,2.350444,2.318442,3.008604,
2.667707,2.510282,3.008708,2.353113,2.313376,3.002202,
2.66877,2.509748,3.007839,2.355302,2.310952,2.99865,
2.669995,2.509049,3.006358,2.357649,2.308347,2.99448,
2.673157,2.507266,3.003055,2.365358,2.300723,2.981769,
2.674749,2.506192,3.000411,2.372264,2.2955,2.97028,
2.674666,2.505989,2.999399,2.373392,2.295549,2.968163,
2.675413,2.505168,2.998174,2.376061,2.291175,2.96196,
2.676151,2.504223,2.996384,2.380824,2.289149,2.955011,
2.676907,2.503448,2.994937,2.385134,2.286747,2.948396,
2.677976,2.502126,2.992962,2.389184,2.28309,2.941296,
2.678717,2.501234,2.990835,2.393992,2.281021,2.93382,
2.681387,2.499047,2.984312,2.408272,2.275251,2.91171,
2.683495,2.49771,2.979109,2.418251,2.272585,2.896914,
2.68563,2.496807,2.974157,2.426414,2.268863,2.883008,
2.687958,2.496167,2.968536,2.436123,2.268835,2.869727,
2.690361,2.495497,2.962484,2.445732,2.26897,2.856434,
2.690552,2.495212,2.961912,2.445462,2.27015,2.857517,
2.691803,2.494877,2.958833,2.449592,2.270578,2.851933,
2.693087,2.494653,2.955642,2.453657,2.270979,2.84628,
2.694334,2.494463,2.952247,2.457818,2.271835,2.840591,
2.695486,2.494138,2.948595,2.460965,2.27277,2.835946,
2.696718,2.493824,2.944683,2.464033,2.273645,2.831186,
2.698344,2.493623,2.940427,2.467265,2.274987,2.826519,
2.699632,2.493439,2.935936,2.469972,2.275795,2.821642,
2.703659,2.492936,2.921901,2.476247,2.277945,2.807797,
2.704021,2.493241,2.921216,2.475432,2.277846,2.808039,
2.70556,2.493264,2.915807,2.476996,2.278387,2.803219,
2.707047,2.493181,2.910271,2.477615,2.277802,2.798375,
2.708776,2.493166,2.904911,2.479104,2.277992,2.793497,
2.710555,2.4932,2.898606,2.480517,2.278183,2.787823,
2.712363,2.493181,2.892406,2.482816,2.278821,2.781636,
2.713994,2.493266,2.886305,2.48407,2.278745,2.776012,
2.718997,2.493255,2.867079,2.48735,2.277332,2.757748,
2.722433,2.494542,2.853143,2.488973,2.276036,2.744361,
2.726009,2.495309,2.838958,2.492454,2.275536,2.729961,
2.726106,2.494797,2.838287,2.492639,2.275007,2.729281,
2.727514,2.494985,2.831171,2.49449,2.27422,2.72138,
2.729224,2.495248,2.824202,2.511632,2.28959,2.710524,
