chair to collider angle,table to collider angle,audience to collider angle,


77.54205,138.6923,77.54205,
77.54205,138.6923,77.54205,
27.7394,69.87865,138.4734,
18.58706,51.91919,118.789,
20.94173,49.79063,116.4209,
21.15931,48.91547,115.4578,
21.26734,48.43975,114.8848,
21.39431,47.93279,114.2961,
21.87499,46.39032,112.5051,
21.8383,46.29601,112.4294,
22.00684,45.70393,110.6926,
29.5702,36.16426,101.3572,
30.4497,35.24035,100.3372,
30.84655,34.8049,99.84699,
31.23377,34.36704,99.36737,
32.2433,33.02693,97.93221,
32.72049,32.20272,97.09191,
32.65629,32.22065,97.12434,
32.95358,31.8223,96.70845,
33.26125,31.43931,96.30164,
33.58444,31.04662,95.88594,
33.90395,30.63294,95.45722,
34.20808,30.20281,95.01665,
35.13797,28.92034,93.69305,
35.73087,28.12716,92.86445,
36.29045,27.43099,92.11408,
36.82947,26.78099,91.41306,
37.41616,26.12693,90.70532,
37.42733,26.16448,90.7405,
37.71404,25.85495,90.40403,
38.00189,25.53396,90.06466,
38.32254,25.19373,89.7011,
38.6442,24.8391,89.33115,
39.00084,24.45091,88.93959,
39.38715,24.01223,88.48786,
39.76852,23.55082,88.0211,
40.9772,22.00546,86.47433,
41.02373,21.87392,86.35316,
41.46313,21.28948,85.77293,
41.93511,20.67293,85.16094,
42.40791,20.07966,84.55859,
42.93419,19.47291,83.93428,
43.4593,18.91665,83.34293,
44.00096,18.37137,82.75425,
45.5778,16.80311,81.03769,
46.5966,15.6985,79.86382,
47.55586,14.59077,78.71808,
47.55272,14.55894,78.70926,
48.07986,14.01553,78.1267,
48.61227,13.4809,77.53191,
49.16299,12.91945,76.91581,
49.73772,12.32434,76.26437,
50.2895,11.72101,75.60997,
51.98104,9.820687,73.54497,
52.0067,9.733024,73.47195,
52.56643,9.068218,72.74545,
53.14095,8.416526,72.02175,
53.70285,7.762834,71.28161,
54.25684,7.152504,70.56587,
54.81998,6.60441,69.86082,
56.46067,5.341921,67.84792,
57.4291,4.882948,66.70527,
58.27285,4.777047,65.75081,
58.17155,4.871179,65.91325,
58.54164,4.96349,65.54086,
58.88177,5.108027,65.21854,
59.16051,5.262241,64.96012,
59.91319,5.646635,64.20947,
60.11497,5.842813,64.02274,
60.01044,5.844591,64.14983,
60.13323,6.010435,64.06786,
60.51707,6.512406,63.81019,
60.63049,6.788564,63.78873,
60.63979,6.909782,63.82294,
60.60802,6.98539,63.90024,
60.55664,6.942972,63.94851,
60.52828,6.965734,63.9988,
60.48344,6.97066,64.05967,
60.32121,6.936075,64.24275,
60.11144,6.832624,64.44484,
59.8443,6.681579,64.69299,
59.79324,6.655345,64.73926,
59.64074,6.601885,64.89175,
59.48977,6.54826,65.04351,
59.31983,6.493047,65.20832,
59.13242,6.412519,65.38364,
58.93691,6.349774,65.57895,
58.73073,6.267383,65.76604,
58.51612,6.207283,65.97814,
58.31125,6.166119,66.19263,
58.08071,6.127463,66.42857,
57.84362,6.10615,66.67765,
57.6076,6.111445,66.93866,
57.36195,6.128103,67.20785,
57.10393,6.169139,67.4935,
56.85698,6.23165,67.76863,
56.60347,6.315096,68.0539,
56.351,6.396783,68.33382,
56.10637,6.490298,68.59874,
