chair to collider angle,table to collider angle,audience to collider angle,


63.77764,169.8956,63.77764,
63.77764,169.8956,63.77764,
39.41552,31.75286,102.2198,
62.4466,41.39528,95.75456,
63.4008,44.27402,97.08073,
63.80795,44.99121,97.23473,
64.01223,45.35163,97.26092,
64.68417,46.41838,97.28728,
65.14685,47.09474,97.2505,
65.11823,47.03951,95.99021,
65.61788,47.56411,95.77858,
65.55202,47.40991,95.61506,
65.48759,47.25317,95.42736,
65.4141,47.08028,95.22388,
65.35383,46.8887,95.01651,
65.29832,46.7146,94.80896,
65.22024,46.51381,94.57465,
65.1403,46.31631,94.36491,
65.07343,46.09363,94.1359,
64.99967,45.85093,93.88055,
64.94004,45.60004,93.62704,
64.87537,45.3342,93.36292,
64.80522,45.05419,93.0694,
64.74381,44.7783,92.79903,
64.65706,44.47471,92.53404,
64.58345,44.19154,92.24983,
64.52573,43.90342,91.97713,
64.47282,43.61361,91.70302,
64.41675,43.34417,91.41552,
64.36562,43.07455,91.1507,
64.31735,42.81996,90.87759,
64.25507,42.53817,90.60448,
64.19279,42.24803,90.34193,
64.11454,41.94245,90.07576,
64.02563,41.614,89.7527,
63.94873,41.27957,89.46553,
63.87682,40.93452,89.17057,
63.79699,40.5548,88.82905,
63.68621,40.12794,88.47211,
63.55784,39.64074,88.11498,
63.40708,39.09553,87.69565,
63.21495,38.44831,87.27124,
62.97995,37.73405,86.83647,
62.73167,36.95267,86.32127,
62.46453,36.11827,85.82468,
62.18205,35.23667,85.30079,
61.91055,34.35748,84.76087,
61.63481,33.43731,84.18114,
61.3817,32.52731,83.62762,
61.14698,31.6202,83.07896,
60.94508,30.70598,82.5086,
60.74249,29.81438,81.95198,
60.53619,28.89351,81.37881,
60.3261,27.94554,80.81337,
60.10023,26.97698,80.25,
59.87887,26.01457,79.69756,
59.69778,25.09064,79.14393,
59.60748,24.25464,78.59893,
59.58783,23.48498,78.03555,
59.65564,22.82451,77.49429,
59.75843,22.20124,76.94151,
59.86482,21.58058,76.39884,
59.93258,20.94474,75.87649,
59.99186,20.29627,75.36114,
60.03874,19.65149,74.86092,
60.09016,19.02583,74.39024,
60.14125,18.43892,73.94173,
60.18757,17.8746,73.50214,
60.22508,17.33566,73.09364,
60.27321,16.81488,72.70664,
60.31689,16.33543,72.33324,
60.37613,15.87262,71.95207,
60.44127,15.46074,71.61591,
60.50614,15.07332,71.30571,
60.57172,14.71867,71.00037,
60.6088,14.34519,70.72437,
60.6138,13.96966,70.44461,
60.59927,13.58956,70.19953,
60.59257,13.21019,69.96991,
60.5705,12.84199,69.72089,
60.54436,12.48002,69.50565,
60.5266,12.11714,69.29822,
60.51058,11.76147,69.06689,
60.4768,11.40164,68.8696,
60.47877,11.04655,68.6497,
60.47044,10.69658,68.42509,
60.45791,10.36485,68.23833,
60.4757,10.03619,68.03189,
60.4996,9.742271,67.82453,
60.55509,9.498998,67.6213,
60.64756,9.301364,67.42821,
60.75418,9.17858,67.23299,
60.8969,9.100469,67.04868,
61.04713,9.052561,66.84459,
61.19815,9.03083,66.67075,
61.33514,9.008175,66.51444,
61.47771,9.001869,66.39317,
61.60368,8.986075,66.26242,
61.70937,8.974282,66.16502,
