user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-1.463537,1.596279,-3.876983,2.05678,0,0,0,0,
-1.463537,1.596279,-3.876983,2.05678,0,0,0,0,
-1.463125,1.596549,1.176438,0.89263,1.534394,0.4729013,-2.48246,0.8225791,
-1.439836,1.568143,1.176306,0.8923178,1.534521,0.4730091,-2.482062,0.8208501,
-1.410665,1.561899,1.176478,0.892598,1.534545,0.4727974,-2.482144,0.8211265,
-1.401606,1.561097,1.176367,0.8924496,1.534172,0.4730172,-2.482154,0.8211844,
-1.396834,1.560829,1.176329,0.8929609,1.534188,0.4730151,-2.482025,0.8208385,
-1.382345,1.559799,1.17612,0.8928409,1.534354,0.4730089,-2.481918,0.8204894,
-1.372,1.559478,1.176156,0.8925391,1.534326,0.4728508,-2.481945,0.8207395,
-1.371626,1.559745,1.176155,0.8925362,1.534416,0.4728799,-2.481951,0.8207624,
-1.3665,1.559401,1.176527,0.8931031,1.534135,0.4727645,-2.482219,0.8212242,
-1.268172,1.553885,1.176271,0.8928628,1.534088,0.4727671,-2.482242,0.8213732,
-1.263604,1.553655,1.17624,0.8928462,1.534294,0.4726365,-2.482145,0.8210168,
-1.25925,1.553372,1.176687,0.8930243,1.534377,0.4726548,-2.482173,0.8211241,
-1.245896,1.552727,1.176497,0.8928075,1.534756,0.4731028,-2.482144,0.8212774,
-1.237928,1.552958,1.176551,0.8927022,1.534705,0.472831,-2.482178,0.8216081,
-1.238328,1.553306,1.176551,0.8927088,1.534586,0.4729314,-2.482132,0.8214242,
-1.23441,1.5537,1.176773,0.8929865,1.534687,0.4729648,-2.482222,0.8214855,
-1.230625,1.554092,1.176656,0.8928305,1.534657,0.4728594,-2.482277,0.8216584,
-1.226871,1.554545,1.176636,0.8927834,1.534642,0.4728541,-2.482133,0.8211174,
-1.223501,1.554872,1.176836,0.8930124,1.534699,0.472868,-2.482212,0.8211493,
-1.21991,1.555331,1.176668,0.8928175,1.534605,0.4726441,-2.482193,0.8211195,
-1.216399,1.555847,1.176646,0.8927716,1.534576,0.4726293,-2.482139,0.8209605,
-1.212902,1.556366,1.176792,0.892976,1.534531,0.4725754,-2.482142,0.8210216,
-1.209385,1.556817,1.176553,0.8927441,1.534613,0.4726791,-2.482143,0.8209751,
-1.206029,1.557344,1.176532,0.8927128,1.534607,0.4726956,-2.482666,0.8230093,
-1.202845,1.557717,1.176824,0.8930467,1.534618,0.4726903,-2.482722,0.823055,
-1.199839,1.558401,1.176557,0.8927863,1.534621,0.472672,-2.482733,0.8232689,
-1.196523,1.558803,1.176518,0.8927926,1.53465,0.4726839,-2.482757,0.8234468,
-1.193409,1.559101,1.176702,0.8930995,1.534476,0.4727032,-2.482783,0.82357,
-1.190149,1.559359,1.176482,0.8928857,1.534501,0.4727921,-2.4829,0.8238208,
-1.186992,1.559654,1.176438,0.8928623,1.5345,0.4727571,-2.482962,0.8240259,
-1.184054,1.559834,1.176676,0.8930707,1.5345,0.4727678,-2.483101,0.8242419,
-1.181063,1.560181,1.17638,0.8927935,1.534456,0.4727519,-2.483099,0.8244686,
-1.178019,1.560494,1.176337,0.892771,1.534575,0.4727564,-2.482968,0.824687,
