pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.124127,2.728679,2.124127,0,4.507173,0,
2.124127,2.728679,2.124127,0,4.507173,0,
3.54193,3.160434,3.243772,1.939721,1.756392,2.984478,
3.209842,2.799111,3.161308,2.881531,2.563585,3.029339,
3.209993,2.798736,3.160554,2.882113,2.563617,3.027671,
3.210472,2.799128,3.160143,2.882622,2.563877,3.027333,
3.21074,2.799421,3.158734,2.883331,2.564359,3.026869,
3.211804,2.800381,3.155396,2.885816,2.566075,3.025573,
3.212478,2.801022,3.153229,2.888678,2.568353,3.026069,
3.212645,2.800683,3.120856,2.913012,2.586552,3.022647,
3.225404,2.812603,3.131862,2.913906,2.587129,3.02083,
3.22622,2.813394,3.130415,2.914418,2.587574,3.018913,
3.227138,2.814077,3.12833,2.915492,2.588341,3.016907,
3.228081,2.814928,3.126274,2.915739,2.588466,3.014287,
3.228985,2.815776,3.12436,2.91631,2.58893,3.011826,
3.229676,2.816696,3.121679,2.916597,2.589392,3.008709,
3.230458,2.817612,3.119182,2.917119,2.590081,3.005436,
3.231058,2.818201,3.116371,2.917566,2.590525,3.002141,
3.231931,2.818954,3.113027,2.918159,2.591025,2.998257,
3.23256,2.819498,3.109363,2.918828,2.591685,2.994003,
3.2331,2.820033,3.10548,2.919504,2.592418,2.989673,
3.233501,2.820462,3.100954,2.920196,2.593188,2.984885,
3.233866,2.820921,3.096436,2.920704,2.593841,2.980124,
3.234113,2.82115,3.091364,2.921328,2.594495,2.974873,
3.234248,2.821259,3.085917,2.92199,2.59518,2.969332,
3.234296,2.821409,3.080642,2.922215,2.595593,2.963635,
3.234557,2.821679,3.07564,2.922581,2.595975,2.95825,
3.234608,2.821713,3.070546,2.923389,2.596762,2.953236,
3.234781,2.821976,3.065512,2.923459,2.59696,2.947646,
3.234646,2.821935,3.06041,2.923437,2.597072,2.942263,
3.234697,2.821879,3.055092,2.923629,2.597135,2.936644,
3.234805,2.821917,3.050026,2.923592,2.597117,2.930827,
3.23489,2.822035,3.044716,2.923637,2.597267,2.924989,
3.234822,2.822756,3.039871,2.923026,2.597451,2.919204,
3.235003,2.82295,3.035169,2.922837,2.597371,2.913645,
3.235166,2.823147,3.030528,2.922663,2.597314,2.908223,
3.235465,2.823557,3.026064,2.922343,2.597233,2.90272,
3.235644,2.823752,3.021477,2.922008,2.597008,2.897352,
3.235871,2.823918,3.017117,2.921744,2.596786,2.892272,
3.236182,2.824319,3.012856,2.921763,2.597024,2.887336,
3.236491,2.824667,3.008568,2.921499,2.596874,2.882407,
3.236818,2.824914,3.00422,2.921442,2.596857,2.877439,
3.237086,2.825217,3.000126,2.921284,2.59685,2.872772,
3.237362,2.825436,2.996059,2.921033,2.596667,2.86807,
3.237839,2.825954,2.992179,2.921002,2.59678,2.863461,
3.238086,2.826426,2.988462,2.921441,2.597496,2.859422,
3.238494,2.826828,2.984945,2.921395,2.597576,2.85507,
3.238619,2.827049,2.981338,2.921588,2.597959,2.851012,
3.238935,2.827527,2.977949,2.921626,2.598274,2.846842,
3.239142,2.827908,2.974528,2.921943,2.598832,2.843021,
