chair to collider angle,table to collider angle,audience to collider angle,


49.18356,162.7443,49.18356,
49.18356,162.7443,49.18356,
39.78657,28.77027,89.62122,
20.13064,12.26927,74.11515,
20.33255,12.64451,74.04726,
20.61056,13.12203,74.15331,
20.78259,13.42838,74.18621,
21.39934,14.39659,74.3578,
22.05953,15.21699,74.71854,
22.14263,15.21872,73.27109,
27.94205,20.63805,78.578,
28.19955,20.83898,78.74401,
28.46751,21.06412,78.92672,
28.70368,21.25435,79.07263,
28.94827,21.45479,79.2222,
29.16277,21.63521,79.35056,
29.38011,21.82103,79.47733,
29.58776,22.0016,79.59087,
29.78147,22.16516,79.69292,
29.94365,22.28914,79.76764,
30.05804,22.37332,79.79281,
30.12205,22.41447,79.76517,
30.14469,22.41577,79.69729,
30.11504,22.37595,79.57652,
30.02477,22.29558,79.38674,
29.90492,22.18889,79.17094,
29.70395,22.00447,78.86826,
29.51156,21.82691,78.57852,
29.25195,21.58345,78.22278,
28.99225,21.34479,77.87115,
28.67691,21.06,77.45946,
28.38736,20.81152,77.07044,
28.07942,20.55001,76.67171,
27.78799,20.29507,76.28057,
27.49357,20.03926,75.8958,
27.21519,19.79585,75.52631,
26.95645,19.56664,75.17867,
26.72043,19.34382,74.86913,
26.50284,19.14183,74.57458,
26.29159,18.93218,74.2902,
26.09579,18.72642,74.02882,
25.92442,18.54065,73.79095,
25.75238,18.34847,73.55305,
25.60198,18.18402,73.34078,
25.45667,18.02716,73.12363,
25.34734,17.90091,72.94004,
25.2418,17.78163,72.75912,
25.14801,17.6736,72.59514,
25.07371,17.5703,72.44765,
24.99683,17.45051,72.30456,
24.91046,17.29905,72.15175,
24.82185,17.13201,72.00664,
24.7214,16.9297,71.84957,
24.60122,16.71265,71.67907,
24.47174,16.49684,71.49287,
24.35596,16.3024,71.3145,
24.20209,16.09418,71.09863,
24.04285,15.89856,70.87196,
23.87389,15.69839,70.63321,
23.69483,15.49856,69.83849,
23.49163,15.2804,69.56215,
23.26394,15.05213,69.25993,
23.02729,14.8265,68.95354,
22.77427,14.59307,68.61714,
22.47686,14.33548,68.23572,
22.1663,14.0673,67.8455,
21.77225,13.74167,67.37316,
21.35652,13.39493,66.87273,
20.90668,13.01082,66.35139,
20.39739,12.58249,65.76113,
19.86956,12.13416,65.14976,
19.29499,11.64662,64.49102,
18.71883,11.18185,63.82927,
18.11348,10.69078,63.13126,
17.47154,10.18412,62.40909,
16.77892,9.625921,61.6288,
16.04903,9.027218,60.8181,
15.29797,8.404781,59.98918,
14.53529,7.796666,59.13712,
13.75903,7.244404,58.26517,
12.98051,6.781279,57.39436,
12.19175,6.411204,56.50883,
11.3634,6.147778,55.57652,
10.54861,6.006487,54.66319,
9.746307,6.005377,53.756,
8.971129,6.10371,52.87526,
8.240405,6.284971,52.03275,
7.525352,6.521403,51.20926,
6.838937,6.802561,50.40519,
6.207662,7.083909,49.65496,
5.59079,7.396188,48.90996,
5.038785,7.699011,48.21211,
4.538766,8.011826,47.57306,
4.082119,8.331002,46.97131,
3.692948,8.615844,46.42485,
3.356722,8.864967,45.92944,
3.095792,9.05829,45.49311,
2.881403,9.224752,45.10582,
2.683944,9.384164,44.71754,
