pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.701272,4.39541,1.701272,0,4.507173,0,
1.701272,4.39541,1.701272,0,4.507173,0,
1.701512,4.395347,1.701512,0,4.507173,0,
1.699045,4.390885,1.699045,1.568447,4.229327,1.568447,
1.69485,4.390251,1.69485,1.56809,4.228645,1.56809,
1.694455,4.390277,1.694455,1.567996,4.228411,1.567996,
1.694445,4.39039,1.694445,1.567994,4.22812,1.567994,
1.694144,4.390636,1.694144,1.567897,4.22797,1.567897,
1.694105,4.390608,1.694105,1.567935,4.227662,1.567935,
1.694059,4.390537,1.694059,1.567848,4.227764,1.567848,
1.693891,4.390548,1.693891,1.566112,4.227161,1.566112,
1.694035,4.391173,1.694035,1.566083,4.227151,1.566083,
1.694316,4.391035,1.694316,1.565975,4.227106,1.565975,
1.694526,4.390984,1.694526,1.565802,4.227162,1.565802,
1.694662,4.390663,1.694662,1.565313,4.227352,1.565313,
1.695114,4.390196,1.695114,1.564935,4.227338,1.564935,
1.695603,4.38984,1.695603,1.56463,4.227126,1.56463,
1.696049,4.389383,1.696049,1.564162,4.226944,1.564162,
1.696629,4.388868,1.696629,1.563019,4.226367,1.563019,
1.69712,4.388377,1.69712,1.562018,4.225437,1.562018,
1.697566,4.388012,1.697566,1.560981,4.224326,1.560981,
1.698052,4.387667,1.698052,1.559937,4.223137,1.559937,
1.698361,4.387156,1.698361,1.558956,4.221873,1.558956,
1.698904,4.386757,1.698904,1.557936,4.220809,1.557936,
1.699532,4.38644,1.699532,1.557104,4.219687,1.557104,
1.700086,4.386414,1.700086,1.556151,4.219192,1.556151,
1.700508,4.38615,1.700508,1.555678,4.218555,1.555678,
1.701066,4.385743,1.701066,1.555297,4.218099,1.555297,
1.701373,4.385245,1.701373,1.555232,4.217719,1.555232,
1.701936,4.384776,1.701936,1.555081,4.217476,1.555081,
1.702639,4.38414,1.702639,1.555002,4.217518,1.555002,
1.703147,4.383678,1.703147,1.555118,4.217619,1.555118,
1.703702,4.382964,1.703702,1.555527,4.217861,1.555527,
1.704382,4.382236,1.704382,1.556159,4.217501,1.556159,
1.704546,4.381567,1.704546,1.556598,4.217651,1.556598,
1.70469,4.381109,1.70469,1.557016,4.217778,1.557016,
1.704951,4.380498,1.704951,1.557509,4.21829,1.557509,
1.705089,4.380149,1.705089,1.558139,4.218664,1.558139,
1.705194,4.37977,1.705194,1.558885,4.218957,1.558885,
1.705228,4.379463,1.705228,1.559609,4.219385,1.559609,
1.705271,4.378933,1.705271,1.560205,4.219548,1.560205,
1.705233,4.378628,1.705233,1.560982,4.220077,1.560982,
1.705017,4.378408,1.705017,1.561551,4.220691,1.561551,
1.704844,4.377971,1.704844,1.562241,4.221337,1.562241,
1.704785,4.377632,1.704785,1.562834,4.222124,1.562834,
1.704634,4.377308,1.704634,1.563705,4.22306,1.563705,
1.704498,4.377094,1.704498,1.564535,4.224029,1.564535,
1.704345,4.376663,1.704345,1.565448,4.225141,1.565448,
1.704216,4.376286,1.704216,1.56637,4.226297,1.56637,
1.70431,4.375858,1.70431,1.566864,4.227545,1.566864,
