chair to collider angle,table to collider angle,audience to collider angle,


68.40779,144.5002,68.40779,
68.40779,144.5002,68.40779,
33.45504,138.5648,6.745059,
113.1454,88.98177,90.62589,
110.9247,89.22346,88.71791,
110.3572,89.45029,88.18578,
110.1195,89.60332,87.9313,
109.5877,90.09602,87.3385,
109.4441,90.48116,87.09989,
109.4883,90.45779,87.14194,
109.369,90.59052,86.97128,
108.674,91.67478,86.09682,
108.654,91.70547,86.08661,
108.6433,91.7304,86.07106,
108.6168,91.75058,86.04521,
108.62,91.74677,86.05413,
108.6084,91.73948,86.04808,
108.5947,91.72698,86.0416,
108.5967,91.71167,86.05871,
108.6103,91.70034,86.08011,
108.6089,91.67804,86.08942,
108.6397,91.63799,86.12981,
108.6452,91.60869,86.15878,
108.6554,91.56512,86.17922,
108.6451,91.53759,86.20361,
108.646,91.51953,86.22424,
108.6415,91.49042,86.23754,
108.6457,91.47329,86.26894,
108.6498,91.46041,86.28722,
108.6334,91.44806,86.28414,
108.6557,91.44019,86.30784,
108.6573,91.43669,86.3102,
108.6645,91.40745,86.32746,
108.6742,91.38162,86.35446,
108.6905,91.34695,86.38145,
108.7129,91.28112,86.41206,
108.7229,91.23963,86.43825,
108.7132,91.18156,86.45779,
108.7152,91.11434,86.47755,
108.6925,91.0602,86.48609,
108.6598,91.00282,86.48025,
108.6305,90.92537,86.47006,
108.5582,90.86922,86.43499,
108.4872,90.79656,86.39225,
108.3942,90.73477,86.32574,
108.2852,90.67054,86.24794,
108.1268,90.59412,86.1335,
107.8934,90.51416,85.95207,
107.6426,90.44374,85.76345,
107.3506,90.3627,85.53832,
107.0594,90.27644,85.30479,
106.7162,90.18364,85.04289,
106.3488,90.07066,84.76102,
105.9592,89.94188,84.45734,
105.5337,89.80776,84.13671,
105.0841,89.67422,83.78835,
104.6377,89.58549,83.43304,
104.1836,89.53143,83.06806,
103.7223,89.51392,82.68204,
103.2643,89.48918,82.29594,
102.787,89.46387,81.90481,
102.2741,89.43684,81.48351,
101.7104,89.43462,81.0068,
101.1062,89.44746,80.5043,
100.4349,89.48143,79.94304,
99.78455,89.49331,79.40638,
99.12756,89.48595,78.88044,
98.47597,89.49474,78.35154,
97.79711,89.4994,77.80949,
97.0905,89.54394,77.24716,
96.38424,89.57274,76.68336,
95.72939,89.58346,76.1572,
95.09252,89.62556,75.658,
94.58782,89.69461,75.22681,
94.14071,89.78643,74.84023,
93.78436,89.89757,74.53201,
93.48042,89.98911,74.27002,
93.22045,90.07413,74.03546,
92.95131,90.16916,73.80254,
92.70599,90.25234,73.58129,
92.4663,90.36157,73.35276,
92.22578,90.50911,73.11413,
91.99244,90.61741,72.8979,
91.75752,90.73357,72.66909,
91.54639,90.86395,72.46352,
91.35289,91.01488,72.26747,
91.16959,91.14242,72.0779,
90.99644,91.32641,71.88818,
90.83688,91.47964,71.71355,
90.6739,91.6437,71.52419,
90.51411,91.81179,71.34898,
90.35157,91.97494,71.15272,
90.19061,92.13799,70.95659,
90.00724,92.36655,70.72484,
89.79068,92.60576,70.46623,
89.55282,92.85963,70.17411,
89.28206,93.1628,69.8404,
89.01061,93.43032,69.52392,
88.69787,93.73733,69.15963,
