user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.2220508,1.626952,-3.876983,2.05678,0,0,0,0,
0.2220508,1.626952,-3.876983,2.05678,0,0,0,0,
0.2221247,1.627133,-1.929911,0.8909714,-0.8636915,0.5513797,-1.067383,1.11385,
0.2218298,1.628466,-1.929726,0.891127,-0.8635488,0.5516355,-1.326717,1.095098,
0.2226971,1.627693,-1.929743,0.8909807,-0.8635378,0.5515285,-1.344666,1.098127,
0.2227992,1.627737,-1.92976,0.8909688,-0.8634733,0.5513718,-1.352723,1.100206,
0.2228324,1.627647,-1.929753,0.8910379,-0.8634605,0.5513217,-1.360261,1.102662,
0.2228709,1.627718,-1.929766,0.8908294,-0.8634724,0.551125,-1.381751,1.109445,
0.2229169,1.62771,-1.929816,0.8908379,-0.8635797,0.5510447,-1.388104,1.11145,
0.2228787,1.627899,-1.929637,0.8910931,-0.8633491,0.5509958,-1.515919,1.119345,
0.2221361,1.628437,-1.929563,0.8909627,-0.8633254,0.5510287,-1.52871,1.118135,
0.221769,1.628466,-1.929542,0.8909642,-0.8633724,0.5510008,-1.535101,1.116907,
0.2216668,1.628494,-1.929213,0.8909006,-0.8629875,0.550869,-1.541551,1.115957,
0.2213967,1.628504,-1.929167,0.8909566,-0.8629392,0.5509377,-1.547943,1.115284,
0.2204518,1.628621,-1.92951,0.8909874,-0.8631825,0.5510337,-1.566235,1.114815,
0.2196221,1.628622,-1.929555,0.8910314,-0.8631266,0.5510008,-1.580076,1.115382,
0.219455,1.628555,-1.929654,0.8911054,-0.8634347,0.5509756,-1.580367,1.115442,
0.2189989,1.628552,-1.929682,0.8910289,-0.8635933,0.5509949,-1.588307,1.115911,
0.2185585,1.628534,-1.929724,0.8911244,-0.863611,0.5510592,-1.595782,1.115589,
0.2180994,1.6285,-1.929752,0.8911611,-0.8636363,0.5510368,-1.603147,1.115189,
0.217611,1.628501,-1.92978,0.8911217,-0.8636,0.5511227,-1.610716,1.114601,
0.2158755,1.628379,-1.929955,0.8911602,-0.863768,0.5513222,-1.633514,1.112386,
0.2146982,1.628362,-1.92987,0.8911139,-0.8636581,0.5514059,-1.649543,1.11042,
0.2134573,1.628318,-1.929974,0.8911263,-0.8638434,0.5514259,-1.665876,1.108311,
0.2133421,1.628324,-1.929958,0.8911282,-0.8639839,0.551554,-1.66629,1.108536,
0.2126759,1.628307,-1.930027,0.891108,-0.8638938,0.5515685,-1.674471,1.107604,
0.2119336,1.628303,-1.930041,0.8912033,-0.8639314,0.5515931,-1.682884,1.106678,
0.2111982,1.628286,-1.929855,0.8911803,-0.8638842,0.551543,-1.691399,1.10543,
0.2103315,1.628234,-1.930116,0.8912008,-0.8640029,0.5515718,-1.70001,1.104581,
0.2079868,1.62816,-1.929899,0.8913523,-0.8638849,0.5516021,-1.725612,1.101423,
0.206435,1.627966,-1.92987,0.8911679,-0.8638347,0.5513778,-1.743049,1.100116,
0.2046543,1.627683,-1.929781,0.8911284,-0.8636481,0.5511696,-1.761186,1.09985,
0.2045578,1.627674,-1.929805,0.8909333,-0.8636508,0.5511394,-1.761964,1.099706,
