chair to collider angle,table to collider angle,audience to collider angle,


80.54459,72.62836,80.54459,
80.54459,72.62836,80.54459,
94.59059,87.67269,140.3617,
95.22394,87.95888,140.1979,
95.01205,87.61633,140.0329,
94.94344,87.55424,139.8921,
94.92791,87.53844,139.8257,
94.88138,87.47841,139.6591,
94.85236,87.44168,139.5553,
94.84929,87.42827,139.1588,
94.78724,87.2049,139.1872,
94.77471,87.19068,139.1475,
94.7587,87.17153,139.1208,
94.73871,87.1488,139.0825,
94.72353,87.13624,139.058,
94.72231,87.13269,139.0372,
94.70628,87.11526,139.0041,
94.70081,87.10526,138.9955,
94.68966,87.09659,138.9748,
94.66333,87.07544,138.9265,
94.6509,87.05594,138.8886,
94.64411,87.04818,138.8601,
94.63396,87.04266,138.8319,
94.6172,87.02293,138.7932,
94.61549,87.02604,138.7865,
94.62365,87.03598,138.773,
94.63148,87.04202,138.7842,
94.64452,87.06093,138.799,
94.66936,87.10186,138.8126,
94.6897,87.13139,138.8156,
94.72504,87.17939,138.8493,
94.76714,87.23939,138.8731,
94.79399,87.28047,138.8866,
94.82832,87.32722,138.9081,
94.85249,87.35786,138.9124,
94.87471,87.39056,138.9239,
94.91808,87.43427,138.9429,
94.93159,87.45149,138.933,
94.95265,87.47334,138.9396,
94.95395,87.47249,138.9259,
94.95011,87.47721,138.9167,
94.96127,87.4981,138.903,
94.9635,87.4996,138.8865,
94.96634,87.50483,138.8833,
94.95456,87.4968,138.8714,
94.9624,87.50238,138.8676,
94.94897,87.48707,138.8583,
94.94147,87.47974,138.8438,
94.93909,87.48219,138.835,
94.9243,87.47695,138.82,
94.90779,87.4684,138.8026,
94.91568,87.47239,138.8159,
94.93137,87.50024,138.8561,
94.96948,87.55161,138.8983,
95.02868,87.63106,138.9547,
95.08031,87.70691,139.0067,
95.13615,87.7802,139.0568,
95.21257,87.87655,139.1409,
95.26929,87.95063,139.2053,
95.30846,87.99887,139.2485,
95.339,88.03597,139.2908,
95.36478,88.06808,139.3212,
95.3795,88.08487,139.3343,
95.38716,88.09441,139.3642,
95.38035,88.09951,139.3698,
95.36792,88.10392,139.3786,
95.37159,88.11253,139.4005,
95.37598,88.11971,139.4368,
95.37325,88.11763,139.472,
95.37836,88.12232,139.5175,
95.36813,88.11425,139.5516,
95.37232,88.10829,139.6031,
95.37277,88.10258,139.6438,
95.36787,88.09097,139.691,
95.38815,88.11063,139.7522,
95.3987,88.12293,139.7994,
95.41521,88.1481,139.8426,
95.44334,88.19061,139.8969,
95.48952,88.25329,139.9667,
95.52057,88.30592,140.0129,
95.56934,88.36754,140.0694,
95.60846,88.42223,140.1393,
95.64597,88.4789,140.1917,
95.67464,88.5194,140.2341,
95.69668,88.55034,140.2824,
95.70833,88.57275,140.323,
95.72289,88.59272,140.3463,
95.73283,88.60999,140.395,
95.72905,88.61314,140.4308,
95.73763,88.63049,140.4833,
95.74185,88.63975,140.5346,
95.73737,88.63819,140.5733,
95.73936,88.64195,140.6194,
95.73717,88.64008,140.6554,
95.72958,88.63203,140.6875,
95.72202,88.62031,140.7207,
95.71831,88.61469,140.749,
95.7241,88.6208,140.804,
95.7389,88.63811,140.8348,
