pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.854516,3.739433,1.854516,0,4.507173,0,
1.854516,3.739433,1.854516,0,4.507173,0,
1.83299,2.222178,2.519127,1.080646,2.143369,3.167363,
1.833574,2.207413,2.492253,1.777846,2.256362,2.512363,
1.833734,2.206971,2.490726,1.778319,2.256272,2.51187,
1.833594,2.206895,2.490859,1.778313,2.256215,2.51185,
1.833578,2.206851,2.490802,1.778769,2.256386,2.511617,
1.833614,2.206834,2.490916,1.778975,2.25644,2.511683,
1.833498,2.206762,2.49116,1.779789,2.256901,2.511562,
1.833505,2.206923,2.491178,1.780031,2.257284,2.511797,
1.832907,2.206326,2.491025,1.77981,2.257113,2.511949,
1.833106,2.206622,2.49058,1.783412,2.262301,2.51682,
1.831664,2.205828,2.492537,1.783329,2.262343,2.51683,
1.831317,2.205567,2.492532,1.783301,2.262431,2.51695,
1.831354,2.205631,2.492578,1.7833,2.262217,2.516543,
1.831251,2.205557,2.492736,1.783274,2.262216,2.516639,
1.831008,2.205346,2.492813,1.783262,2.262203,2.516711,
1.831014,2.205368,2.493041,1.783017,2.26191,2.516667,
1.830918,2.205317,2.493222,1.782821,2.261786,2.516812,
1.830957,2.205392,2.493358,1.782763,2.261783,2.516929,
1.831051,2.205494,2.493592,1.782771,2.261844,2.517192,
1.830925,2.205437,2.493633,1.782507,2.261692,2.517251,
1.830704,2.205193,2.493659,1.78244,2.26162,2.517353,
1.830888,2.205293,2.493573,1.782564,2.261575,2.517076,
1.83085,2.205163,2.493534,1.782493,2.261481,2.51711,
1.830583,2.204911,2.493546,1.782418,2.261436,2.517212,
1.830767,2.20508,2.493545,1.782409,2.261409,2.517136,
1.830716,2.204969,2.493502,1.782267,2.261285,2.517145,
1.830442,2.204851,2.493693,1.782372,2.261384,2.517259,
1.830516,2.204851,2.493669,1.78215,2.261217,2.517333,
1.830335,2.204681,2.493655,1.781948,2.260993,2.51731,
1.830018,2.204592,2.493736,1.781609,2.260773,2.517253,
1.830038,2.204567,2.493645,1.781525,2.260609,2.517082,
1.829967,2.204618,2.493694,1.781139,2.260438,2.517146,
1.830055,2.204795,2.494017,1.781067,2.260325,2.517179,
1.830137,2.20492,2.494107,1.781007,2.260292,2.51719,
1.830178,2.205067,2.494267,1.78073,2.260101,2.517176,
1.830075,2.205032,2.494442,1.780821,2.259849,2.516755,
1.830309,2.20537,2.49474,1.780665,2.259703,2.516818,
1.830427,2.205536,2.494979,1.780416,2.25946,2.51684,
1.830685,2.205894,2.49539,1.780301,2.259313,2.516875,
1.831009,2.206127,2.49538,1.780358,2.259175,2.51652,
1.831145,2.206353,2.495634,1.780044,2.258947,2.51663,
1.831075,2.206469,2.495985,1.779502,2.258492,2.516664,
1.83151,2.206848,2.496097,1.779611,2.258567,2.516754,
1.831728,2.207185,2.496405,1.779139,2.258325,2.51706,
1.832001,2.207586,2.496772,1.778755,2.258145,2.51738,
1.832388,2.208039,2.497055,1.778444,2.257895,2.517424,
1.832654,2.208495,2.497483,1.777751,2.257615,2.517977,
1.832876,2.208966,2.498003,1.77773,2.257705,2.518331,
