pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.705539,4.556896,1.705539,0,4.507173,0,
1.705539,4.556896,1.705539,0,4.507173,0,
1.705682,4.555019,1.705682,0,4.507173,0,
1.715925,4.532611,1.715925,1.334616,4.33319,1.334616,
1.712225,4.536072,1.712225,1.33543,4.332896,1.33543,
1.711842,4.536407,1.711842,1.335722,4.332798,1.335722,
1.711563,4.53683,1.711563,1.335344,4.332434,1.335344,
1.710991,4.537212,1.710991,1.334801,4.332117,1.334801,
1.710323,4.537484,1.710323,1.333283,4.331333,1.333283,
1.709447,4.537821,1.709447,1.331892,4.33072,1.331892,
1.708551,4.538149,1.708551,1.329702,4.329921,1.329702,
1.707794,4.53839,1.707794,1.32766,4.3292,1.32766,
1.70705,4.53877,1.70705,1.316264,4.318123,1.316264,
1.708394,4.543525,1.708394,1.320013,4.317437,1.320013,
1.708728,4.544343,1.708728,1.323246,4.316821,1.323246,
1.708876,4.544436,1.708876,1.324685,4.316316,1.324685,
1.70967,4.544129,1.70967,1.327685,4.314529,1.327685,
1.710018,4.543445,1.710018,1.327213,4.312891,1.327213,
1.709962,4.54333,1.709962,1.32616,4.312646,1.32616,
1.710113,4.543229,1.710113,1.325704,4.311947,1.325704,
1.710205,4.543087,1.710205,1.324477,4.311585,1.324477,
1.710362,4.542951,1.710362,1.323482,4.310913,1.323482,
1.710578,4.542798,1.710578,1.322419,4.310408,1.322419,
1.710847,4.542769,1.710847,1.321471,4.310004,1.321471,
1.711288,4.542883,1.711288,1.320895,4.309733,1.320895,
1.711684,4.542973,1.711684,1.320588,4.309709,1.320588,
1.712124,4.543201,1.712124,1.320404,4.310035,1.320404,
1.712766,4.543366,1.712766,1.320767,4.310329,1.320767,
1.71342,4.543651,1.71342,1.321879,4.310727,1.321879,
1.71404,4.544121,1.71404,1.323037,4.311221,1.323037,
1.714631,4.544457,1.714631,1.324592,4.311814,1.324592,
1.715249,4.544662,1.715249,1.326011,4.31195,1.326011,
1.715871,4.545026,1.715871,1.328163,4.312215,1.328163,
1.716569,4.545434,1.716569,1.330004,4.312559,1.330004,
1.7172,4.545758,1.7172,1.332056,4.312616,1.332056,
1.718132,4.546153,1.718132,1.334263,4.312375,1.334263,
1.718845,4.546534,1.718845,1.336256,4.312384,1.336256,
1.719342,4.546873,1.719342,1.338363,4.311796,1.338363,
1.719704,4.547347,1.719704,1.340078,4.311379,1.340078,
1.719928,4.547714,1.719928,1.342308,4.310664,1.342308,
1.719892,4.548003,1.719892,1.344589,4.309481,1.344589,
1.719843,4.548214,1.719843,1.346924,4.308416,1.346924,
1.719859,4.548321,1.719859,1.34949,4.30728,1.34949,
1.71986,4.548403,1.71986,1.351915,4.306219,1.351915,
1.72,4.54843,1.72,1.35451,4.305158,1.35451,
1.72021,4.548555,1.72021,1.356939,4.304338,1.356939,
1.720298,4.548731,1.720298,1.359357,4.303463,1.359357,
1.720332,4.548879,1.720332,1.361586,4.30255,1.361586,
1.720367,4.549092,1.720367,1.363418,4.301888,1.363418,
1.72047,4.549298,1.72047,1.364851,4.301108,1.364851,
1.720695,4.549324,1.720695,1.366358,4.30023,1.366358,
