chair to collider angle,table to collider angle,audience to collider angle,


70.35676,59.01729,70.35676,
70.35676,59.01729,70.35676,
70.99081,60.15051,70.99081,
66.95291,61.91264,66.95291,
67.65816,65.15742,67.65816,
68.12944,65.71999,68.12944,
68.48016,66.28294,68.48016,
68.67492,66.81286,68.67492,
68.63755,67.33295,68.63755,
68.481,67.82156,68.481,
68.13663,68.25985,68.13663,
67.76099,68.6704,67.76099,
67.3999,69.04465,67.3999,
68.41349,70.55004,68.41349,
69.32836,70.80261,69.32836,
69.7044,70.98557,69.7044,
70.73276,71.45399,70.73276,
71.20557,71.58996,71.20557,
71.02412,71.50475,71.02412,
71.0138,71.51681,71.0138,
70.85759,71.45921,70.85759,
70.74603,71.35598,70.74603,
70.64414,71.22425,70.64414,
70.58684,71.08514,70.58684,
70.54986,70.95352,70.54986,
70.52057,70.85682,70.52057,
70.47231,70.77445,70.47231,
70.43889,70.70762,70.43889,
70.42376,70.66155,70.42376,
70.47737,70.64709,70.47737,
70.53639,70.64297,70.53639,
70.60446,70.67302,70.60446,
70.68618,70.7044,70.68618,
70.80506,70.75239,70.80506,
70.91609,70.8065,70.91609,
71.0105,70.83412,71.0105,
71.07516,70.85997,71.07516,
71.10633,70.88437,71.10633,
71.118,70.89858,71.118,
71.17892,70.91977,71.17892,
71.33797,70.91753,71.33797,
71.50179,70.90466,71.50179,
71.74297,70.89629,71.74297,
72.1787,70.87783,72.1787,
72.5657,70.87904,72.5657,
72.8131,70.88209,72.8131,
72.91756,70.88248,72.91756,
72.94695,70.9052,72.94695,
72.8634,70.90431,72.8634,
72.84022,70.8857,72.84022,
72.82049,70.86841,72.82049,
72.74079,70.78594,72.74079,
72.68008,70.66615,72.68008,
72.6256,70.49987,72.6256,
72.57254,70.27741,72.57254,
72.48686,70.00293,72.48686,
72.38979,69.73724,72.38979,
72.2781,69.48586,72.2781,
72.17052,69.24854,72.17052,
72.06063,69.06731,72.06063,
71.89932,68.96408,71.89932,
71.76762,68.89143,71.76762,
71.66753,68.9001,71.66753,
71.63981,68.89002,71.63981,
71.77151,68.88845,71.77151,
72.11512,68.87988,72.11512,
72.31147,68.90073,72.31147,
72.46042,68.95131,72.46042,
72.75003,68.96062,72.75003,
73.08757,68.90489,73.08757,
73.30078,68.77897,73.30078,
73.37251,68.58049,73.37251,
73.35298,68.35069,73.35298,
73.26697,68.14351,73.26697,
73.24628,67.93788,73.24628,
73.2891,67.73439,73.2891,
73.4077,67.54495,73.4077,
73.58356,67.35716,73.58356,
73.79176,67.18268,73.79176,
73.99436,67.02,73.99436,
74.21925,66.88988,74.21925,
74.45443,66.80658,74.45443,
74.66166,66.73352,74.66166,
74.77919,66.686,74.77919,
74.82056,66.62005,74.82056,
74.90863,66.55462,74.90863,
75.20767,66.45869,75.20767,
75.66017,66.3028,75.66017,
75.81843,66.10116,75.81843,
75.96022,65.86603,75.96022,
76.088,65.63844,76.088,
76.08294,65.4304,76.08294,
76.04026,65.24427,76.04026,
75.95523,65.10313,75.95523,
75.86024,65.0056,75.86024,
75.79662,64.98263,75.79662,
75.76453,64.98627,75.76453,
75.74114,64.98911,75.74114,
75.72627,65.01806,75.72627,
