pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.728771,3.74946,1.728771,0,4.507173,0,
1.728771,3.74946,1.728771,0,4.507173,0,
2.266576,2.534896,1.56806,1.492759,2.238873,1.532553,
2.28221,2.535174,1.578346,2.330401,2.404381,1.599808,
2.281127,2.534156,1.578754,2.33024,2.403662,1.600852,
2.280889,2.534063,1.577401,2.330323,2.403787,1.599894,
2.280819,2.534083,1.577691,2.330438,2.403845,1.600306,
2.280313,2.53342,1.57703,2.330663,2.403425,1.600181,
2.279653,2.53304,1.578017,2.330708,2.403702,1.60173,
2.278538,2.532969,1.580523,2.330605,2.403374,1.60525,
2.278286,2.530948,1.579449,2.330399,2.403104,1.605227,
2.278264,2.531167,1.578459,2.330111,2.403255,1.604022,
2.278497,2.531226,1.579832,2.329153,2.403017,1.604405,
2.279933,2.531454,1.580359,2.328869,2.402455,1.6035,
2.28029,2.53171,1.579328,2.328178,2.401824,1.601453,
2.281192,2.532505,1.579605,2.328077,2.401819,1.600669,
2.281226,2.532682,1.579777,2.328055,2.401783,1.600691,
2.28115,2.532721,1.581127,2.327304,2.401511,1.601424,
2.281415,2.532987,1.581579,2.327132,2.40125,1.601358,
2.282016,2.533247,1.580816,2.327203,2.401116,1.600211,
2.282371,2.533832,1.581536,2.327252,2.401142,1.600436,
2.282503,2.534082,1.581835,2.326997,2.400946,1.600274,
2.282884,2.534472,1.581508,2.326812,2.400797,1.599442,
2.283464,2.534898,1.58223,2.326884,2.400904,1.599729,
2.284014,2.535372,1.582813,2.326846,2.400811,1.599688,
2.284735,2.535816,1.582124,2.327153,2.400915,1.598685,
2.284921,2.535946,1.583396,2.326763,2.400664,1.599467,
2.285594,2.536596,1.584129,2.326677,2.400677,1.599524,
2.28649,2.537095,1.583683,2.327098,2.400813,1.598754,
2.287133,2.537259,1.585569,2.326929,2.400529,1.600001,
2.287589,2.537567,1.586084,2.32687,2.400395,1.600051,
2.288463,2.538155,1.585845,2.326612,2.399941,1.598793,
2.289208,2.538452,1.58789,2.326465,2.399604,1.600016,
2.29023,2.539067,1.587495,2.32652,2.39943,1.598778,
2.29108,2.539591,1.588493,2.32675,2.399312,1.599066,
2.292211,2.540282,1.590164,2.326967,2.399378,1.599818,
2.29283,2.540663,1.589455,2.326812,2.399352,1.598459,
2.293947,2.541195,1.590447,2.326916,2.399255,1.598486,
2.294589,2.541549,1.592502,2.326536,2.399022,1.599487,
2.295095,2.541864,1.592649,2.326428,2.398962,1.599016,
2.29654,2.542213,1.5937,2.327039,2.398987,1.599378,
2.297047,2.54224,1.595496,2.326875,2.398535,1.600379,
2.297746,2.54281,1.595619,2.326717,2.398534,1.599629,
2.298377,2.543123,1.596602,2.326972,2.398757,1.600219,
2.298958,2.543282,1.598813,2.326919,2.398638,1.601802,
2.299767,2.543836,1.598478,2.326866,2.398717,1.600676,
2.300104,2.543854,1.599478,2.327028,2.39888,1.601518,
2.300829,2.543795,1.601731,2.327149,2.39858,1.603264,
2.301241,2.543982,1.601166,2.327264,2.398671,1.602434,
2.30178,2.544243,1.602035,2.327108,2.398679,1.602771,
