user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.1754394,1.591932,-3.876983,2.05678,0,0,0,0,
-0.1754394,1.591932,-3.876983,2.05678,0,0,0,0,
-0.1757162,1.591831,-1.428449,0.9303659,0.8805182,0.5587044,-0.2152986,1.238579,
-0.1915905,1.593906,-1.428808,0.9305109,0.8806684,0.5585992,-0.2156177,1.238615,
-0.1911768,1.593275,-1.428589,0.9305748,0.8806577,0.5585742,-0.2153063,1.238276,
-0.1911366,1.593107,-1.428608,0.9305433,0.8806696,0.5585864,-0.215358,1.238686,
-0.1911411,1.593011,-1.428622,0.9304929,0.8806763,0.5585933,-0.2152442,1.238641,
-0.1911522,1.592434,-1.428625,0.9305534,0.8804811,0.5585845,-0.2153683,1.239026,
-0.1911762,1.591969,-1.428495,0.9305315,0.8805755,0.5587702,-0.2150917,1.238591,
-0.191253,1.591924,-1.428663,0.9306445,0.8799351,0.5590582,-0.2143393,1.237979,
-0.192846,1.591604,-1.428631,0.9306263,0.879925,0.55902,-0.2143125,1.237943,
-0.1928318,1.591825,-1.428638,0.9305677,0.8800464,0.5591288,-0.2144249,1.238273,
-0.1931052,1.592238,-1.4282,0.9305786,0.8799976,0.559252,-0.213941,1.237656,
-0.1932805,1.592644,-1.427931,0.9305415,0.8803415,0.5589762,-0.2137087,1.237835,
-0.1934611,1.59278,-1.427859,0.9304553,0.8803717,0.5589719,-0.2138014,1.238334,
-0.193541,1.592944,-1.428,0.9303669,0.8806038,0.5587924,-0.2140524,1.238441,
-0.1933815,1.592972,-1.427999,0.9303713,0.8806086,0.5587873,-0.2140684,1.23846,
-0.1934343,1.593103,-1.427961,0.9304805,0.8804339,0.5590591,-0.2139849,1.238157,
-0.1934571,1.593316,-1.427936,0.9304402,0.880457,0.5590665,-0.2139365,1.238223,
-0.1935225,1.593581,-1.427916,0.9304087,0.880174,0.55881,-0.2140177,1.238787,
-0.19356,1.593875,-1.428415,0.9305415,0.8801519,0.5589271,-0.2143694,1.238775,
-0.1934742,1.594102,-1.428424,0.9305178,0.8801291,0.5589268,-0.2143296,1.238835,
-0.1935078,1.594435,-1.428447,0.9305124,0.8801048,0.5589392,-0.2143919,1.23935,
-0.1935582,1.594812,-1.428602,0.930593,0.8800881,0.5587974,-0.2143914,1.239265,
-0.1936598,1.595277,-1.42863,0.9305911,0.8800722,0.5587893,-0.2143435,1.23927,
-0.1937273,1.595789,-1.428655,0.9305922,0.8801897,0.5586953,-0.2144587,1.239857,
-0.1938141,1.596403,-1.428581,0.9306746,0.8800648,0.5588422,-0.2143098,1.239546,
-0.1937805,1.597229,-1.428609,0.9306599,0.8800553,0.5588343,-0.2143021,1.239538,
-0.1939154,1.598045,-1.428633,0.9306431,0.8803523,0.5587995,-0.2144341,1.240018,
-0.1941323,1.598873,-1.428426,0.9307854,0.8803244,0.558959,-0.2142027,1.239554,
-0.1942232,1.599476,-1.428437,0.9307973,0.8803313,0.558964,-0.214283,1.239534,
-0.1944204,1.600189,-1.428444,0.9307806,0.8807776,0.5590172,-0.2144527,1.24008,
-0.1946705,1.60083,-1.427992,0.930804,0.8807808,0.5591571,-0.2141291,1.239621,
