pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.779732,3.603704,1.779732,0,4.507173,0,
1.779732,3.603704,1.779732,0,4.507173,0,
1.779624,2.603486,1.244827,0,2.207803,2.192209,
1.765862,2.557807,1.210883,1.560989,2.70756,1.02784,
1.764855,2.557226,1.212211,1.561452,2.706729,1.027273,
1.764862,2.557246,1.211741,1.561823,2.705606,1.026525,
1.76469,2.557447,1.211989,1.562567,2.705101,1.026212,
1.764248,2.55753,1.214025,1.564081,2.703,1.027473,
1.763834,2.557794,1.217206,1.565104,2.702582,1.031207,
1.764181,2.558141,1.218229,1.565096,2.702881,1.032418,
1.764102,2.557791,1.262712,1.566302,2.709066,1.106856,
1.764129,2.560279,1.275038,1.565732,2.711143,1.117303,
1.763893,2.560322,1.278777,1.565508,2.712415,1.123081,
1.763831,2.560327,1.281585,1.565281,2.713519,1.128314,
1.76393,2.560559,1.284568,1.564855,2.714243,1.134147,
1.763761,2.560915,1.292408,1.564426,2.71755,1.149668,
1.763844,2.560786,1.291761,1.564469,2.717573,1.1494,
1.763826,2.56114,1.294495,1.564532,2.718618,1.15427,
1.763754,2.56108,1.297187,1.564433,2.719416,1.159554,
1.76373,2.561127,1.299563,1.564232,2.720088,1.164434,
1.76375,2.561069,1.301747,1.564282,2.720718,1.168778,
1.763575,2.561018,1.303973,1.564296,2.721405,1.173013,
1.763638,2.56148,1.311021,1.56408,2.723157,1.186154,
1.76371,2.561504,1.314648,1.564049,2.723786,1.192841,
1.763825,2.561544,1.314863,1.564103,2.72358,1.192341,
1.763871,2.561611,1.316501,1.564108,2.723764,1.194993,
1.763942,2.561767,1.317652,1.563909,2.723865,1.197468,
1.764005,2.561764,1.319775,1.563825,2.723952,1.200394,
1.763816,2.561764,1.321318,1.563756,2.724219,1.202795,
1.763853,2.561935,1.322,1.563535,2.72439,1.204454,
1.763916,2.562014,1.323222,1.563336,2.724522,1.206349,
1.763826,2.562122,1.323723,1.563297,2.724638,1.20751,
1.763843,2.56233,1.323714,1.563115,2.724528,1.20828,
1.76388,2.562506,1.323807,1.562766,2.724276,1.209166,
1.763941,2.562705,1.323822,1.562745,2.724036,1.209689,
1.763917,2.562973,1.323226,1.562923,2.72417,1.209595,
1.763972,2.56265,1.323091,1.562473,2.723287,1.210841,
1.764027,2.563009,1.321894,1.562392,2.722989,1.21038,
1.764028,2.563643,1.321543,1.562276,2.72292,1.210308,
1.764175,2.563747,1.320168,1.562187,2.722462,1.209595,
1.764257,2.563971,1.318791,1.562224,2.722475,1.208797,
1.764349,2.564216,1.317994,1.562076,2.721933,1.208229,
1.764224,2.564325,1.316427,1.562001,2.72156,1.207213,
1.764262,2.564753,1.315451,1.561999,2.721366,1.206558,
1.764369,2.564917,1.315084,1.561481,2.720674,1.20671,
1.764351,2.56511,1.31443,1.561398,2.720329,1.206365,
1.76447,2.565308,1.313154,1.561305,2.719813,1.205735,
1.764544,2.566154,1.312849,1.561298,2.719981,1.205074,
1.764318,2.566069,1.312246,1.561168,2.719545,1.204586,
1.764235,2.566293,1.311429,1.560951,2.719005,1.204078,
