chair to collider angle,table to collider angle,audience to collider angle,


108.9481,79.53876,108.9481,
108.9481,79.53876,108.9481,
108.9252,136.5862,47.72594,
105.4621,107.9738,17.26632,
105.1019,106.9556,16.42653,
105.0406,106.7605,16.3252,
105.0011,106.5808,16.25389,
104.7715,106.0401,16.03254,
104.7395,105.8118,16.08511,
104.7581,105.8638,16.1612,
104.7718,105.8113,19.7119,
105.2614,105.4414,20.27445,
105.2495,105.4121,20.50319,
105.2415,105.4111,20.74251,
105.2306,105.4031,21.00825,
105.245,105.3983,21.74484,
105.2214,105.4091,21.74035,
105.2197,105.4128,21.99479,
105.2122,105.4076,22.25186,
105.2045,105.4273,22.5097,
105.2022,105.4377,22.76991,
105.2208,105.4394,23.02153,
105.2952,105.4874,23.86414,
105.3626,105.5162,24.43233,
105.3946,105.5236,24.42276,
105.4311,105.55,24.69922,
105.4662,105.5934,24.98536,
105.4732,105.6161,25.20416,
105.4794,105.6349,25.42677,
105.4746,105.6656,25.65645,
105.4729,105.6971,25.83644,
105.4865,105.7396,26.04837,
105.5068,105.787,26.27198,
105.5098,105.8388,26.45212,
105.5094,105.8879,26.65487,
105.4987,105.9465,26.86823,
105.4795,106.0029,27.10721,
105.4464,106.1243,27.35324,
105.4582,106.194,27.51968,
105.4259,106.2368,27.70865,
105.4307,106.3075,27.92803,
105.445,106.3902,28.13996,
105.4551,106.485,28.39858,
105.4711,106.5865,28.66737,
105.489,106.6582,28.8656,
105.5265,106.753,29.10105,
105.5745,106.8063,29.32604,
105.6191,106.8054,29.47047,
105.6113,106.771,29.59377,
105.5653,106.7177,29.73538,
105.4865,106.6177,29.78842,
105.4166,106.543,29.88775,
105.3301,106.4444,29.98617,
105.298,106.3646,30.06033,
105.328,106.3009,30.17495,
105.3755,106.2492,30.3457,
105.4587,106.1992,30.49109,
105.5355,106.1441,30.64284,
105.638,106.0996,30.84104,
105.718,106.0093,30.95086,
105.7825,105.9096,31.04779,
105.8493,105.7786,31.15906,
105.9072,105.6141,31.2189,
105.9476,105.413,31.23417,
105.9831,105.2024,31.27556,
106.0434,104.9759,31.25711,
106.1465,104.7464,31.28202,
106.2659,104.5046,31.31892,
106.3965,104.2258,31.29849,
106.535,103.9026,31.26577,
106.6928,103.5767,31.26756,
106.8802,103.2355,31.2145,
107.0867,102.8863,31.22358,
107.3473,102.5347,31.26257,
107.6427,102.1684,31.27017,
107.9149,101.773,31.28197,
108.1728,101.3355,31.2882,
108.4008,100.8461,31.25918,
108.6019,100.3358,31.24213,
108.7427,99.8085,31.20594,
108.8589,99.26746,31.13904,
108.9381,98.69821,31.04279,
108.9543,98.09856,30.93096,
108.9487,97.46429,30.76577,
108.9118,96.79538,30.56322,
108.8506,96.06423,30.33377,
108.8204,95.29814,30.08629,
108.7828,94.50954,29.85405,
108.7183,93.67876,29.59507,
108.6278,92.84628,29.30937,
108.5217,91.97987,29.04584,
108.3616,91.0928,28.74421,
108.1875,90.2107,28.43797,
107.9792,89.31535,28.13803,
107.7727,88.40424,27.84722,
107.5314,87.49751,27.53678,
107.2941,86.59727,27.26911,
107.0516,85.64906,26.98351,
106.8049,84.72419,26.7055,
106.5508,83.81795,26.44247,
