user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.3156298,1.541378,-3.876983,2.05678,0,0,0,0,
-0.3156298,1.541378,-3.876983,2.05678,0,0,0,0,
-0.3157967,1.541256,-1.439285,0.8826704,0,0,-1.277516,1.042306,
-0.3525826,1.534765,-1.439517,0.8826561,0,0,-1.27338,1.059423,
-0.3511067,1.534689,-1.439544,0.8826839,0,0,-1.274801,1.06087,
-0.3508807,1.534816,-1.439561,0.882682,0,0,-1.275856,1.062148,
-0.3505124,1.534799,-1.439587,0.8825734,0,0,-1.277561,1.063165,
-0.3493742,1.534895,-1.439657,0.8824401,0,0,-1.283732,1.065517,
-0.3484782,1.534802,-1.439695,0.8824582,0,0,-1.289552,1.0658,
-0.3484224,1.535053,-1.439691,0.8824793,0,0,-1.290515,1.065392,
-0.3479431,1.535167,-1.438897,0.8826249,0,0,-1.379135,1.061671,
-0.3409601,1.537293,-1.438858,0.8824958,0,0,-1.390616,1.061701,
-0.3403303,1.537346,-1.439177,0.8825285,0,0,-1.396602,1.061909,
-0.3401195,1.537355,-1.439175,0.8826252,0,0,-1.402047,1.062074,
-0.3398668,1.537473,-1.43918,0.8826137,0,0,-1.40812,1.06264,
-0.3391137,1.537477,-1.439276,0.8826668,0,0,-1.424251,1.064519,
-0.3394094,1.537503,-1.439272,0.8826826,0,0,-1.424128,1.065099,
-0.3391912,1.537521,-1.439449,0.8826309,0,0,-1.429674,1.06583,
-0.3389269,1.537524,-1.439451,0.8827101,0,0,-1.435282,1.066711,
-0.3387784,1.537544,-1.439472,0.8827162,0,0,-1.440325,1.067389,
-0.338576,1.537637,-1.439322,0.8826835,0,0,-1.44504,1.067863,
-0.3383195,1.537577,-1.439324,0.8827097,0,0,-1.449555,1.06799,
-0.3378108,1.537769,-1.439652,0.8827442,0,0,-1.463526,1.067698,
-0.3374704,1.537909,-1.439667,0.8828698,0,0,-1.470802,1.065707,
-0.33749,1.538041,-1.439824,0.8829015,0,0,-1.470392,1.064951,
-0.3372923,1.538116,-1.439861,0.8829257,0,0,-1.473517,1.063782,
-0.3371749,1.538171,-1.439899,0.8829395,0,0,-1.476297,1.062858,
-0.336989,1.538277,-1.439875,0.8829111,0,0,-1.479512,1.061868,
-0.3367226,1.538168,-1.439906,0.882936,0,0,-1.482253,1.060996,
-0.3365687,1.538189,-1.439951,0.8829533,0,0,-1.484214,1.060287,
-0.3363841,1.5383,-1.439734,0.8829237,0,0,-1.486122,1.059359,
-0.3361946,1.538242,-1.439752,0.8829565,0,0,-1.487701,1.058861,
-0.3359492,1.538248,-1.439757,0.8829812,0,0,-1.488866,1.058709,
-0.3357657,1.538242,-1.439455,0.8829546,0,0,-1.48989,1.058609,
-0.3355662,1.538264,-1.439426,0.8828863,0,0,-1.490972,1.058555,
-0.3351619,1.538252,-1.439398,0.8828852,0,0,-1.491456,1.059027,
-0.3349519,1.53832,-1.438843,0.8829913,0,0,-1.493025,1.05982,
-0.3346266,1.538297,-1.438785,0.882988,0,0,-1.492978,1.060786,
-0.3344491,1.538157,-1.439195,0.8829581,0,0,-1.493453,1.06119,
-0.3342572,1.538208,-1.439141,0.8831025,0,0,-1.493324,1.061891,
