pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.740803,4.128648,1.740803,0,4.507173,0,
1.740803,4.128648,1.740803,0,4.507173,0,
2.297171,2.853085,2.901902,2.191836,2.209121,3.415231,
2.305611,2.798812,2.883845,2.060388,2.959664,2.753065,
2.306209,2.798149,2.885153,2.060364,2.959217,2.753073,
2.306352,2.798082,2.88536,2.060799,2.95899,2.752693,
2.306669,2.797966,2.885767,2.061347,2.958697,2.75242,
2.307857,2.797536,2.884399,2.062639,2.957729,2.749716,
2.310111,2.797418,2.883874,2.064361,2.956279,2.748096,
2.310854,2.797346,2.883875,2.064502,2.95614,2.747937,
2.312492,2.796347,2.887521,2.071007,2.945828,2.745991,
2.315549,2.796979,2.914926,2.073073,2.944674,2.744273,
2.314233,2.796865,2.915722,2.07469,2.944234,2.742859,
2.313785,2.796754,2.916001,2.076244,2.943079,2.741658,
2.312374,2.795969,2.916656,2.083096,2.940083,2.73548,
2.311543,2.79533,2.917075,2.089194,2.937367,2.730606,
2.311661,2.795259,2.916304,2.090446,2.937151,2.729121,
2.311195,2.794927,2.916457,2.093385,2.935573,2.726684,
2.310777,2.794745,2.916552,2.09681,2.934342,2.723623,
2.310416,2.794532,2.916704,2.099874,2.932986,2.721018,
2.309859,2.794271,2.917006,2.102419,2.931343,2.718934,
2.309677,2.794487,2.917091,2.106691,2.93082,2.714989,
2.309352,2.794344,2.917384,2.109276,2.929715,2.712726,
2.309173,2.794294,2.917634,2.111925,2.928818,2.710464,
2.308769,2.794469,2.918146,2.114091,2.928364,2.708555,
2.308377,2.794297,2.918537,2.116163,2.927567,2.706701,
2.308248,2.794311,2.918931,2.117906,2.927088,2.705248,
2.308046,2.794246,2.919311,2.119811,2.926762,2.703461,
2.307879,2.794155,2.919762,2.120837,2.926201,2.70256,
2.307692,2.794056,2.920273,2.122032,2.925745,2.701594,
2.307463,2.794069,2.920641,2.123228,2.925531,2.700428,
2.307351,2.793705,2.921015,2.123493,2.925017,2.700126,
2.307023,2.793677,2.921118,2.124035,2.924743,2.699125,
2.306809,2.793422,2.920777,2.124412,2.924481,2.698065,
2.306466,2.793194,2.920039,2.12487,2.924174,2.696814,
2.30637,2.793057,2.919559,2.125167,2.923765,2.696067,
2.306242,2.792826,2.925233,2.125906,2.923571,2.697553,
2.306028,2.79263,2.926378,2.126013,2.9233,2.698582,
2.306003,2.7925,2.927435,2.12601,2.922823,2.699902,
2.305768,2.79242,2.929462,2.126496,2.922829,2.701312,
2.305594,2.792011,2.930381,2.126769,2.922538,2.702566,
2.305436,2.791835,2.930944,2.126537,2.921968,2.703916,
2.305192,2.792146,2.931043,2.126922,2.922582,2.704323,
2.305067,2.791777,2.930912,2.127044,2.922333,2.704723,
2.305074,2.791646,2.930256,2.127291,2.922384,2.704677,
2.305039,2.791255,2.929706,2.127935,2.922246,2.704631,
2.304836,2.790964,2.929475,2.128023,2.922219,2.705151,
2.304959,2.79072,2.929137,2.128201,2.922208,2.705959,
2.304793,2.790755,2.927203,2.128631,2.922563,2.705889,
2.304648,2.79045,2.925528,2.128541,2.922573,2.706566,
