chair to collider angle,table to collider angle,audience to collider angle,


90.38009,53.86208,90.38009,
90.38009,53.86208,90.38009,
127.3679,99.69021,5.440136,
117.151,65.56528,37.43076,
117.8931,65.15053,37.30716,
118.0056,65.05074,37.31973,
118.141,64.91479,37.34005,
119.1884,64.3561,37.28625,
121.0748,64.13657,36.55853,
121.5942,64.2741,36.20049,
122.9184,64.27919,35.50141,
138.5326,54.31754,44.31508,
137.9442,53.41264,45.11863,
137.6583,52.99442,45.48788,
136.8586,51.8032,46.5507,
136.1918,51.22333,46.97864,
136.1189,51.29757,46.88836,
135.794,51.02524,47.09048,
135.5271,50.77722,47.28991,
135.3158,50.58707,47.43893,
135.1134,50.38161,47.60604,
134.9644,50.25182,47.70796,
134.8335,50.14087,47.78949,
134.7233,50.0322,47.87544,
134.6736,49.95088,47.93916,
134.6804,49.88254,48.00959,
134.6725,49.80744,48.08511,
134.7085,49.75924,48.13816,
134.7331,49.7091,48.19302,
134.7987,49.65496,48.26363,
134.8443,49.57177,48.3622,
134.8838,49.48039,48.46692,
134.9227,49.39061,48.56445,
134.9438,49.28354,48.66302,
134.9405,49.15052,48.78437,
134.9335,48.99434,48.936,
134.9243,48.77786,49.03851,
134.8898,48.54554,49.29385,
134.8357,48.28532,49.58013,
134.7631,47.98354,49.88656,
134.681,47.68571,50.21411,
134.5764,47.38035,50.54076,
134.471,47.05503,50.8955,
134.3418,46.69181,51.28418,
134.2416,46.35086,51.6571,
134.1277,46.01382,52.01243,
133.9685,45.62061,52.41595,
133.7987,45.23387,52.80226,
133.5984,44.81733,53.24238,
133.3894,44.37195,53.71786,
133.1745,43.90144,54.15751,
132.9786,43.41278,54.64555,
132.727,42.85892,55.16283,
132.4859,42.32548,55.65408,
132.1931,41.74847,56.17252,
131.8804,41.14607,56.70729,
131.5381,40.51843,57.27459,
131.1931,39.88532,57.82242,
130.8272,39.23861,58.37553,
130.453,38.59026,58.91132,
130.0571,37.94517,59.41528,
129.6839,37.32813,59.88954,
129.2878,36.74117,60.32191,
128.928,36.23148,60.64662,
128.5793,35.77254,60.909,
128.2584,35.36156,61.13724,
127.9849,35.01263,61.29095,
127.7586,34.70311,61.40647,
127.5615,34.39419,61.51493,
127.395,34.11149,61.61037,
127.2445,33.85054,61.65735,
127.0647,33.60343,61.6673,
126.9168,33.42602,61.59908,
126.7444,33.25847,61.50504,
126.6043,33.11629,61.38439,
126.4788,32.97306,61.28148,
126.377,32.84846,61.14708,
126.2913,32.74162,60.98298,
126.2225,32.66636,60.78748,
126.1663,32.62443,60.5469,
126.099,32.56371,60.32762,
126.0513,32.52008,60.07453,
126.0074,32.46241,59.84933,
125.9695,32.3982,59.66072,
125.9393,32.3278,59.45266,
125.9426,32.27295,59.24525,
125.9416,32.22407,59.01994,
125.9368,32.17902,58.78002,
125.935,32.1503,58.52233,
125.9344,32.11965,58.25782,
125.9408,32.09332,57.99125,
125.9625,32.07281,57.72798,
125.9935,32.06648,57.43944,
126.0336,32.08017,57.1334,
126.0845,32.13365,56.79021,
126.1401,32.20214,56.42343,
126.1927,32.26853,56.07042,
126.2645,32.36037,55.70105,
126.3171,32.46359,55.29981,
