user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.2117094,1.525862,-3.876983,2.05678,0,0,0,0,
0.2117094,1.525862,-3.876983,2.05678,0,0,0,0,
0.2118515,1.525819,-1.439867,0.8817712,2.130454,0.5118942,-1.719939,0.7827501,
0.170321,1.484281,-1.439895,0.881647,2.130521,0.5120361,-1.720779,0.78315,
0.1700144,1.486505,-1.439929,0.8819311,2.130419,0.5120063,-1.720806,0.7832952,
0.169934,1.486916,-1.439972,0.8819164,2.130401,0.5120049,-1.720785,0.7833514,
0.1697618,1.487477,-1.439983,0.8818423,2.130416,0.5120068,-1.721112,0.7831357,
0.1691429,1.490021,-1.439794,0.8818756,2.130369,0.5122118,-1.718467,0.7860477,
0.1680851,1.492905,-1.439763,0.8818997,2.130462,0.5121701,-1.718126,0.7865994,
0.1675996,1.493921,-1.43997,0.8819408,2.130354,0.5121543,-1.718117,0.7865915,
0.1667808,1.496344,-1.439679,0.8820597,2.130396,0.5121474,-1.722052,0.7803056,
0.1756989,1.53351,-1.439816,0.8818835,2.130138,0.5121958,-1.722293,0.7806942,
0.1764506,1.532843,-1.439836,0.8822193,2.130066,0.5125978,-1.722264,0.7808332,
0.1766641,1.532512,-1.439849,0.8822118,2.130051,0.5126624,-1.722343,0.7807629,
0.1773195,1.531211,-1.439856,0.8821601,2.129955,0.5123789,-1.722391,0.7809396,
0.1776946,1.529737,-1.439626,0.882122,2.130173,0.5122414,-1.722627,0.7807894,
0.1774807,1.529621,-1.439635,0.8820096,2.130142,0.5122781,-1.722005,0.7818425,
0.1776101,1.528998,-1.439628,0.8819988,2.130139,0.5122478,-1.722042,0.7818625,
0.1780438,1.52868,-1.439418,0.8819566,2.13041,0.5122507,-1.721586,0.7825394,
0.1781362,1.528306,-1.439377,0.8820467,2.130383,0.5123479,-1.721658,0.7825208,
0.1783472,1.527875,-1.439345,0.8820201,2.13032,0.5123649,-1.721661,0.782532,
0.1785101,1.527641,-1.439555,0.881919,2.130369,0.512254,-1.721499,0.7826698,
0.1787002,1.527497,-1.439539,0.8818879,2.130331,0.5121908,-1.721539,0.7826507,
0.1789055,1.52742,-1.439523,0.881865,2.130404,0.5121646,-1.721534,0.7826824,
0.1793268,1.527456,-1.43962,0.8818411,2.130414,0.5121551,-1.721586,0.7826533,
0.1795896,1.527505,-1.439588,0.8820659,2.13036,0.5123916,-1.721556,0.7825432,
0.1798357,1.527659,-1.439584,0.8820614,2.130426,0.5123799,-1.72157,0.7825544,
0.179911,1.527797,-1.439966,0.882136,2.130266,0.512362,-1.72164,0.7825077,
0.1801156,1.52805,-1.439996,0.8820301,2.13023,0.5122616,-1.721677,0.7824688,
0.180364,1.528226,-1.440023,0.8820359,2.130253,0.5122058,-1.721744,0.782455,
0.1805008,1.52838,-1.44026,0.8820504,2.130089,0.5121717,-1.721786,0.7823648,
0.180621,1.528658,-1.440273,0.8820344,2.13002,0.5120449,-1.721869,0.7823265,
0.1808035,1.528962,-1.440313,0.8820236,2.129834,0.5121062,-1.721999,0.7821729,
0.1811589,1.529176,-1.44015,0.8820751,2.129997,0.5121381,-1.72212,0.7823091,
