pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.773069,4.194802,1.773069,0,4.507173,0,
1.773069,4.194802,1.773069,0,4.507173,0,
2.248456,4.194598,2.057595,2.472718,4.507173,1.793993,
2.305937,4.132707,1.988135,2.365195,4.001372,1.84534,
2.306799,4.132048,1.985215,2.365019,4.001559,1.842738,
2.306952,4.131871,1.98372,2.364879,4.001627,1.841533,
2.307134,4.131669,1.981492,2.364968,4.001463,1.839142,
2.306862,4.131435,1.980011,2.364817,4.000979,1.837788,
2.307381,4.131256,1.978395,2.365168,4.000994,1.836741,
2.30808,4.131336,1.972743,2.36469,4.001708,1.82469,
2.307206,4.131911,1.970672,2.364507,4.001856,1.823868,
2.307089,4.132038,1.970596,2.364591,4.001737,1.823682,
2.306889,4.132094,1.97036,2.364613,4.001594,1.823407,
2.30623,4.132372,1.968642,2.364711,4.001138,1.821229,
2.305713,4.132874,1.967431,2.364251,4.001607,1.819928,
2.305818,4.132885,1.967782,2.364374,4.001617,1.820382,
2.305684,4.132986,1.967383,2.364177,4.001778,1.819975,
2.305554,4.133029,1.967557,2.364026,4.00187,1.820219,
2.305574,4.133048,1.967654,2.364086,4.001839,1.820362,
2.305485,4.133082,1.96729,2.363999,4.001909,1.820277,
2.305269,4.133234,1.967486,2.363951,4.001922,1.82055,
2.305225,4.133374,1.967223,2.36387,4.002158,1.820603,
2.305112,4.133461,1.967379,2.363628,4.002373,1.820876,
2.304862,4.133609,1.967027,2.36346,4.002475,1.820647,
2.304776,4.133657,1.967015,2.363132,4.002786,1.820809,
2.304658,4.133696,1.966645,2.363007,4.002864,1.820607,
2.3045,4.13375,1.966762,2.362582,4.003218,1.820943,
2.304279,4.133794,1.96738,2.362263,4.003354,1.821737,
2.304425,4.133823,1.966939,2.362086,4.003719,1.821463,
2.304415,4.133806,1.966614,2.361689,4.00411,1.821235,
2.304616,4.133705,1.966188,2.361313,4.004578,1.820971,
2.304657,4.133619,1.96593,2.360948,4.004923,1.821094,
2.304751,4.133584,1.965597,2.360621,4.005278,1.821102,
2.30497,4.133476,1.965323,2.360297,4.005699,1.821354,
2.305053,4.133349,1.965292,2.359941,4.005991,1.82169,
2.305182,4.133248,1.964988,2.359766,4.006187,1.821971,
2.305272,4.133227,1.964528,2.359766,4.006315,1.822181,
2.305283,4.133383,1.964639,2.359767,4.006467,1.822513,
2.305223,4.133514,1.964383,2.359581,4.006806,1.822955,
2.304883,4.13377,1.964543,2.359601,4.00684,1.823633,
2.304738,4.13382,1.964896,2.359756,4.006679,1.824222,
2.304376,4.134066,1.964926,2.359708,4.006759,1.824674,
2.304299,4.134243,1.965152,2.359673,4.006968,1.825164,
2.304076,4.134367,1.965225,2.359674,4.006981,1.825826,
2.303972,4.134475,1.965091,2.35965,4.007054,1.825806,
2.30388,4.134642,1.965339,2.359602,4.007226,1.826219,
2.303688,4.134745,1.965233,2.359334,4.007448,1.826224,
2.303728,4.134779,1.965052,2.35922,4.00763,1.826201,
2.303602,4.134902,1.964976,2.359114,4.007756,1.826194,
2.303345,4.135167,1.965044,2.358645,4.008224,1.826386,
