user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.1622282,1.544831,-3.876983,2.05678,0,0,0,0,
0.1622282,1.544831,-3.876983,2.05678,0,0,0,0,
0.1622121,1.544861,-1.439346,0.8831348,0,0,1.121488,1.112523,
0.1683469,1.546303,-1.43967,0.8827367,0,0,1.131857,1.108078,
0.1683367,1.546199,-1.439654,0.8827366,0,0,1.133459,1.107925,
0.1684155,1.546369,-1.439901,0.8827389,0,0,1.134304,1.108441,
0.1684446,1.546376,-1.439897,0.8829105,0,0,1.135504,1.108731,
0.1684555,1.546397,-1.439904,0.8829091,0,0,1.13665,1.109076,
0.1684946,1.546469,-1.440024,0.8828398,0,0,1.137391,1.109528,
0.1684802,1.546484,-1.440023,0.8829241,0,0,1.138863,1.10999,
0.1685494,1.546343,-1.440039,0.8829069,0,0,1.140339,1.110676,
0.1685663,1.546189,-1.440085,0.8828611,0,0,1.141441,1.110942,
0.1686653,1.546088,-1.440338,0.8823521,0,0,1.142727,1.111122,
0.1693139,1.545591,-1.440347,0.8823236,0,0,1.142637,1.11103,
0.1695769,1.545597,-1.440352,0.8823137,0,0,1.142639,1.11093,
0.169621,1.545624,-1.440172,0.8823459,0,0,1.142726,1.110826,
0.1696559,1.545624,-1.440172,0.8823292,0,0,1.142631,1.111008,
0.1695303,1.5456,-1.440167,0.8821937,0,0,1.142533,1.110988,
0.1694715,1.545718,-1.440159,0.8822358,0,0,1.14223,1.111014,
0.1695491,1.545597,-1.440156,0.8822156,0,0,1.141593,1.111185,
0.1697268,1.545611,-1.440152,0.8822023,0,0,1.141124,1.111081,
0.1697332,1.545658,-1.440153,0.882226,0,0,1.140272,1.110906,
0.1697707,1.545729,-1.440148,0.8822043,0,0,1.139409,1.110549,
0.1699124,1.545745,-1.440134,0.8821832,0,0,1.139031,1.110332,
0.1699714,1.545975,-1.4397,0.8822423,0,0,1.138088,1.109975,
0.1700366,1.545948,-1.439664,0.8822238,0,0,1.137353,1.109748,
0.1699602,1.545974,-1.44001,0.8822178,0,0,1.136416,1.109421,
0.170013,1.545957,-1.439968,0.8823951,0,0,1.135167,1.109017,
0.1700085,1.546019,-1.439957,0.8824093,0,0,1.134374,1.1089,
0.1701024,1.546047,-1.439945,0.8824164,0,0,1.133549,1.108684,
0.1700861,1.546058,-1.439715,0.8822812,0,0,1.133188,1.108375,
0.1700521,1.546187,-1.439685,0.8822601,0,0,1.132471,1.107781,
0.1699712,1.54621,-1.440032,0.8822891,0,0,1.131326,1.107275,
0.1699477,1.546328,-1.440018,0.8823615,0,0,1.130994,1.106784,
0.16995,1.546279,-1.440026,0.8823524,0,0,1.130593,1.106399,
0.1700978,1.546332,-1.44006,0.8823708,0,0,1.130201,1.106019,
0.1700597,1.546251,-1.440055,0.8822604,0,0,1.129789,1.105652,
0.1700023,1.546339,-1.440068,0.8822557,0,0,1.129395,1.105522,
0.1697689,1.546357,-1.440082,0.8822424,0,0,1.128546,1.105524,
0.1696695,1.54641,-1.440419,0.8821927,0,0,1.127507,1.106144,
0.1696147,1.546469,-1.440451,0.8821975,0,0,1.126622,1.106576,
0.1696509,1.546447,-1.440042,0.8822151,0,0,1.126097,1.107057,
