pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.81593,4.384768,1.81593,0,4.507173,0,
1.81593,4.384768,1.81593,0,4.507173,0,
1.815614,4.384206,1.815614,0,4.507173,0,
1.803465,4.369691,1.803465,1.550875,4.339871,1.550875,
1.804845,4.376219,1.804845,1.55099,4.340113,1.55099,
1.805323,4.377021,1.805323,1.551279,4.340252,1.551279,
1.805397,4.377441,1.805397,1.551579,4.34022,1.551579,
1.806337,4.378465,1.806337,1.551546,4.340376,1.551546,
1.807124,4.378942,1.807124,1.552335,4.340588,1.552335,
1.807368,4.379002,1.807368,1.55229,4.340342,1.55229,
1.807835,4.379267,1.807835,1.563641,4.348445,1.563641,
1.818753,4.386532,1.818753,1.564486,4.349405,1.564486,
1.819263,4.386862,1.819263,1.565115,4.350172,1.565115,
1.819677,4.387252,1.819677,1.565886,4.35103,1.565886,
1.820221,4.387599,1.820221,1.566472,4.351652,1.566472,
1.820643,4.388034,1.820643,1.567182,4.352751,1.567182,
1.821085,4.388492,1.821085,1.567905,4.353589,1.567905,
1.821496,4.389177,1.821496,1.568671,4.354922,1.568671,
1.821879,4.389654,1.821879,1.569595,4.356013,1.569595,
1.822326,4.390207,1.822326,1.570378,4.357097,1.570378,
1.822659,4.390815,1.822659,1.571292,4.358494,1.571292,
1.8231,4.391579,1.8231,1.572242,4.35969,1.572242,
1.823372,4.392109,1.823372,1.573005,4.361183,1.573005,
1.823703,4.392644,1.823703,1.573781,4.362225,1.573781,
1.824113,4.393345,1.824113,1.574323,4.363563,1.574323,
1.824431,4.39389,1.824431,1.574899,4.364764,1.574899,
1.824854,4.394518,1.824854,1.57539,4.366018,1.57539,
1.825298,4.395022,1.825298,1.575855,4.367039,1.575855,
1.825936,4.395652,1.825936,1.576203,4.367558,1.576203,
1.826498,4.396213,1.826498,1.576721,4.368256,1.576721,
1.826966,4.396846,1.826966,1.577015,4.368689,1.577015,
1.827268,4.397487,1.827268,1.577232,4.369328,1.577232,
1.827467,4.398261,1.827467,1.577608,4.370255,1.577608,
1.827697,4.398836,1.827697,1.577819,4.370968,1.577819,
1.827927,4.399439,1.827927,1.578086,4.371641,1.578086,
1.828305,4.40001,1.828305,1.578292,4.372399,1.578292,
1.828547,4.400586,1.828547,1.579108,4.37319,1.579108,
1.828808,4.401176,1.828808,1.579428,4.373841,1.579428,
1.828921,4.401789,1.828921,1.579749,4.374547,1.579749,
1.828991,4.402327,1.828991,1.580042,4.375185,1.580042,
1.829193,4.402752,1.829193,1.580454,4.375853,1.580454,
1.829228,4.403165,1.829228,1.580827,4.376383,1.580827,
1.829327,4.403755,1.829327,1.581038,4.376905,1.581038,
1.829242,4.404066,1.829242,1.581691,4.378102,1.581691,
1.829299,4.404254,1.829299,1.58213,4.378838,1.58213,
1.829296,4.404579,1.829296,1.582685,4.379467,1.582685,
1.829373,4.404754,1.829373,1.583244,4.380071,1.583244,
1.829239,4.404941,1.829239,1.583701,4.380704,1.583701,
1.829172,4.405039,1.829172,1.583887,4.38153,1.583887,
1.829308,4.405018,1.829308,1.584513,4.382222,1.584513,
