chair to collider angle,table to collider angle,audience to collider angle,


101.4411,79.36175,101.4411,
101.4411,79.36175,101.4411,
130.1165,120.0167,135.5892,
130.0946,120.9152,136.2841,
135.5493,122.5952,139.5549,
135.9384,122.6054,139.6807,
136.0982,122.609,139.741,
136.5168,122.5736,139.8278,
136.6412,122.4013,139.7168,
136.6159,122.3215,139.6381,
136.708,122.2126,139.5324,
136.3064,121.545,138.8541,
136.2132,121.6119,138.8882,
136.2584,121.6694,138.9506,
136.2334,121.6811,138.9534,
136.1406,121.7042,138.9528,
136.1412,121.7779,139.0176,
136.1678,121.8032,139.0487,
136.1187,121.809,139.0411,
136.1589,121.8039,139.053,
136.1178,121.9187,139.1427,
136.1292,122.0346,139.2428,
135.9972,122.1138,139.2764,
136.0097,122.2249,139.375,
136.0866,122.28,139.4473,
136.1596,122.308,139.4932,
136.2005,122.2972,139.4986,
136.2204,122.2167,139.4351,
136.2866,122.1058,139.3551,
136.3841,122.0193,139.3026,
136.4573,121.9534,139.3129,
136.5697,121.8444,139.2491,
136.6673,121.8997,139.3259,
136.7758,121.8975,139.301,
136.8969,121.9175,139.348,
136.9134,122.0101,139.4291,
136.9477,122.1295,139.5238,
136.9955,122.2707,139.6573,
137.0021,122.4316,139.8011,
136.96,122.5841,139.9333,
137.0014,122.7349,140.0759,
136.9959,122.9194,140.2361,
136.9822,123.0761,140.3896,
137.0245,123.241,140.5476,
137.0611,123.4107,140.7086,
137.1034,123.5925,140.8962,
137.193,123.7955,141.0993,
137.254,124.0247,141.3178,
137.3052,124.2062,141.5023,
137.3758,124.3596,141.6601,
137.4938,124.4969,141.816,
137.6662,124.6445,142.0004,
137.8319,124.9291,142.2982,
137.8351,125.0034,142.3691,
137.9561,125.1145,142.505,
138.099,125.2252,142.6441,
137.9439,125.2653,142.6294,
138.4302,125.6293,143.0885,
138.2326,125.685,143.0805,
138.2046,125.8035,143.1769,
138.1482,125.8956,143.2394,
138.0687,125.9423,143.2581,
137.9722,125.9483,143.2355,
137.8734,125.9296,143.188,
137.7072,125.8743,143.0913,
137.6693,125.8913,143.0931,
137.6754,125.9013,143.0983,
137.8445,126.0449,143.2691,
137.803,126.1114,143.3106,
137.9516,126.2661,143.486,
137.9829,126.3559,143.571,
137.8804,126.3372,143.5264,
137.8496,126.302,143.4847,
137.7906,126.3224,143.4833,
137.7233,126.3864,143.517,
137.6738,126.4367,143.5372,
137.7343,126.4873,143.5946,
137.8626,126.5438,143.6758,
138.0291,126.5906,143.7596,
138.2069,126.6826,143.8847,
138.3999,126.831,144.0693,
138.4925,127.0075,144.2502,
138.6398,127.2294,144.4824,
138.7254,127.3661,144.6236,
138.7628,127.3988,144.6551,
138.8734,127.5677,144.8316,
138.8709,127.6402,144.8876,
138.9349,127.7311,144.9769,
138.9835,127.8147,145.065,
138.9729,127.9114,145.1393,
138.9425,128.0327,145.2315,
138.825,128.1306,145.2776,
138.7506,128.2458,145.3517,
138.5576,128.3011,145.3409,
138.3073,128.3468,145.3034,
138.0103,128.3346,145.2004,
137.7363,128.3053,145.0887,
137.4942,128.2788,144.9901,
137.3017,128.2369,144.8934,
137.1535,128.211,144.8243,
