user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.4365869,1.695645,-3.876983,2.05678,0,0,0,0,
-0.4365869,1.695645,-3.876983,2.05678,0,0,0,0,
-0.4362189,1.69526,-1.775345,0.9089719,-0.04762095,0.5395727,-1.135753,0.9001516,
-0.4294395,1.702772,-1.775931,0.9091321,-0.04787555,0.5367956,-1.136029,0.8998444,
-0.4395452,1.722792,-1.77541,0.9090289,-0.04737228,0.5364387,-1.135884,0.8996792,
-0.43958,1.723555,-1.7754,0.9090507,-0.04740319,0.5366392,-1.13588,0.8996892,
-0.4396844,1.723868,-1.775312,0.909036,-0.04738131,0.5365646,-1.135767,0.8999152,
-0.439875,1.724643,-1.775348,0.9094814,-0.04747897,0.537246,-1.135767,0.8999053,
-0.439992,1.724846,-1.775519,0.9094362,-0.04743484,0.5371196,-1.135841,0.8999915,
-0.4399928,1.724707,-1.775522,0.9093939,-0.04753721,0.5374546,-1.13585,0.8998845,
-0.4401342,1.72485,-1.775153,0.9095378,-0.04698893,0.5368543,-1.136045,0.8992606,
-0.4425401,1.723154,-1.775164,0.9095869,-0.0467194,0.5368524,-1.136049,0.899295,
-0.4427036,1.723142,-1.774988,0.9091835,-0.04672036,0.5366628,-1.136079,0.8991797,
-0.4427721,1.72307,-1.775057,0.9091498,-0.04666105,0.5365956,-1.136139,0.8992255,
-0.4429421,1.723098,-1.775045,0.9091982,-0.04660034,0.5365274,-1.136171,0.8992317,
-0.4430107,1.723314,-1.77533,0.9091426,-0.04691097,0.5363684,-1.136193,0.8991835,
-0.4429952,1.723269,-1.775339,0.909122,-0.04688671,0.5362937,-1.136168,0.8991911,
-0.4430218,1.723264,-1.775363,0.9091276,-0.04685974,0.5362153,-1.13617,0.8992002,
-0.4430242,1.723438,-1.775504,0.9092252,-0.04712796,0.5364811,-1.136191,0.8991684,
-0.4428916,1.72345,-1.775445,0.9092084,-0.04711768,0.5364137,-1.136092,0.8992175,
-0.4427618,1.723561,-1.775311,0.9093647,-0.04687309,0.536345,-1.136085,0.8992218,
-0.4424464,1.723554,-1.775299,0.9093957,-0.04689687,0.5365057,-1.136103,0.8993139,
-0.4421458,1.723735,-1.775266,0.9093637,-0.0468708,0.5364027,-1.136042,0.8993332,
-0.4419792,1.723798,-1.77526,0.909225,-0.04722521,0.5364013,-1.136032,0.899346,
-0.4416526,1.723785,-1.775619,0.9093804,-0.04733351,0.5368826,-1.136032,0.8990498,
-0.4414065,1.723721,-1.775536,0.9093814,-0.04733944,0.536813,-1.136052,0.8990327,
-0.4412424,1.723765,-1.775747,0.9092832,-0.0475682,0.5368147,-1.136043,0.8989621,
-0.4410917,1.723857,-1.775774,0.9093423,-0.04758665,0.5366929,-1.136025,0.8989639,
-0.4409174,1.723898,-1.775697,0.9092944,-0.04759759,0.5366461,-1.136117,0.8989239,
-0.4406161,1.72388,-1.775625,0.909297,-0.04755893,0.5366428,-1.136135,0.8988752,
-0.440448,1.723869,-1.775596,0.9096276,-0.04766622,0.5372546,-1.135622,0.9004041,
-0.4402671,1.723771,-1.77545,0.9096191,-0.04767871,0.5372188,-1.135605,0.9004281,
