pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.829951,4.496673,1.829951,0,4.507173,0,
1.829951,4.496673,1.829951,0,4.507173,0,
2.294139,2.634723,3.200899,1.793516,2.112533,2.705052,
2.314213,2.651234,3.46562,2.120884,2.69681,3.413191,
2.320735,2.66628,3.495776,2.121362,2.697644,3.43546,
2.320897,2.666481,3.504186,2.121706,2.698107,3.445523,
2.320887,2.666698,3.512543,2.121957,2.698673,3.455664,
2.320831,2.666609,3.520694,2.122186,2.699018,3.465628,
2.320749,2.666934,3.544983,2.122756,2.700423,3.494893,
2.321006,2.667285,3.647979,2.126359,2.707832,3.622479,
2.320004,2.664136,3.650103,2.126341,2.70794,3.629469,
2.319791,2.663704,3.653562,2.126188,2.708086,3.635323,
2.319736,2.663805,3.656199,2.126081,2.708049,3.638876,
2.319639,2.663693,3.658581,2.125942,2.708052,3.642382,
2.319904,2.663767,3.667657,2.126284,2.708319,3.654808,
2.319866,2.663738,3.670938,2.126109,2.708131,3.659051,
2.319802,2.663571,3.677287,2.12612,2.707809,3.66775,
2.319624,2.663527,3.677266,2.125913,2.707767,3.667736,
2.319689,2.663353,3.680948,2.126114,2.707617,3.672686,
2.319671,2.663196,3.685218,2.126179,2.707618,3.678297,
2.319564,2.662981,3.689388,2.126213,2.707454,3.68376,
2.319443,2.662726,3.694201,2.126106,2.70726,3.689813,
2.319235,2.662494,3.700165,2.125992,2.707015,3.696968,
2.318878,2.661513,3.719165,2.12543,2.706424,3.719723,
2.318475,2.660861,3.73432,2.125013,2.705952,3.737205,
2.318511,2.660882,3.73471,2.125003,2.706005,3.737548,
2.318308,2.66039,3.74145,2.12474,2.705734,3.745507,
2.318101,2.659948,3.747728,2.124456,2.705497,3.752845,
2.317735,2.658864,3.765993,2.123673,2.704899,3.774017,
2.317578,2.65845,3.771275,2.123567,2.704711,3.780173,
2.31733,2.657522,3.782093,2.123154,2.704307,3.792604,
2.317194,2.656763,3.792165,2.122518,2.703867,3.803996,
2.316911,2.656263,3.796893,2.122179,2.703691,3.809462,
2.317085,2.655741,3.806911,2.121804,2.703109,3.820259,
2.316953,2.655272,3.816782,2.121544,2.702971,3.831214,
2.317156,2.655114,3.82682,2.121362,2.702937,3.841997,
2.317241,2.65544,3.826341,2.121471,2.703164,3.841325,
2.317222,2.6552,3.830609,2.121353,2.703011,3.84599,
2.317306,2.655148,3.835209,2.121181,2.702865,3.850761,
2.317219,2.654848,3.838845,2.12118,2.702856,3.854997,
2.317029,2.65428,3.842656,2.121037,2.702834,3.859564,
2.316797,2.653536,3.846887,2.121038,2.702884,3.864827,
2.315878,2.651034,3.858206,2.12125,2.703066,3.879628,
2.315897,2.650823,3.858749,2.121424,2.703159,3.880518,
2.315474,2.649818,3.86262,2.121723,2.703401,3.88607,
2.31511,2.648751,3.866485,2.121968,2.703635,3.891622,
2.31505,2.647824,3.870673,2.122143,2.703665,3.897228,
2.314616,2.646955,3.874206,2.122302,2.704006,3.902427,
2.314452,2.646213,3.878229,2.122503,2.704311,3.907979,
2.313921,2.643652,3.889326,2.123052,2.705629,3.924296,
