pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.746753,4.375608,1.746753,0,4.507173,0,
1.746753,4.375608,1.746753,0,4.507173,0,
1.746947,2.425172,3.390146,0,2.112657,3.366015,
1.751729,2.432233,3.148483,1.483694,2.406276,2.992349,
1.754637,2.431604,3.142817,1.483643,2.406358,2.986025,
1.754408,2.431365,3.139217,1.483627,2.40629,2.983189,
1.754352,2.431248,3.135874,1.483555,2.406253,2.980427,
1.754284,2.430964,3.127962,1.483664,2.406278,2.974401,
1.754153,2.430458,3.124134,1.48391,2.405947,2.971928,
1.753985,2.430238,3.123794,1.483936,2.405874,2.971696,
1.753743,2.429837,3.108488,1.482663,2.404071,2.959663,
1.74807,2.415547,3.094026,1.482717,2.404014,2.958398,
1.747754,2.415007,3.092062,1.482645,2.403669,2.956737,
1.747524,2.41453,3.091002,1.482443,2.40355,2.955859,
1.747272,2.414247,3.090302,1.482071,2.403306,2.955256,
1.747022,2.413484,3.089196,1.48204,2.403139,2.954579,
1.746806,2.412701,3.088247,1.48197,2.402856,2.953868,
1.74651,2.41178,3.087146,1.481852,2.402818,2.953467,
1.74636,2.410753,3.085694,1.481861,2.402602,2.952408,
1.746006,2.409554,3.084174,1.482053,2.402381,2.951687,
1.7456,2.408248,3.082749,1.482337,2.402385,2.951006,
1.745165,2.406702,3.081252,1.482414,2.402209,2.95026,
1.744511,2.404961,3.079524,1.482607,2.402178,2.949729,
1.743704,2.403077,3.077918,1.482669,2.402203,2.949353,
1.743056,2.40166,3.076207,1.482798,2.402433,2.948643,
1.742306,2.399885,3.07433,1.482931,2.402553,2.947939,
1.741513,2.397967,3.072817,1.482999,2.402457,2.947461,
1.740809,2.396254,3.070827,1.483155,2.402738,2.946633,
1.740115,2.394641,3.068993,1.483126,2.40283,2.945709,
1.739215,2.393104,3.067882,1.482764,2.402878,2.94551,
1.738342,2.391729,3.066331,1.482854,2.40334,2.9451,
1.737582,2.39031,3.065074,1.482642,2.40348,2.944415,
1.736832,2.388884,3.063933,1.482625,2.403547,2.944035,
1.736237,2.387898,3.058986,1.482527,2.403522,2.939704,
1.73576,2.386856,3.059412,1.482529,2.403543,2.940721,
1.735242,2.385913,3.058594,1.482679,2.403544,2.940207,
1.734639,2.385106,3.058992,1.482571,2.403372,2.940843,
1.73413,2.384154,3.059528,1.482354,2.403327,2.941616,
1.733583,2.383503,3.059091,1.481961,2.402986,2.941196,
1.733251,2.382716,3.059,1.481831,2.402738,2.941164,
1.732881,2.381833,3.058741,1.481875,2.402354,2.941305,
1.732599,2.381364,3.058363,1.481859,2.402083,2.940802,
1.732267,2.380915,3.057546,1.481746,2.401696,2.940114,
1.732005,2.380427,3.056992,1.48146,2.401425,2.939527,
1.731825,2.380229,3.056783,1.481285,2.400946,2.93912,
1.731566,2.379773,3.05652,1.481211,2.400438,2.938722,
1.73136,2.379419,3.056076,1.481092,2.399903,2.938103,
1.731111,2.379186,3.055934,1.48089,2.39942,2.937782,
1.730815,2.379063,3.056046,1.48084,2.399012,2.937721,
1.730646,2.378793,3.055802,1.480715,2.398588,2.937311,
