chair to collider angle,table to collider angle,audience to collider angle,


104.205,52.01661,104.205,
104.205,52.01661,104.205,
53.17857,91.73661,128.553,
30.82331,39.10777,77.64912,
10.46569,43.62287,75.21015,
11.15152,44.18613,74.95393,
11.54195,44.47059,74.85345,
12.96931,45.38338,74.58539,
13.97916,45.78925,74.30667,
14.94958,46.14483,74.06686,
15.61815,48.73462,75.4425,
15.32473,48.88096,75.69096,
14.99453,49.01412,75.95,
14.64727,49.14779,76.21733,
14.28643,49.29204,76.50386,
13.95403,49.44171,76.77485,
13.62914,49.61771,77.05968,
13.33554,49.76445,77.32845,
13.08895,49.92643,77.56815,
12.85653,50.06001,77.77687,
12.10607,50.33286,78.31342,
11.62422,50.27896,78.47494,
11.66033,50.20329,78.39787,
11.49171,50.18865,78.45354,
11.37105,50.17593,78.48376,
11.24773,50.17835,78.53123,
11.17965,50.15253,78.52409,
10.85556,50.02417,78.54298,
10.59154,49.59769,78.30811,
10.56814,49.36488,78.14272,
10.4115,48.88862,77.84205,
10.30139,48.36827,77.50317,
10.24146,47.78794,77.10479,
10.27803,47.08181,76.60035,
10.56978,45.24678,75.29566,
11.04097,43.89836,74.32697,
11.08578,43.8362,74.26919,
11.34434,43.23976,73.83792,
11.62453,42.68484,73.43128,
11.91183,42.15763,73.03189,
12.21246,41.66973,72.65598,
12.52464,41.20119,72.29007,
12.82658,40.74946,71.93515,
13.10847,40.34539,71.61713,
13.93755,39.17271,70.7205,
14.35797,38.58877,70.28617,
14.26272,38.69797,70.37433,
14.43795,38.44675,70.19624,
14.59928,38.22238,70.03114,
14.74672,38.01618,69.88249,
14.89604,37.79629,69.73608,
15.47445,36.98987,69.20677,
15.87167,36.44354,68.87621,
15.86041,36.46726,68.88866,
16.03173,36.25563,68.74397,
16.18386,36.05612,68.61234,
16.35967,35.83226,68.45486,
16.54975,35.60732,68.29721,
17.12868,34.93496,67.78822,
17.39264,34.64021,67.53856,
17.29893,34.74633,67.59798,
17.36553,34.68159,67.52444,
17.40531,34.64331,67.46832,
17.44991,34.59822,67.41316,
17.49678,34.54849,67.36436,
17.71488,34.31096,67.14877,
17.86165,34.15617,67.01331,
17.97964,34.01703,66.89395,
18.01944,33.98554,66.85375,
18.14339,33.85968,66.73626,
18.30796,33.70681,66.58727,
18.50022,33.51161,66.39853,
18.7073,33.3218,66.20376,
18.9202,33.11541,65.99484,
19.19489,32.85968,65.7246,
19.47047,32.60477,65.44209,
19.82351,32.28109,65.09149,
20.18816,31.95593,64.73907,
20.52554,31.63986,64.39674,
20.86385,31.32936,64.06534,
21.17195,31.04519,63.76954,
21.46808,30.76716,63.48864,
21.77064,30.48249,63.21068,
22.09161,30.18306,62.91118,
22.43117,29.85924,62.59002,
22.76703,29.54064,62.29781,
23.08476,29.24237,62.01242,
23.45173,28.89816,61.69101,
23.86716,28.52154,61.31028,
24.36616,28.07545,60.84731,
25.00047,27.50587,60.24754,
25.80359,26.78608,59.49342,
26.67633,26.01178,58.67608,
27.60951,25.197,57.78348,
28.52201,24.42469,56.89915,
29.51484,23.63092,55.94395,
30.58185,22.79455,54.89372,
31.73706,21.95194,53.7655,
32.9221,21.10015,52.6199,
