user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.2479677,1.742617,-3.876983,2.05678,0,0,0,0,
0.2479677,1.742617,-3.876983,2.05678,0,0,0,0,
0.2480506,1.742583,-1.770822,0.9089745,-1.172294,0.5789886,-0.3663061,1.067983,
0.2078562,1.717579,-1.771096,0.9087579,-1.171992,0.5794866,-0.3569841,1.067948,
0.1948646,1.648714,-1.77112,0.9087251,-1.17204,0.5794597,-0.3564873,1.067852,
0.1941192,1.643824,-1.771284,0.9087414,-1.17204,0.5794356,-0.3564949,1.06786,
0.1938572,1.641518,-1.771313,0.9087981,-1.172055,0.5794151,-0.3563234,1.067843,
0.1928965,1.634513,-1.771462,0.9088447,-1.172115,0.5793478,-0.3561054,1.067831,
0.1924584,1.630709,-1.771443,0.9087844,-1.172178,0.5792565,-0.3560399,1.067615,
0.1925663,1.627194,-1.770826,0.9087481,-1.172303,0.5789385,-0.3531378,1.066458,
0.1988994,1.62065,-1.77114,0.9085612,-1.172323,0.579006,-0.3530545,1.066439,
0.1997275,1.621116,-1.771111,0.9085557,-1.172283,0.5789356,-0.3529075,1.066199,
0.2005104,1.621664,-1.771083,0.9085202,-1.172301,0.5789142,-0.3527467,1.06621,
0.2013461,1.62238,-1.771098,0.9084969,-1.172323,0.5789478,-0.3525277,1.066372,
0.2022375,1.622896,-1.771291,0.9085175,-1.172534,0.5789869,-0.3523102,1.066175,
0.2028573,1.623603,-1.771367,0.9085597,-1.172552,0.579159,-0.3523636,1.066301,
0.2037686,1.62408,-1.771365,0.9087538,-1.172591,0.5791709,-0.3522282,1.066286,
0.2048231,1.624377,-1.771282,0.9087396,-1.172666,0.5789313,-0.3520525,1.066306,
0.2056609,1.624853,-1.771131,0.9087162,-1.172697,0.5789015,-0.3517692,1.066234,
0.206735,1.625256,-1.77116,0.9085675,-1.172731,0.5788932,-0.3517012,1.066134,
0.2096745,1.626511,-1.770976,0.9084761,-1.172489,0.5787346,-0.3514205,1.06576,
0.2116833,1.627191,-1.771189,0.9084483,-1.172778,0.578706,-0.3513343,1.06547,
0.2116799,1.627231,-1.77107,0.9084336,-1.172771,0.578722,-0.3513066,1.065355,
0.2128229,1.627551,-1.771089,0.9083611,-1.172808,0.578593,-0.3512067,1.065207,
0.2139444,1.627709,-1.771031,0.9083856,-1.172498,0.5785091,-0.3511466,1.065057,
0.2149009,1.628191,-1.770982,0.9083725,-1.172483,0.5784895,-0.3510346,1.064871,
0.2161216,1.628443,-1.770957,0.9085039,-1.172461,0.5785763,-0.3509603,1.064698,
0.2192535,1.629171,-1.770876,0.9085724,-1.172139,0.5787361,-0.3506951,1.06434,
0.2213816,1.629871,-1.770899,0.9084773,-1.17205,0.5789564,-0.3505047,1.064101,
0.2211649,1.630166,-1.770544,0.9084712,-1.172041,0.5789773,-0.3500822,1.064177,
0.2218398,1.63096,-1.77051,0.908428,-1.171968,0.579035,-0.3499147,1.064085,
0.2224151,1.631655,-1.770694,0.9084935,-1.172112,0.5790782,-0.3497911,1.064044,
0.2230975,1.632665,-1.770621,0.9084978,-1.1721,0.5791066,-0.3497938,1.064008,
