chair to collider angle,table to collider angle,audience to collider angle,


70.96544,9.059461,70.96544,
70.96544,9.059461,70.96544,
74.25217,39.43219,17.7678,
58.23077,36.71527,25.38519,
53.49462,28.89127,18.42583,
53.45644,28.3655,17.67048,
53.4286,27.84151,16.90064,
53.41645,26.41455,14.67504,
53.39962,25.53819,13.25341,
53.39346,25.54323,13.27318,
53.38192,25.12178,12.46766,
53.45987,21.56779,6.721291,
53.29965,21.43049,6.823892,
53.12715,21.26101,6.942633,
52.92565,21.02075,7.034333,
52.71177,20.76514,7.145562,
52.49181,20.50024,7.284996,
52.25991,20.23961,7.447479,
52.04428,20.01279,7.610456,
51.90293,19.83252,7.727941,
51.7748,19.65793,7.821775,
51.69094,19.52163,7.872926,
51.65698,19.3875,7.872427,
51.65747,19.2689,7.832758,
51.6953,19.15444,7.733957,
51.77098,19.04825,7.628614,
51.86932,18.96222,7.500879,
51.95163,18.88601,7.394013,
52.06846,18.84805,7.289196,
52.19202,18.84646,7.182995,
52.28635,18.84706,7.107822,
52.47102,18.92095,6.957507,
52.71839,19.04089,6.752121,
52.97312,19.17811,6.536961,
53.23177,19.33506,6.327534,
53.49619,19.52338,6.109071,
53.72834,19.71886,5.910258,
53.96646,19.92984,5.704098,
54.19003,20.13528,5.510751,
54.41881,20.36516,5.296684,
54.66329,20.5814,5.090083,
54.89232,20.80396,4.887239,
55.08585,21.00044,4.701363,
55.22369,21.16167,4.560336,
55.33738,21.32077,4.433587,
55.4314,21.46654,4.320556,
55.52621,21.60853,4.205192,
55.62107,21.75297,4.094095,
55.70896,21.88524,3.982855,
55.76576,21.96291,3.913916,
55.8219,22.0391,3.846951,
55.8626,22.09725,3.789978,
55.88665,22.12155,3.758955,
55.90535,22.15068,3.722785,
55.89056,22.16603,3.707395,
55.88153,22.15126,3.700364,
55.90356,22.14239,3.677274,
55.95751,22.13343,3.639433,
56.03729,22.13151,3.601849,
56.15573,22.18055,3.532802,
56.30839,22.26949,3.449747,
56.51645,22.38869,3.368309,
56.73078,22.5078,3.330431,
56.91538,22.61486,3.358646,
57.08971,22.71003,3.394191,
57.17251,22.76012,3.440028,
57.24492,22.81492,3.473164,
57.32018,22.86263,3.522256,
57.38951,22.90258,3.597987,
57.40761,22.90021,3.71204,
57.40819,22.8689,3.841449,
57.32505,22.78489,3.928747,
57.17419,22.65902,4.007998,
57.06954,22.55514,4.083558,
56.96996,22.46429,4.159489,
56.86518,22.36329,4.239007,
56.75644,22.25207,4.335941,
56.63358,22.13081,4.446248,
56.52342,22.00598,4.592992,
56.43353,21.89659,4.714304,
56.33115,21.79274,4.820035,
56.24316,21.71149,4.90097,
56.1423,21.62342,4.946805,
56.05385,21.55954,4.960963,
55.96323,21.49188,4.983226,
55.88828,21.42176,5.028392,
55.851,21.37822,5.104113,
55.83374,21.34261,5.205938,
55.83595,21.31116,5.328699,
55.84013,21.29646,5.429788,
55.81067,21.26136,5.502993,
55.7539,21.2158,5.501533,
55.67665,21.16231,5.492513,
55.60578,21.11643,5.469917,
55.54254,21.05824,5.474752,
55.49601,21.01993,5.485409,
55.50853,21.01331,5.530311,
55.55143,21.02478,5.632177,
55.64033,21.07298,5.762386,
