chair to collider angle,table to collider angle,audience to collider angle,


111.9141,100.7814,111.9141,
111.9141,100.7814,111.9141,
112.2808,99.95415,112.2808,
109.4708,105.0049,109.4708,
109.4173,105.0041,109.4173,
109.3928,105.0304,109.3928,
109.3651,105.0599,109.3651,
109.2884,105.1457,109.2884,
109.2301,105.2337,109.2301,
109.1991,105.2559,109.1991,
109.1415,105.3025,109.1415,
108.5438,106,108.5438,
108.5248,106.0073,108.5248,
108.5038,106.0091,108.5038,
108.454,106.0344,108.454,
108.4401,106.0427,108.4401,
108.4401,106.0592,108.4401,
108.4252,106.0818,108.4252,
108.4008,106.1189,108.4008,
108.3557,106.1589,108.3557,
108.3218,106.1958,108.3218,
108.2844,106.2438,108.2844,
108.2621,106.2749,108.2621,
108.2215,106.3199,108.2215,
108.1947,106.3454,108.1947,
108.1666,106.3855,108.1666,
108.1215,106.4178,108.1215,
108.0852,106.4455,108.0852,
108.0465,106.4768,108.0465,
108.0174,106.5035,108.0174,
107.9973,106.5237,107.9973,
107.9863,106.5477,107.9863,
107.9747,106.5702,107.9747,
107.9478,106.5977,107.9478,
107.9452,106.6071,107.9452,
107.9189,106.6265,107.9189,
107.8859,106.6519,107.8859,
107.8596,106.6859,107.8596,
107.8349,106.6995,107.8349,
107.8146,106.7287,107.8146,
107.7893,106.7487,107.7893,
107.7589,106.7864,107.7589,
107.736,106.8122,107.736,
107.6963,106.8439,107.6963,
107.6708,106.8704,107.6708,
107.6246,106.9032,107.6246,
107.6015,106.9391,107.6015,
107.5774,106.9687,107.5774,
107.5564,106.9919,107.5564,
107.5305,107.0337,107.5305,
107.5168,107.058,107.5168,
107.4914,107.0896,107.4914,
107.4542,107.1295,107.4542,
107.4184,107.169,107.4184,
107.3844,107.2017,107.3844,
107.3604,107.2499,107.3604,
107.3332,107.2919,107.3332,
107.3195,107.3258,107.3195,
107.2881,107.357,107.2881,
107.2575,107.4046,107.2575,
107.2325,107.4363,107.2325,
107.2068,107.4778,107.2068,
107.1743,107.5162,107.1743,
107.1483,107.5594,107.1483,
107.1274,107.5906,107.1274,
107.0956,107.6458,107.0956,
107.0785,107.685,107.0785,
107.0516,107.7363,107.0516,
107.028,107.7829,107.028,
106.994,107.8423,106.994,
106.9644,107.8961,106.9644,
106.9295,107.949,106.9295,
106.8883,108.0084,106.8883,
106.8369,108.084,106.8369,
106.7992,108.146,106.7992,
106.7491,108.224,106.7491,
106.7015,108.3012,106.7015,
106.6442,108.3858,106.6442,
106.5732,108.4831,106.5732,
106.5137,108.5719,106.5137,
106.4305,108.6922,106.4305,
106.3583,108.7874,106.3583,
106.277,108.9076,106.277,
106.2007,109.0181,106.2007,
106.1117,109.1223,106.1117,
106.0041,109.2362,106.0041,
105.9046,109.3424,105.9046,
105.7973,109.4566,105.7973,
105.7112,109.5688,105.7112,
105.6259,109.6689,105.6259,
105.5256,109.786,105.5256,
105.4102,109.9085,105.4102,
105.3016,110.0352,105.3016,
105.1701,110.1635,105.1701,
105.05,110.2798,105.05,
104.9242,110.4008,104.9242,
104.7929,110.5189,104.7929,
104.6542,110.646,104.6542,
104.5195,110.7702,104.5195,
104.3821,110.8901,104.3821,
