user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.07891782,1.666019,-3.876983,2.05678,0,0,0,0,
-0.07891782,1.666019,-3.876983,2.05678,0,0,0,0,
-0.08118036,1.666625,0.8684754,0.9014311,1.092371,0.4974208,-1.960149,1.080883,
0.05841897,1.634361,0.8683872,0.9014845,1.092351,0.4975293,-1.95634,1.083277,
0.05451573,1.635566,0.8684258,0.901523,1.092337,0.4975388,-1.956044,1.083409,
0.05397509,1.635696,0.8684294,0.9015366,1.092291,0.4975059,-1.954984,1.083769,
0.05340192,1.635832,0.8684671,0.9015099,1.092332,0.4974525,-1.954691,1.083844,
0.0526859,1.635915,0.8684635,0.901511,1.092343,0.4974201,-1.953619,1.084029,
0.05204242,1.636074,0.868398,0.9014214,1.092285,0.4973533,-1.953169,1.084138,
0.05158062,1.636117,0.8684368,0.9013901,1.092325,0.4973094,-1.952875,1.084185,
0.05099168,1.636348,0.8684592,0.9013863,1.09226,0.4972398,-1.953162,1.083977,
0.05031321,1.636503,0.8685215,0.9014732,1.092321,0.4973929,-1.953024,1.083975,
0.04977266,1.636552,0.8686478,0.9013433,1.092111,0.4973783,-1.948651,1.082695,
0.03239235,1.639317,0.8686676,0.9013382,1.092041,0.4973686,-1.948282,1.082639,
0.03166384,1.639335,0.8686054,0.9013814,1.092101,0.4972656,-1.94799,1.082556,
0.03107383,1.639547,0.8687835,0.901626,1.092235,0.4972713,-1.946526,1.082893,
0.03050582,1.63947,0.868772,0.9016579,1.092459,0.4977055,-1.9453,1.083103,
0.02984766,1.639439,0.8688178,0.9016387,1.092526,0.4976711,-1.944965,1.082975,
0.02896029,1.639232,0.8688276,0.9016335,1.092615,0.4976957,-1.943288,1.083414,
0.02836886,1.639092,0.8685737,0.9013538,1.092478,0.4974465,-1.941895,1.083659,
0.0277845,1.63895,0.8685915,0.901329,1.092482,0.4974241,-1.940588,1.083764,
0.027141,1.638778,0.8686604,0.9013953,1.092508,0.4974432,-1.915667,1.092266,
0.02647689,1.638686,0.8686626,0.9013889,1.092458,0.497354,-1.915635,1.09197,
0.02593457,1.638498,0.8685634,0.9014397,1.092371,0.4974604,-1.915252,1.092334,
0.02541196,1.638394,0.8685753,0.9014596,1.092383,0.4974477,-1.917326,1.091252,
0.02492866,1.638249,0.8686578,0.9015446,1.092419,0.4975321,-1.926167,1.087484,
0.02445907,1.638096,0.8686543,0.9015695,1.092382,0.4975672,-1.925713,1.087001,
0.02396928,1.637916,0.868715,0.9015356,1.092326,0.4975562,-1.925658,1.086584,
0.02364894,1.63773,0.8687644,0.9015908,1.092407,0.4977486,-1.925329,1.086273,
0.02326491,1.637572,0.8688202,0.9015692,1.092533,0.4977248,-1.924842,1.085752,
0.02285095,1.637414,0.86884,0.9015807,1.092478,0.4977016,-1.924558,1.085409,
0.022389,1.63736,0.8687766,0.9014854,1.092343,0.4975076,-1.924258,1.085097,
0.02209876,1.637214,0.8686721,0.9015865,1.092242,0.4975629,-1.924186,1.085274,
0.02173547,1.637048,0.8686635,0.9015903,1.092298,0.4975867,-1.92391,1.08506,
0.02137352,1.636963,0.8686931,0.9015503,1.09216,0.4974976,-1.923578,1.084921,
