pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.873764,3.745054,1.873764,0,4.507173,0,
1.873764,3.745054,1.873764,0,4.507173,0,
2.633135,2.141134,1.873662,1.909255,1.672521,0,
2.641067,2.143494,1.880397,1.907447,1.672425,0,
2.64124,2.144509,1.881126,1.908242,1.672339,0,
2.640571,2.144368,1.881178,1.907632,1.672343,0,
2.640452,2.144527,1.881269,1.90759,1.672494,0,
2.639933,2.144774,1.881455,1.90767,1.672419,0,
2.63975,2.1454,1.881721,1.908269,1.672442,0,
2.639682,2.145045,1.881675,1.908259,1.672358,0,
2.639543,2.145535,1.881689,1.908037,1.672481,0,
2.634043,2.150284,1.882042,1.908782,1.67249,0,
2.632428,2.150488,1.881925,1.907755,1.672487,0,
2.632035,2.150902,1.882039,1.907715,1.6725,0,
2.631267,2.151804,1.882095,1.908183,1.672513,0,
2.631072,2.152472,1.882179,1.908749,1.67256,0,
2.630514,2.152434,1.882219,1.908264,1.67256,0,
2.630117,2.152766,1.882248,1.908267,1.672638,0,
2.63028,2.153159,1.88226,1.90885,1.672672,0,
2.629089,2.153528,1.882263,1.908329,1.672686,0,
2.628563,2.154295,1.882381,1.908337,1.672883,0,
2.628501,2.154775,1.882425,1.908747,1.672934,0,
2.627252,2.155338,1.882454,1.908161,1.672958,0,
2.626655,2.156,1.882594,1.908172,1.672681,0,
2.626576,2.156513,1.882584,1.908682,1.672696,0,
2.625448,2.15712,1.882631,1.908098,1.672728,0,
2.624828,2.157605,1.882653,1.908127,1.672769,0,
2.624994,2.158121,1.882612,1.908904,1.672772,0,
2.623972,2.158786,1.882668,1.908435,1.672802,0,
2.623232,2.159377,1.882632,1.90844,1.672586,0,
2.622936,2.15981,1.882476,1.90884,1.672563,0,
2.621346,2.160113,1.882194,1.908126,1.672547,0,
2.620563,2.160623,1.882034,1.908137,1.672506,0,
2.620527,2.160973,1.881785,1.908869,1.672483,0,
2.618834,2.161256,1.881474,1.908225,1.672461,0,
2.618048,2.161622,1.881233,1.908244,1.672584,0,
2.617731,2.16188,1.880914,1.908745,1.672599,0,
2.615978,2.162211,1.880636,1.907947,1.672598,0,
2.615119,2.162625,1.880372,1.907958,1.67293,0,
2.614737,2.162918,1.88006,1.908461,1.672983,0,
2.613167,2.163152,1.879701,1.907842,1.672933,0,
2.612179,2.163704,1.879478,1.907854,1.672672,0,
2.611852,2.163947,1.879128,1.908461,1.6727,0,
2.610343,2.164057,1.878715,1.907819,1.672723,0,
2.609336,2.164448,1.878431,1.907849,1.672576,0,
2.607955,2.164623,1.877998,1.907508,1.672576,0,
2.607027,2.164606,1.877509,1.907514,1.672596,0,
2.606052,2.164864,1.877145,1.90752,1.672506,0,
2.605929,2.164925,1.876652,1.908319,1.672441,0,
2.604147,2.16469,1.875986,1.907625,1.672443,0,
2.603184,2.16486,1.875495,1.907629,1.672585,0,
2.603179,2.164971,1.874996,1.908517,1.672545,0,
2.601684,2.165199,1.874411,1.908076,1.672551,0,
2.600787,2.16537,1.873933,1.908107,1.672591,0,
2.600155,2.165504,1.873434,1.908321,1.672591,0,
2.599337,2.165686,1.872929,1.908358,1.672582,0,
