chair to collider angle,table to collider angle,audience to collider angle,


96.14393,89.09456,96.14393,
96.14393,89.09456,96.14393,
92.53355,119.1644,130.7887,
123.9961,65.51336,150.6395,
125.4239,57.16238,145.1712,
125.4572,56.21748,144.4326,
125.4546,55.29412,143.6734,
125.4269,54.40194,142.9269,
125.3623,53.54548,142.2107,
125.2694,52.71534,141.4762,
125.1279,51.93409,140.7696,
124.9618,51.18686,140.0784,
124.7845,50.49343,138.8091,
122.3475,41.99996,130.9594,
122.2976,41.59193,130.5524,
122.2343,41.16605,130.1391,
122.127,41.35909,130.0224,
121.9522,40.07246,128.9093,
121.8198,39.30171,128.1244,
121.8082,39.24187,128.1269,
121.7445,38.84039,127.7297,
121.6617,38.46848,127.3397,
121.6049,38.05989,126.9836,
121.5741,37.70212,126.6435,
121.5507,37.33621,126.2764,
121.5181,36.97255,125.9445,
121.5045,36.62146,125.6152,
121.4722,36.29713,125.2806,
121.4378,35.9641,124.9625,
121.4219,35.64387,124.6455,
121.3809,35.29976,124.2941,
121.3316,34.95863,123.9606,
121.2942,34.63178,123.6105,
121.2539,34.30325,123.2464,
121.238,33.9771,122.9285,
121.2145,33.67016,122.5992,
121.1703,33.33779,122.2463,
121.1188,33.00069,121.8997,
121.0653,32.67769,121.5343,
121.0201,32.35652,121.1769,
120.9747,32.03176,120.8267,
120.9268,31.71468,120.4558,
120.8918,31.38176,120.0867,
120.8605,31.03962,119.7131,
120.8005,30.69946,119.3268,
120.7246,30.34796,118.8893,
120.6829,30.01508,118.5011,
120.6494,29.68668,118.1073,
120.6241,29.35678,117.6999,
120.5905,29.01822,117.2931,
120.5678,28.69485,116.9003,
120.5234,28.32827,116.4535,
120.4784,27.97715,116.0295,
120.4384,27.64302,115.6341,
120.3944,27.29827,115.2197,
120.3496,26.96425,114.7885,
120.3025,26.61636,114.3706,
120.2346,26.26081,113.9135,
120.1882,25.92363,113.4912,
120.1364,25.58508,113.0505,
120.1114,25.25097,112.6147,
120.0753,24.92767,112.215,
120.0353,24.59668,111.7964,
120.0046,24.28041,111.3842,
119.9728,23.95597,110.9849,
119.9542,23.65341,110.5997,
119.9316,23.35461,110.231,
119.8958,23.04995,109.8477,
119.8539,22.73093,109.4614,
119.8018,22.41012,109.0262,
119.7458,22.08237,108.6253,
119.6984,21.76637,108.221,
119.6451,21.44519,107.8257,
119.575,21.10613,107.4308,
119.5032,20.7686,107.0501,
119.4024,20.42165,106.6128,
119.3024,20.05587,106.1955,
119.2018,19.6964,105.7804,
119.0893,19.30811,105.3326,
118.968,18.92802,104.9079,
118.8352,18.54273,104.4726,
118.6618,18.12494,103.9894,
118.4927,17.71722,103.5196,
118.2895,17.29751,103.0299,
118.0839,16.86123,102.5345,
117.8896,16.42806,102.0492,
117.683,15.99247,101.5546,
117.4788,15.55752,101.0468,
117.276,15.15767,100.6047,
117.0869,14.75308,100.1427,
116.9076,14.36228,99.67142,
116.7654,13.99154,99.23814,
116.6429,13.64665,98.83616,
116.5284,13.30803,98.42601,
116.4273,12.99853,98.04726,
116.3434,12.69358,97.65852,
116.2464,12.39233,97.30531,
116.1525,12.11535,96.98127,
116.0684,11.85433,96.65362,
