user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.1107261,1.61825,-3.876983,2.05678,0,0,0,0,
-0.1107261,1.61825,-3.876983,2.05678,0,0,0,0,
-0.1107755,1.618254,1.335904,0.8705925,-1.40089,0.464798,-1.848864,1.057371,
-0.08729859,1.612674,1.335771,0.870741,-1.400931,0.4647713,-1.78809,1.063554,
-0.07841618,1.61177,1.335783,0.8707556,-1.400963,0.4648004,-1.783313,1.0638,
-0.07745436,1.611637,1.335719,0.8707026,-1.401017,0.4647903,-1.779744,1.063608,
-0.0766058,1.611549,1.335702,0.8707068,-1.400999,0.4647818,-1.773623,1.064114,
-0.07574742,1.611392,1.335707,0.8707237,-1.40102,0.4648125,-1.769221,1.063788,
-0.07494083,1.611143,1.335786,0.8708667,-1.400945,0.4648824,-1.76595,1.063262,
-0.07432812,1.610993,1.335778,0.8708704,-1.400981,0.4649549,-1.761391,1.062874,
-0.07365438,1.610737,1.335806,0.8708732,-1.400969,0.464951,-1.757596,1.062337,
-0.07289488,1.610476,1.335808,0.8708845,-1.401008,0.4649537,-1.754105,1.061863,
-0.07221262,1.610092,1.33562,0.8707733,-1.400935,0.464988,-1.689294,1.066936,
-0.09206022,1.592708,1.335847,0.8711017,-1.40074,0.465148,-1.686102,1.065993,
-0.09230934,1.59214,1.335891,0.8711388,-1.400712,0.4652078,-1.68192,1.06575,
-0.09289934,1.591809,1.335904,0.8711671,-1.400611,0.4651465,-1.678724,1.065198,
-0.07005514,1.60278,1.335759,0.8709766,-1.400873,0.4649875,-1.675725,1.064505,
-0.0647909,1.60367,1.335775,0.8709961,-1.400816,0.4648895,-1.664116,1.063573,
-0.06386746,1.603674,1.335694,0.8708967,-1.400881,0.4647257,-1.65593,1.062812,
-0.06276989,1.603824,1.335739,0.8709044,-1.400872,0.4647102,-1.655674,1.062881,
-0.06317121,1.6034,1.335637,0.8707749,-1.400927,0.4646535,-1.651881,1.062295,
-0.06307676,1.603438,1.335548,0.8707992,-1.400953,0.464678,-1.646954,1.062377,
-0.06281542,1.603133,1.335505,0.8707787,-1.400919,0.4646325,-1.643125,1.062034,
-0.06254205,1.603148,1.335504,0.8708037,-1.400881,0.4646399,-1.640178,1.061388,
-0.06232017,1.603161,1.335573,0.8707213,-1.400923,0.4646931,-1.634424,1.061859,
-0.06163526,1.60321,1.335541,0.8707007,-1.40093,0.4646857,-1.630575,1.061562,
-0.06217701,1.602756,1.335523,0.8706822,-1.400918,0.4646931,-1.627079,1.061152,
-0.06229464,1.6029,1.335507,0.870685,-1.400927,0.4646845,-1.621722,1.061378,
-0.06174882,1.602911,1.335486,0.8706717,-1.400916,0.4646747,-1.617649,1.060941,
-0.06229034,1.602464,1.335572,0.8708013,-1.400924,0.4646702,-1.613893,1.060301,
-0.0622924,1.602493,1.335565,0.8707941,-1.400912,0.4646311,-1.609129,1.060079,
-0.06248327,1.602135,1.335523,0.8707935,-1.400866,0.4645889,-1.604948,1.059578,
-0.06227788,1.602091,1.335508,0.8707917,-1.400835,0.4646316,-1.600605,1.059027,
-0.06241909,1.602188,1.335469,0.8707755,-1.400791,0.464587,-1.593838,1.059382,
