pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.333527,3.914713,1.333527,0,4.507173,0,
1.333527,3.914713,1.333527,0,4.507173,0,
1.991509,2.02319,1.33392,1.704413,1.628958,0,
1.887696,2.038737,1.295708,1.704189,1.628545,0,
1.877703,2.027898,1.289061,1.703494,1.628547,0,
1.876992,2.026669,1.288184,1.703455,1.628811,0,
1.876624,2.025446,1.287533,1.703878,1.62883,0,
1.8751,2.023775,1.286629,1.703107,1.628858,0,
1.873588,2.019513,1.284266,1.703623,1.62899,0,
1.87355,2.018835,1.284191,1.703279,1.628733,0,
1.872987,2.017299,1.283287,1.703246,1.628702,0,
1.873453,2.016511,1.282648,1.70446,1.629163,0,
1.873704,1.99422,1.274453,1.704636,1.629192,0,
1.874625,1.992598,1.274317,1.70469,1.629363,0,
1.875747,1.992003,1.274464,1.705287,1.629389,0,
1.876003,1.989464,1.274301,1.704699,1.629156,0,
1.876607,1.987708,1.274148,1.704518,1.628986,0,
1.876658,1.987984,1.274149,1.704509,1.629205,0,
1.877665,1.98719,1.274024,1.705089,1.629224,0,
1.877568,1.986217,1.274014,1.704662,1.629044,0,
1.878181,1.985887,1.274058,1.704677,1.629594,0,
1.879066,1.985216,1.27399,1.705091,1.629644,0,
1.878466,1.984561,1.274065,1.704123,1.629692,0,
1.879004,1.983544,1.274175,1.704128,1.629185,0,
1.87992,1.982926,1.274241,1.704507,1.629209,0,
1.879647,1.982068,1.274417,1.703768,1.629044,0,
1.880289,1.981706,1.27462,1.703758,1.629133,0,
1.881623,1.98042,1.275426,1.703394,1.629215,0,
1.883633,1.978875,1.276053,1.704181,1.628544,0,
1.883069,1.978883,1.276186,1.703591,1.628537,0,
1.883804,1.978369,1.276587,1.70359,1.628579,0,
1.884715,1.978007,1.277059,1.704016,1.628561,0,
1.885533,1.977847,1.277432,1.704039,1.628925,0,
1.886505,1.977691,1.2779,1.704059,1.629468,0,
1.887393,1.977193,1.278339,1.704212,1.629509,0,
1.888322,1.976531,1.278841,1.704256,1.62949,0,
1.889155,1.976152,1.279335,1.704294,1.62946,0,
1.890671,1.975427,1.279566,1.704958,1.629509,0,
1.890922,1.974561,1.280021,1.704154,1.629331,0,
1.891961,1.974209,1.280473,1.704176,1.629469,0,
1.892625,1.973851,1.28098,1.70389,1.62952,0,
1.893605,1.972956,1.281534,1.703887,1.629262,0,
1.894459,1.973017,1.282035,1.703892,1.629841,0,
1.895839,1.972748,2.286786,1.704335,1.629907,2.486343,
1.895925,1.971877,2.285898,1.703889,1.6296,2.48375,
1.896749,1.971634,2.285137,1.703902,1.629771,2.484213,
1.898067,1.970992,2.284285,1.704489,1.62984,2.48297,
1.898347,1.970577,2.283334,1.703778,1.629901,2.48173,
1.899084,1.969611,2.282574,1.703767,1.629274,2.478596,
1.900293,1.969168,2.281645,1.704246,1.629311,2.479116,
1.900489,1.968605,2.280449,1.703625,1.629208,2.47811,
1.90118,1.968494,2.279504,1.703619,1.629439,2.476967,
1.90184,1.968278,2.278543,1.703717,1.629485,2.476803,
1.902548,1.96751,2.277681,1.703717,1.629155,2.476418,
