chair to collider angle,table to collider angle,audience to collider angle,


97.50488,74.54821,97.50488,
97.50488,74.54821,97.50488,
80.82152,137.5969,97.72949,
21.38627,125.0921,76.52482,
12.52445,117.7797,73.71691,
11.85927,116.8733,73.42596,
11.3116,115.9573,73.13445,
10.91766,115.0747,72.84213,
10.61459,112.3793,72.01378,
10.59667,112.4789,72.02922,
10.74992,111.6308,71.76512,
10.95226,110.8056,71.48972,
19.98375,101.2203,69.5695,
21.0495,100.5499,69.67368,
21.56054,100.2185,69.70939,
23.00101,99.317,69.8907,
23.82842,98.81219,70.00482,
23.78864,98.83508,69.99955,
24.2399,98.54024,70.03425,
24.63428,98.2633,70.05941,
25.02793,98.00295,70.09603,
25.43718,97.75664,70.15066,
25.80979,97.523,70.21699,
26.21835,97.3004,70.31427,
26.64145,97.08607,70.41971,
27.04049,96.8627,70.51518,
27.43055,96.63306,70.59473,
28.65392,95.93356,70.86049,
29.64158,95.42146,71.15173,
29.70664,95.38358,71.17979,
30.21141,95.11703,71.32204,
30.68805,94.83177,71.42944,
31.1758,94.5527,71.53934,
31.70916,94.23576,71.66257,
32.27919,93.89285,71.79196,
32.89326,93.53093,71.93325,
33.5009,93.16953,72.08328,
34.12062,92.80586,72.22877,
34.68192,92.45773,72.36266,
35.2218,92.12247,72.48792,
35.76895,91.78664,72.61557,
36.33334,91.46151,72.76904,
36.88981,91.13947,72.92986,
37.46507,90.81989,138.207,
37.96948,90.53232,138.6891,
38.4739,90.23682,139.1366,
38.93958,89.95799,139.5488,
39.39005,89.66218,139.9671,
39.81377,89.40462,140.3449,
40.23353,89.13819,140.7227,
40.59288,88.9028,141.056,
40.96496,88.6687,141.399,
41.31167,88.45654,141.7188,
41.64883,88.23359,142.0299,
41.99318,88.0136,142.3533,
42.2914,87.83651,142.6341,
42.55209,87.64745,142.8862,
42.79863,87.48364,143.1266,
43.04807,87.32793,143.3599,
43.25248,87.18821,143.5625,
43.66799,86.92207,143.9659,
43.80682,86.80948,144.0981,
43.91418,86.69567,144.2126,
43.99053,86.62002,144.2708,
44.03043,86.58595,144.3306,
44.07858,86.55117,144.3994,
44.06971,86.57407,144.3902,
44.02166,86.61169,144.3664,
43.96525,86.67887,144.3356,
43.90849,86.7576,144.3067,
43.80618,86.86967,144.2412,
43.68577,87.00787,144.1703,
43.53555,87.18468,144.0755,
43.36835,87.37864,143.9602,
43.16233,87.6273,143.8214,
42.89881,87.91164,143.6362,
42.66888,88.18894,143.4611,
42.40516,88.49834,143.2734,
42.14621,88.81485,143.0762,
41.81824,89.20429,142.8283,
41.48764,89.57736,142.581,
41.14705,89.9606,142.3035,
40.75936,90.35569,142.0164,
40.40211,90.7546,141.7384,
40.04988,91.14248,141.4626,
39.71142,91.53712,141.1892,
39.34959,91.90891,140.9133,
39.00075,92.28951,140.6181,
38.59352,92.68212,140.2938,
38.18213,93.07097,139.9518,
37.77092,93.46506,139.6089,
37.36012,93.84978,139.2539,
36.94403,94.2356,138.9019,
36.53115,94.64019,138.5437,
36.08519,95.06126,138.1529,
35.63818,95.48274,137.7648,
35.19256,95.91256,137.3701,
34.75145,96.34007,136.9841,
34.34739,96.73953,136.6381,
