pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.625653,3.964103,1.625653,0,4.507173,0,
1.625653,3.964103,1.625653,0,4.507173,0,
1.892285,1.747905,2.238904,1.676726,1.764244,2.463988,
1.771094,1.805461,2.366629,1.56805,1.395805,2.485331,
1.769603,1.805523,2.363421,1.56632,1.395343,2.489695,
1.769272,1.805441,2.362123,1.565161,1.395575,2.491062,
1.768906,1.805294,2.361969,1.564107,1.395567,2.493153,
1.768373,1.805085,2.359558,1.561181,1.395598,2.497793,
1.767967,1.804771,2.35719,1.559143,1.395671,2.500251,
1.76783,1.804765,2.366411,1.527598,1.414282,2.531889,
1.767866,1.805291,2.348906,1.525633,1.415851,2.532839,
1.768188,1.805372,2.349284,1.523386,1.417951,2.534234,
1.768507,1.805577,2.347933,1.521493,1.419555,2.534688,
1.768714,1.805731,2.347079,1.519409,1.421338,2.535458,
1.768922,1.806006,2.34919,1.516819,1.424,2.538189,
1.769387,1.806309,2.347478,1.515097,1.425397,2.538423,
1.769721,1.806403,2.346613,1.512915,1.427384,2.539037,
1.769944,1.806756,2.347009,1.510026,1.430529,2.53998,
1.770082,1.80684,2.344791,1.508045,1.432319,2.539058,
1.770389,1.807145,2.343917,1.505608,1.434728,2.539504,
1.770627,1.807457,2.343497,1.502921,1.437176,2.540226,
1.771025,1.807815,2.341452,1.500358,1.439669,2.539726,
1.771364,1.808025,2.340559,1.497754,1.442252,2.540049,
1.771632,1.808413,2.342387,1.494766,1.445326,2.542413,
1.77205,1.808795,2.340893,1.492309,1.447953,2.541919,
1.772374,1.809087,2.34006,1.489613,1.450725,2.542054,
1.772734,1.809421,2.339859,1.486773,1.453932,2.542305,
1.772983,1.809662,2.338513,1.484216,1.456613,2.541746,
1.773386,1.810097,2.3377,1.48174,1.459557,2.54114,
1.773974,1.810465,2.337546,1.4792,1.462491,2.541269,
1.774146,1.810938,2.336442,1.477216,1.464635,2.540901,
1.774621,1.811329,2.335669,1.475124,1.467221,2.540272,
1.774974,1.811913,2.334895,1.472777,1.470031,2.539566,
1.775496,1.812536,2.333375,1.470917,1.472396,2.538201,
1.775972,1.813083,2.332549,1.468911,1.47493,2.53746,
1.776433,1.813836,2.333665,1.466661,1.478068,2.537777,
1.777029,1.814455,2.332326,1.465238,1.480208,2.536213,
1.777521,1.815109,2.331453,1.463607,1.482446,2.535013,
1.778167,1.815906,2.331898,1.461861,1.485111,2.534777,
1.778715,1.816671,2.330452,1.46078,1.487156,2.532717,
1.779304,1.817542,2.329551,1.459425,1.489405,2.53124,
1.77993,1.818519,2.330293,1.458004,1.491676,2.531232,
1.780706,1.819658,2.328235,1.457082,1.493645,2.528793,
1.78127,1.821031,2.327301,1.455947,1.495852,2.527138,
1.782013,1.822325,2.327134,1.454887,1.498194,2.525663,
1.78281,1.823682,2.324825,1.45423,1.500123,2.522551,
1.783577,1.825033,2.323765,1.453602,1.501954,2.520492,
1.784353,1.826439,2.324297,1.452901,1.503994,2.519559,
1.785122,1.827913,2.322695,1.452891,1.50521,2.517585,
1.785777,1.82934,2.32151,1.45264,1.506816,2.515377,
