user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.06101575,1.623914,-3.876983,2.05678,0,0,0,0,
-0.06101575,1.623914,-3.876983,2.05678,0,0,0,0,
-0.06137203,1.623923,1.261956,0.9018483,-0.1972284,0.5266016,-2.005518,1.089012,
-0.01038349,1.634169,1.261703,0.9013945,-0.1974337,0.5265398,-2.009067,1.086726,
-0.01327822,1.630984,1.261675,0.9014107,-0.1974914,0.5266278,-2.00939,1.086416,
-0.01399251,1.630108,1.261677,0.9014404,-0.1974812,0.5266016,-2.009009,1.0867,
-0.01427199,1.62952,1.261709,0.9014907,-0.1974075,0.5267181,-2.009191,1.086551,
-0.01543532,1.627989,1.261779,0.9016824,-0.1973546,0.5267012,-2.008026,1.086582,
-0.01632852,1.626742,1.261806,0.901726,-0.197248,0.5268111,-2.006783,1.086602,
-0.01634968,1.62674,1.261958,0.9017816,-0.1974769,0.5270467,-2.013117,1.082804,
-0.02964678,1.617451,1.261953,0.9017885,-0.1974032,0.5269771,-2.013184,1.082735,
-0.03045749,1.61719,1.261866,0.9016703,-0.1974514,0.5269868,-2.01444,1.082193,
-0.03137186,1.616934,1.261875,0.9016989,-0.1975091,0.5269077,-2.014088,1.08224,
-0.03226417,1.616646,1.261871,0.9017308,-0.197526,0.5269406,-2.014197,1.082112,
-0.03329374,1.616343,1.26186,0.9017527,-0.1975102,0.5269165,-2.017416,1.08089,
-0.03433677,1.616172,1.261662,0.9014906,-0.1976411,0.5267587,-2.016809,1.081044,
-0.03522465,1.615918,1.261644,0.9014916,-0.1976962,0.5268099,-2.016984,1.080926,
-0.03612727,1.615762,1.261895,0.9018383,-0.1976151,0.5267611,-2.018365,1.080417,
-0.03706016,1.615455,1.26189,0.9018606,-0.1975069,0.5269594,-2.017178,1.080852,
-0.03804511,1.615226,1.261978,0.9018518,-0.1974902,0.5269265,-2.017392,1.080821,
-0.0391774,1.614995,1.261777,0.9016185,-0.1974602,0.5269105,-2.018161,1.080397,
-0.04024781,1.614849,1.261753,0.9016141,-0.1975656,0.5267677,-2.017233,1.080745,
-0.04123785,1.614649,1.261736,0.901615,-0.1976187,0.526799,-2.017482,1.080723,
-0.04237842,1.614453,1.261545,0.90136,-0.197588,0.526787,-2.020606,1.079795,
-0.0435028,1.614355,1.261511,0.9013413,-0.197618,0.5267506,-2.020316,1.07997,
-0.0445387,1.614222,1.261462,0.9013456,-0.1976628,0.5267789,-2.020632,1.079935,
-0.04570306,1.614074,1.261595,0.9015241,-0.1976736,0.5267918,-2.021718,1.079687,
-0.04662986,1.613907,1.261579,0.9015268,-0.1976583,0.5268629,-2.021386,1.079871,
-0.04769161,1.613857,1.261637,0.9014732,-0.1976423,0.5268521,-2.021713,1.079834,
-0.04861313,1.614017,1.261768,0.9016306,-0.1976383,0.5268314,-2.022551,1.079526,
-0.04967183,1.614006,1.261785,0.9016483,-0.1976058,0.5270085,-2.022463,1.079627,
-0.05074042,1.614045,1.261791,0.9016629,-0.1976094,0.5270271,-2.022824,1.079538,
-0.05190228,1.614094,1.2617,0.9015464,-0.1976197,0.5269256,-2.02325,1.079541,
