pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.684626,3.895006,1.684626,0,4.507173,0,
1.684626,3.895006,1.684626,0,4.507173,0,
1.684909,3.895191,1.684909,0,4.507173,0,
1.687773,3.938729,1.687773,1.528686,4.122054,1.528686,
1.686736,3.938107,1.686736,1.52906,4.121413,1.52906,
1.686677,3.938021,1.686677,1.529299,4.121271,1.529299,
1.686419,3.938017,1.686419,1.529513,4.120922,1.529513,
1.685801,3.937981,1.685801,1.529776,4.119949,1.529776,
1.685577,3.937858,1.685577,1.529968,4.119204,1.529968,
1.685623,3.937747,1.685623,1.529793,4.113408,1.529793,
1.686731,3.933582,1.686731,1.529624,4.113227,1.529624,
1.686816,3.933245,1.686816,1.529439,4.113137,1.529439,
1.687007,3.932858,1.687007,1.52929,4.112992,1.52929,
1.687088,3.932627,1.687088,1.5292,4.112844,1.5292,
1.687206,3.932242,1.687206,1.529064,4.112682,1.529064,
1.687206,3.931933,1.687206,1.529332,4.112342,1.529332,
1.687314,3.931556,1.687314,1.529137,4.111912,1.529137,
1.687379,3.931196,1.687379,1.529051,4.111721,1.529051,
1.687378,3.930869,1.687378,1.529186,4.111427,1.529186,
1.687438,3.93059,1.687438,1.529104,4.111172,1.529104,
1.687444,3.930299,1.687444,1.528959,4.111023,1.528959,
1.687077,3.930148,1.687077,1.529136,4.110644,1.529136,
1.687202,3.929989,1.687202,1.529096,4.110358,1.529096,
1.687257,3.92968,1.687257,1.52911,4.110011,1.52911,
1.686844,3.929438,1.686844,1.529058,4.109625,1.529058,
1.686849,3.929102,1.686849,1.528899,4.108892,1.528899,
1.686814,3.92883,1.686814,1.52883,4.108504,1.52883,
1.686613,3.928488,1.686613,1.52885,4.108093,1.52885,
1.686641,3.928164,1.686641,1.528723,4.107448,1.528723,
1.686574,3.927917,1.686574,1.528663,4.107022,1.528663,
1.686078,3.92785,1.686078,1.528832,4.106458,1.528832,
1.68608,3.927522,1.68608,1.52886,4.106056,1.52886,
1.686019,3.927266,1.686019,1.528819,4.105618,1.528819,
1.685721,3.927144,1.685721,1.528883,4.105052,1.528883,
1.685669,3.926853,1.685669,1.528952,4.104702,1.528952,
1.685583,3.926599,1.685583,1.529008,4.104111,1.529008,
1.685424,3.926303,1.685424,1.529251,4.103526,1.529251,
1.685323,3.926049,1.685323,1.529241,4.102943,1.529241,
1.68521,3.925845,1.68521,1.529284,4.102319,1.529284,
1.685245,3.92577,1.685245,1.529333,4.101694,1.529333,
1.685181,3.925514,1.685181,1.529459,4.101375,1.529459,
1.685043,3.925387,1.685043,1.52956,4.100665,1.52956,
1.684842,3.925186,1.684842,1.529767,4.099918,1.529767,
1.684725,3.925031,1.684725,1.529746,4.099091,1.529746,
1.684593,3.924933,1.684593,1.52992,4.098243,1.52992,
1.684447,3.924608,1.684447,1.529666,4.097665,1.529666,
1.684388,3.924517,1.684388,1.529568,4.096744,1.529568,
1.684268,3.924447,1.684268,1.52982,4.09584,1.52982,
1.684253,3.92414,1.684253,1.531726,4.094419,1.531726,
1.684185,3.924034,1.684185,1.531837,4.09357,1.531837,
