chair to collider angle,table to collider angle,audience to collider angle,


110.4304,33.47495,110.4304,
110.4304,33.47495,110.4304,
110.698,33.76834,110.698,
121.2298,81.84193,121.2298,
121.504,82.20737,121.504,
121.427,82.42462,121.427,
121.354,82.52782,121.354,
121.1243,82.8485,121.1243,
120.843,83.1615,120.843,
120.8287,83.17646,120.8287,
119.4837,83.53523,119.4837,
119.465,83.41605,119.465,
119.4567,83.29803,119.4567,
119.4742,83.15536,119.4742,
119.521,83.00149,119.521,
119.5551,82.83493,119.5551,
119.5868,82.65381,119.5868,
119.6013,82.47858,119.6013,
119.607,82.29926,119.607,
119.6037,82.13029,119.6037,
119.6012,81.96458,119.6012,
119.6038,81.78859,119.6038,
119.6353,81.59958,119.6353,
119.653,81.41296,119.653,
119.6576,81.19666,119.6576,
119.661,81.00082,119.661,
119.6617,80.81065,119.6617,
119.6658,80.59351,119.6658,
119.6641,80.3844,119.6641,
119.6613,80.16784,119.6613,
119.6574,79.93125,119.6574,
119.6604,79.70539,119.6604,
119.6605,79.47424,119.6605,
119.6656,79.23837,119.6656,
119.6797,78.98586,119.6797,
119.672,78.74367,119.672,
119.6585,78.49993,119.6585,
119.6326,78.25487,119.6326,
119.5867,78.02216,119.5867,
119.563,77.79105,119.563,
119.5393,77.57611,119.5393,
119.5207,77.34177,119.5207,
119.4953,77.1274,119.4953,
119.4537,76.92619,119.4537,
119.4119,76.73982,119.4119,
119.3735,76.55198,119.3735,
119.3421,76.36952,119.3421,
119.325,76.21039,119.325,
119.3016,76.02003,119.3016,
119.2751,75.86119,119.2751,
119.2358,75.69025,119.2358,
119.1834,75.52531,119.1834,
119.1282,75.37018,119.1282,
119.0792,75.22387,119.0792,
119.0356,75.07074,119.0356,
118.9846,74.94476,118.9846,
118.9481,74.83257,118.9481,
118.9181,74.71718,118.9181,
118.9017,74.6132,118.9017,
118.86,74.50844,118.86,
118.807,74.41061,118.807,
118.755,74.31555,118.755,
118.7153,74.22529,118.7153,
118.6676,74.13863,118.6676,
118.6339,74.05429,118.6339,
118.6137,73.9805,118.6137,
118.6095,73.89738,118.6095,
118.606,73.83847,118.606,
118.6007,73.78867,118.6007,
118.6095,73.72657,118.6095,
118.6031,73.68222,118.6031,
118.6058,73.63782,118.6058,
118.595,73.5824,118.595,
118.5975,73.55392,118.5975,
118.6013,73.51682,118.6013,
118.5969,73.48341,118.5969,
118.5856,73.43865,118.5856,
118.5914,73.41869,118.5914,
118.5854,73.39426,118.5854,
118.6068,73.36318,118.6068,
118.6244,73.34399,118.6244,
118.6396,73.3149,118.6396,
118.6616,73.29501,118.6616,
118.6626,73.27885,118.6626,
118.6688,73.2663,118.6688,
118.6633,73.2401,118.6633,
118.6705,73.22314,118.6705,
118.6541,73.17611,118.6541,
118.6563,73.14863,118.6563,
118.6491,73.12827,118.6491,
118.6419,73.09096,118.6419,
118.6466,73.06501,118.6466,
118.6632,73.04106,118.6632,
118.6774,72.99991,118.6774,
118.7088,72.97268,118.7088,
118.7274,72.94781,118.7274,
118.7188,72.90517,118.7188,
118.7292,72.86396,118.7292,
118.7431,72.83753,118.7431,
118.7567,72.82284,118.7567,
118.766,72.8134,118.766,
