pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.548215,3.94228,1.548215,0,4.507173,0,
1.548215,3.94228,1.548215,0,4.507173,0,
1.730968,1.962652,2.20683,1.456237,1.96149,2.563595,
1.735688,1.945932,2.219707,1.375049,2.165984,2.164411,
1.733593,1.947253,2.220706,1.373897,2.166065,2.165953,
1.733696,1.947374,2.220897,1.373613,2.165355,2.166906,
1.733579,1.947539,2.221203,1.373209,2.165426,2.167603,
1.733244,1.948363,2.221953,1.37181,2.165623,2.170261,
1.732681,1.94873,2.222797,1.370597,2.166159,2.171528,
1.733197,1.948643,2.223665,1.365691,2.165895,2.178199,
1.731155,1.950935,2.222925,1.365037,2.165874,2.178237,
1.731706,1.951066,2.22273,1.365163,2.166073,2.178182,
1.731338,1.95121,2.222747,1.364383,2.166264,2.178298,
1.731678,1.951475,2.222389,1.363752,2.16591,2.178596,
1.731711,1.951452,2.222275,1.363182,2.165644,2.178278,
1.731373,1.951404,2.222071,1.362576,2.165492,2.177377,
1.732103,1.951313,2.222091,1.363037,2.164949,2.176573,
1.731688,1.95126,2.222061,1.362694,2.16464,2.176719,
1.732136,1.951243,2.222097,1.362861,2.164373,2.176577,
1.732338,1.951215,2.222184,1.363033,2.164129,2.176147,
1.731854,1.951337,2.222483,1.36269,2.163962,2.175652,
1.732719,1.951241,2.22256,1.363002,2.163951,2.175476,
1.733054,1.951217,2.222709,1.363213,2.163737,2.174939,
1.732865,1.951171,2.222646,1.362922,2.163443,2.174191,
1.733595,1.95115,2.22276,1.363558,2.163224,2.173467,
1.733977,1.951056,2.222899,1.363786,2.163006,2.172659,
1.734248,1.950987,2.223185,1.36368,2.16307,2.171719,
1.735009,1.951008,2.223216,1.364292,2.162652,2.170797,
1.735605,1.950979,2.223431,1.364625,2.162376,2.169723,
1.735868,1.950935,2.223798,1.364625,2.162597,2.168312,
1.736492,1.950933,2.22403,1.365196,2.162153,2.167252,
1.736926,1.950654,2.224452,1.365644,2.161792,2.165967,
1.736829,1.950805,2.224858,1.365673,2.162093,2.164062,
1.738059,1.950752,2.225236,1.366457,2.162138,2.16285,
1.738719,1.950725,2.225692,1.366993,2.161934,2.16134,
1.738906,1.950587,2.226181,1.36698,2.161759,2.159664,
1.739809,1.950528,2.226687,1.367835,2.161362,2.157827,
1.74041,1.95059,2.226941,1.368643,2.16113,2.155658,
1.740457,1.950444,2.227432,1.369077,2.160406,2.153806,
1.74126,1.950258,2.227751,1.370204,2.159842,2.15183,
1.741662,1.950144,2.228192,1.371141,2.159444,2.149489,
1.741737,1.950187,2.228534,1.37161,2.15954,2.146893,
1.742315,1.95016,2.228952,1.372909,2.159377,2.144322,
1.742732,1.950092,2.229269,1.373883,2.159093,2.141845,
1.742584,1.950042,2.229876,1.374466,2.159047,2.139376,
1.743203,1.949941,2.230072,1.375846,2.158899,2.136797,
1.743481,1.949859,2.230428,1.376993,2.158801,2.134177,
1.743201,1.949541,2.230752,1.377435,2.158507,2.131716,
1.743686,1.94947,2.231037,1.379198,2.159173,2.128543,
1.743824,1.949245,2.231403,1.380486,2.158791,2.12604,
