pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.789965,3.867831,1.789965,0,4.507173,0,
1.789965,3.867831,1.789965,0,4.507173,0,
1.906828,2.534555,1.689317,1.566849,1.881907,2.454852,
1.902827,2.471722,1.758194,1.872155,2.632917,1.67282,
1.904311,2.470853,1.761797,1.872015,2.632609,1.673254,
1.904407,2.470798,1.762198,1.871558,2.631852,1.673832,
1.904534,2.470617,1.762919,1.871506,2.631801,1.674145,
1.904537,2.469976,1.764426,1.870228,2.630257,1.675403,
1.90427,2.469449,1.765232,1.869441,2.629511,1.676066,
1.904095,2.469593,1.765678,1.862725,2.623958,1.674728,
1.900144,2.464965,1.76323,1.862622,2.623783,1.67432,
1.89934,2.464747,1.762542,1.862494,2.623976,1.673802,
1.898764,2.464557,1.7618,1.86219,2.623632,1.673628,
1.898605,2.464313,1.761002,1.862009,2.623529,1.673069,
1.89665,2.463583,1.758685,1.861047,2.62357,1.671147,
1.895269,2.462758,1.756991,1.860004,2.623273,1.669382,
1.894416,2.462084,1.755471,1.858397,2.622417,1.667322,
1.892799,2.461233,1.75395,1.856512,2.621639,1.665047,
1.893077,2.461113,1.754006,1.856262,2.621592,1.664696,
1.892176,2.46076,1.75328,1.855353,2.621367,1.663553,
1.891545,2.460353,1.75245,1.854201,2.620966,1.662091,
1.891164,2.459816,1.751793,1.853098,2.62061,1.660621,
1.890402,2.45954,1.75118,1.851932,2.620283,1.659182,
1.88988,2.459108,1.750583,1.850611,2.619819,1.657619,
1.889562,2.458573,1.749937,1.84947,2.619473,1.655933,
1.887623,2.457369,1.747999,1.845772,2.618205,1.651149,
1.886867,2.456853,1.747054,1.842885,2.616789,1.647575,
1.887144,2.457031,1.747134,1.84292,2.61669,1.64726,
1.887106,2.456854,1.746731,1.841487,2.615992,1.645451,
1.886507,2.456651,1.746116,1.840048,2.61514,1.643693,
1.886514,2.45672,1.745857,1.838438,2.614042,1.641939,
1.886955,2.457106,1.745268,1.835328,2.611831,1.637978,
1.888228,2.457935,1.744803,1.835803,2.611105,1.638185,
1.888205,2.458196,1.744936,1.836341,2.611012,1.639435,
1.888736,2.458704,1.744895,1.83673,2.61084,1.639885,
1.889403,2.459058,1.745102,1.836808,2.610349,1.640526,
1.890429,2.460247,1.745676,1.836898,2.608803,1.643294,
1.891719,2.460993,1.747292,1.837053,2.608221,1.646302,
1.893348,2.461105,1.75014,1.836804,2.606907,1.650101,
1.893473,2.461235,1.751272,1.836903,2.607172,1.650919,
1.894284,2.46141,1.752976,1.837428,2.607225,1.653361,
1.895467,2.461245,1.75523,1.838103,2.607774,1.655267,
1.89839,2.461159,1.762527,1.839674,2.607527,1.662974,
1.901076,2.460398,1.769466,1.840159,2.606911,1.66749,
1.905146,2.46024,1.776858,1.837912,2.603823,1.669956,
1.909845,2.460645,1.78562,1.832663,2.599235,1.669606,
1.910956,2.460831,1.78637,1.831697,2.598452,1.668594,
1.913434,2.461134,1.790975,1.829538,2.59694,1.668076,
1.916289,2.461394,1.795893,1.827624,2.595908,1.667322,
1.922529,2.462159,1.806117,1.825895,2.595048,1.666811,
