chair to collider angle,table to collider angle,audience to collider angle,


99.50401,92.35831,99.50401,
99.50401,92.35831,99.50401,
99.65564,136.9425,63.46495,
59.66465,99.77489,15.32043,
59.14465,99.16994,14.50738,
59.08224,99.10264,14.4524,
58.99886,99.01112,14.37558,
58.81808,98.81771,14.18886,
58.72293,98.7121,14.05806,
58.72048,98.72858,14.21297,
58.05245,97.99207,12.8715,
58.05262,97.97303,12.85842,
58.0308,97.95494,12.84245,
57.96669,97.93797,12.83952,
57.89161,97.86832,12.77839,
57.80544,97.81831,12.75943,
57.70552,97.77579,12.74272,
57.6899,97.7523,12.70101,
57.66133,97.75063,12.67614,
57.68493,97.74696,12.63863,
57.70254,97.75883,12.58448,
57.70336,97.77726,12.51159,
57.7411,97.77553,12.44976,
57.74272,97.77058,12.37504,
57.72765,97.77971,12.30116,
57.84386,97.84074,12.13474,
57.77596,97.77883,12.04007,
57.68127,97.69536,12.0086,
57.57798,97.62492,11.94547,
57.5777,97.60505,11.92027,
57.57481,97.59523,11.89522,
57.54025,97.5419,11.8321,
57.66896,97.57473,11.61501,
57.86058,97.65495,11.54381,
58.04673,97.72915,11.45588,
58.23699,97.83292,11.42062,
59.05707,98.2962,11.65493,
59.6386,98.63578,11.98007,
60.01368,98.79888,12.23163,
59.9703,98.75007,12.20426,
60.131,98.82899,12.34846,
60.18401,98.85409,12.43535,
60.10789,98.58362,12.39448,
59.51284,97.8851,11.87356,
58.90533,97.10916,11.38854,
58.32597,96.25943,10.9563,
58.21248,96.14664,10.89564,
57.96918,95.74107,10.75023,
57.64652,95.29469,10.56915,
56.78103,94.21976,10.02229,
56.27773,93.61388,9.704499,
55.69826,92.9566,9.349668,
54.13702,91.01993,8.552031,
53.18826,89.76528,8.326877,
53.19141,89.75326,8.354469,
52.71315,89.14391,8.28816,
52.27694,88.52375,8.257211,
51.85771,87.91574,8.329306,
51.44538,87.31982,8.467517,
50.18959,85.51136,8.833777,
48.67402,84.02769,8.075818,
48.85046,84.09376,8.383541,
48.52788,83.56065,8.776173,
48.19312,83.06372,8.959098,
47.79376,82.60798,8.951771,
47.35258,82.18394,8.815546,
46.35313,81.07576,8.705381,
46.60954,81.28808,8.905606,
46.60332,81.08905,9.272054,
46.57471,80.91425,9.574913,
46.43343,80.69695,9.738739,
46.22278,80.43063,9.766802,
45.89447,80.0993,9.715757,
45.41592,79.68833,9.535288,
44.90634,79.2347,9.310339,
44.29259,78.73068,9.027414,
43.61012,78.18214,8.772993,
43.05799,77.67212,8.680188,
42.55891,77.17301,8.757283,
42.06945,76.69476,8.873584,
41.64915,76.21264,9.08997,
41.22344,75.73825,9.318927,
40.77444,75.25695,9.566101,
40.31418,74.74271,9.824932,
39.80912,74.21659,10.06701,
39.22929,73.66115,10.29532,
38.66454,73.10479,10.52818,
38.07851,72.53958,10.79009,
37.45658,71.94312,11.08575,
36.79952,71.32868,11.40455,
36.09592,70.69816,11.72624,
35.40709,70.0983,12.04033,
34.72327,69.51557,12.35558,
34.05046,68.95515,12.66944,
33.40315,68.42757,12.98562,
32.80729,67.92145,13.31681,
32.26066,67.4484,13.65907,
30.74498,66.01264,14.84284,
30.85768,66.0459,14.88231,
