user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.04634209,1.531207,-3.876983,2.05678,0,0,0,0,
-0.04634209,1.531207,-3.876983,2.05678,0,0,0,0,
-0.04814991,1.530652,-1.026378,0.8685098,-1.473226,0.4977148,-1.537698,1.077619,
-0.01672836,1.538309,-1.026592,0.8684031,-1.47327,0.4987273,-1.543802,1.075476,
-0.01425456,1.538851,-1.026577,0.8683889,-1.473359,0.4987376,-1.544404,1.075444,
-0.01408437,1.538815,-1.026504,0.8683954,-1.473393,0.4987633,-1.544892,1.075291,
-0.01384505,1.538824,-1.02652,0.8682415,-1.473435,0.49878,-1.545524,1.075103,
-0.01325176,1.539066,-1.026238,0.8682424,-1.473046,0.4986491,-1.546914,1.075174,
-0.01314007,1.539052,-1.026186,0.868216,-1.472839,0.4985647,-1.547827,1.075688,
-0.01318384,1.539108,-1.02636,0.8687249,-1.472799,0.4984765,-1.550212,1.075487,
-0.01740308,1.539205,-1.026333,0.8685641,-1.473123,0.4977124,-1.55004,1.0755,
-0.01804073,1.53906,-1.02637,0.86854,-1.472813,0.4983168,-1.550011,1.075381,
-0.01866063,1.538758,-1.026393,0.8683497,-1.472798,0.4983177,-1.549965,1.075259,
-0.01935022,1.538657,-1.026412,0.8683538,-1.473207,0.4975553,-1.549857,1.075207,
-0.02117939,1.538257,-1.026356,0.8684649,-1.472884,0.4983363,-1.549411,1.075107,
-0.02275256,1.537912,-1.026333,0.868481,-1.47291,0.4983401,-1.549242,1.074711,
-0.02425775,1.537653,-1.026438,0.8682219,-1.473357,0.4975791,-1.549146,1.07432,
-0.02586001,1.53756,-1.026436,0.8682451,-1.473083,0.4982979,-1.549041,1.073962,
-0.02588962,1.537583,-1.026451,0.8681427,-1.473378,0.4974515,-1.549068,1.073999,
-0.02672935,1.537628,-1.026442,0.8680915,-1.473105,0.4981251,-1.549099,1.073937,
-0.02756149,1.537696,-1.026413,0.8681294,-1.473109,0.4981291,-1.549009,1.073906,
-0.02834282,1.537622,-1.026437,0.8681234,-1.473441,0.497385,-1.549034,1.073945,
-0.02908006,1.537755,-1.02642,0.8680719,-1.473158,0.4980237,-1.549094,1.073939,
-0.02989704,1.538075,-1.026395,0.8681544,-1.473172,0.498029,-1.54908,1.073943,
-0.03067373,1.538126,-1.026367,0.8681282,-1.473483,0.49717,-1.549022,1.073989,
-0.03282764,1.538442,-1.026105,0.8684777,-1.473224,0.4978952,-1.548899,1.074053,
-0.03401325,1.538836,-1.026129,0.8685447,-1.473202,0.497829,-1.548978,1.074268,
-0.03385281,1.539004,-1.025974,0.868389,-1.473203,0.4978285,-1.548855,1.074152,
-0.03438941,1.539343,-1.026033,0.8684009,-1.473399,0.497174,-1.548842,1.074137,
-0.03517947,1.539874,-1.026006,0.8684182,-1.473126,0.4978263,-1.548836,1.074169,
-0.03567743,1.5405,-1.026046,0.8683753,-1.473126,0.4978101,-1.5489,1.074144,
-0.03682024,1.542844,-1.026086,0.8684196,-1.473083,0.4979527,-1.548934,1.074282,
-0.03759725,1.544892,-1.026148,0.8684478,-1.473679,0.4972355,-1.548985,1.074285,
