chair to collider angle,table to collider angle,audience to collider angle,


51.28077,71.04808,51.28077,
51.28077,71.04808,51.28077,
45.51953,9.11445,31.50542,
96.05234,49.86434,24.68438,
102.5624,56.79647,31.52015,
103.0924,57.43808,32.13313,
103.5229,58.00174,32.67674,
104.9777,59.88256,34.50303,
105.8597,61.14101,35.74961,
105.8029,61.09009,35.70193,
106.2832,61.70421,36.32384,
112.2538,68.14847,42.89092,
111.861,67.70615,42.44485,
111.4106,67.21328,41.94698,
110.8954,66.64938,41.36617,
109.1198,64.70083,39.39513,
108.9095,64.46682,39.15174,
108.2273,63.72204,38.38357,
107.6103,63.0465,37.69503,
106.9807,62.37032,37.00183,
106.3397,61.68582,36.30647,
105.67,60.94108,35.54107,
104.9868,60.18748,34.76861,
104.3179,59.44271,34.01248,
103.677,58.71732,33.27789,
103.0188,57.97103,32.5202,
102.3611,57.2185,31.75337,
101.6964,56.46947,30.98808,
101.0221,55.72271,30.21908,
100.3315,54.97837,29.45345,
99.63345,54.24327,28.68646,
98.9744,53.54991,27.95893,
98.36001,52.91833,27.30523,
97.79124,52.33054,26.69193,
97.26303,51.77471,26.1165,
96.76541,51.24644,25.57726,
96.33154,50.77807,25.08644,
95.92601,50.33039,24.6267,
95.56691,49.92344,24.21297,
95.27694,49.58104,23.86653,
95.02046,49.2699,23.54778,
94.80328,48.99548,23.27806,
94.61206,48.75297,23.04551,
94.41502,48.50764,22.79263,
94.25592,48.30532,22.60062,
94.07682,48.10043,22.39892,
93.90522,47.90057,22.19857,
93.71982,47.69446,22.00653,
93.55022,47.50499,21.8141,
93.35905,47.29526,21.60171,
93.18212,47.09272,21.41081,
93.00935,46.89784,21.22138,
92.839,46.70009,21.03165,
92.67054,46.50695,20.84381,
92.49776,46.30929,20.65891,
92.32581,46.1102,20.46804,
92.14574,45.90359,20.27089,
91.96452,45.69891,20.07306,
91.79033,45.50993,19.89209,
91.61359,45.3134,19.70787,
91.45422,45.13428,19.54089,
91.29662,44.95244,19.37345,
91.16197,44.79378,19.24141,
91.01993,44.62399,19.09029,
90.87281,44.45626,18.94134,
90.73293,44.30061,18.81004,
90.6069,44.15541,18.67745,
90.493,44.02808,18.56572,
90.38072,43.90649,18.46614,
90.26999,43.7848,18.35859,
90.17467,43.67671,18.26439,
90.0754,43.56348,18.17567,
89.97822,43.45119,18.07474,
89.88502,43.35384,17.99298,
89.79565,43.26692,17.91328,
89.71607,43.19088,17.84152,
89.63428,43.11622,17.77125,
89.56242,43.05752,17.72324,
89.48388,42.9863,17.65925,
89.3958,42.91275,17.5926,
89.32023,42.8514,17.54195,
89.23662,42.78075,17.48831,
89.157,42.7168,17.43184,
89.098,42.67513,17.39815,
89.03499,42.62485,17.35929,
88.979,42.5848,17.32493,
88.93095,42.54034,17.30336,
88.85739,42.47046,17.24323,
88.78639,42.39275,17.18246,
88.70084,42.30361,17.09682,
88.62165,42.21512,17.02018,
88.53252,42.12354,16.92345,
88.41799,42.01352,16.81669,
88.27142,41.86972,16.67665,
88.11857,41.7087,16.5276,
87.94419,41.52842,16.36419,
87.77167,41.33735,16.18655,
87.59066,41.1354,16.00659,
87.4143,40.93505,15.82323,
