user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.1041339,1.547045,-3.876983,2.05678,0,0,0,0,
-0.1041339,1.547045,-3.876983,2.05678,0,0,0,0,
-0.1021211,1.547045,-1.132864,0.8586719,0.9249476,0.4850311,-1.3825,1.123422,
-0.1447664,1.555149,-1.132761,0.8583802,0.9247833,0.4849699,-1.382555,1.123081,
-0.1473139,1.553671,-1.132654,0.8583393,0.9248301,0.4850452,-1.382548,1.123141,
-0.1471507,1.553143,-1.132635,0.8583364,0.9248166,0.4850557,-1.382587,1.12313,
-0.1468582,1.552586,-1.132612,0.8583261,0.9248174,0.4850068,-1.382673,1.123086,
-0.1452299,1.550715,-1.132887,0.8582088,0.9246783,0.4849627,-1.383044,1.123055,
-0.1424083,1.549162,-1.132955,0.8582911,0.924646,0.4851358,-1.383243,1.122932,
-0.1417436,1.549378,-1.132963,0.8582915,0.9246459,0.485142,-1.383203,1.122933,
-0.1402856,1.549118,-1.132772,0.8585846,0.9245758,0.485188,-1.3832,1.122489,
-0.1054289,1.551843,-1.132773,0.8586669,0.9245484,0.4851768,-1.383209,1.122546,
-0.1039642,1.551726,-1.132786,0.8586715,0.9246026,0.4852629,-1.38323,1.122447,
-0.1024242,1.551724,-1.132791,0.8586898,0.9247389,0.4852376,-1.383172,1.122432,
-0.1008866,1.551779,-1.132668,0.8586928,0.9246989,0.4855273,-1.382915,1.122628,
-0.09691649,1.552063,-1.132652,0.8588858,0.9248044,0.4856339,-1.38282,1.122531,
-0.09683932,1.552008,-1.132793,0.8588697,0.9246724,0.4856038,-1.382788,1.12276,
-0.09542052,1.55201,-1.1328,0.8588769,0.9247128,0.4856472,-1.382702,1.122586,
-0.09383541,1.551939,-1.132818,0.8588785,0.9248407,0.4856846,-1.382671,1.122586,
-0.09231257,1.551711,-1.132661,0.8586023,0.9249029,0.4852641,-1.382398,1.122701,
-0.0908381,1.551682,-1.132661,0.8585793,0.9248054,0.4852109,-1.382255,1.122729,
-0.08938226,1.55149,-1.132651,0.8585677,0.9251137,0.4851871,-1.382084,1.122658,
-0.08792061,1.551242,-1.132447,0.8585136,0.9251437,0.4852936,-1.381783,1.122837,
-0.08650209,1.551066,-1.132431,0.8584934,0.9249502,0.4852591,-1.381548,1.122926,
-0.08503048,1.550789,-1.132406,0.858467,0.9249694,0.4852567,-1.381388,1.122882,
-0.08359451,1.550474,-1.132584,0.8584725,0.924842,0.4852624,-1.381297,1.123003,
-0.08193877,1.550016,-1.132577,0.8584719,0.9247987,0.4852672,-1.38121,1.122828,
-0.08027597,1.549684,-1.132572,0.8584262,0.9248468,0.4852173,-1.381135,1.122752,
-0.07872604,1.549318,-1.132518,0.8583393,0.9248486,0.485126,-1.38103,1.122729,
-0.07706992,1.548823,-1.132504,0.8583002,0.9246957,0.4850309,-1.381057,1.122505,
-0.07543287,1.548376,-1.132426,0.8581883,0.9249591,0.4850023,-1.381019,1.122455,
-0.07365448,1.547963,-1.132413,0.8581773,0.9249636,0.4850166,-1.380975,1.122552,
-0.07186125,1.547671,-1.132382,0.8582239,0.9250914,0.4850075,-1.380985,1.12248,
