chair to collider angle,table to collider angle,audience to collider angle,


111.8383,83.32718,111.8383,
111.8383,83.32718,111.8383,
125.7086,137.4236,53.92121,
117.3211,103.6692,21.38536,
116.4474,98.53854,16.15636,
116.3283,98.03353,15.66384,
116.2117,97.55507,15.19341,
116.0932,97.06115,14.72732,
115.9586,96.58501,14.2818,
115.8073,96.12518,13.86073,
115.6403,95.65346,13.45163,
115.4661,95.1711,13.03695,
115.0157,94.71674,12.67021,
113.5724,89.19355,8.044837,
113.5567,88.9705,7.815047,
113.5399,88.87268,7.713247,
113.5011,88.62264,7.447953,
113.5696,88.57067,7.297562,
113.5802,88.61961,7.331709,
113.5875,88.59026,7.275564,
113.5618,88.56876,7.265444,
113.5366,88.55851,7.268279,
113.5162,88.5591,7.277317,
113.4808,88.55542,7.297239,
113.4563,88.56792,7.323086,
113.4137,88.55677,7.34318,
113.3791,88.55339,7.363113,
113.3478,88.56523,7.38695,
113.3377,88.57569,7.391571,
113.3472,88.59118,7.382141,
113.3557,88.60036,7.357408,
113.3856,88.61908,7.323193,
113.4222,88.63437,7.2861,
113.4557,88.64285,7.237143,
113.4578,88.64958,7.221756,
113.452,88.64946,7.211834,
113.443,88.64514,7.20394,
113.426,88.64092,7.199173,
113.4153,88.63474,7.188318,
113.4043,88.62465,7.169436,
113.405,88.6172,7.140893,
113.4146,88.61098,7.109202,
113.4152,88.62506,7.106028,
113.4107,88.62678,7.101389,
113.3959,88.64959,7.131629,
113.3634,88.6752,7.179006,
113.3193,88.70789,7.247004,
113.2748,88.74358,7.31971,
113.2426,88.78649,7.384586,
113.214,88.84496,7.461824,
113.1841,88.88641,7.529341,
113.1594,88.94491,7.604033,
113.1128,88.99264,7.691972,
113.0517,89.03101,7.784875,
112.9811,89.06369,7.887398,
112.9107,89.10138,7.988417,
112.8419,89.13848,8.090366,
112.7776,89.17858,8.184053,
112.7068,89.21223,8.280861,
112.6291,89.24429,8.386795,
112.5519,89.27828,8.483736,
112.4676,89.30601,8.583298,
112.3911,89.34206,8.690929,
112.3244,89.35897,8.766093,
112.28,89.38736,8.825879,
112.2324,89.40587,8.881219,
112.2052,89.44234,8.931821,
112.1669,89.46042,8.972378,
112.1261,89.46867,9.009047,
112.0849,89.48653,9.057704,
112.0417,89.49493,9.091871,
111.9974,89.50338,9.132026,
111.9646,89.50798,9.156931,
111.949,89.51994,9.169326,
111.9663,89.52779,9.142133,
111.9754,89.54915,9.134671,
111.9874,89.56419,9.122639,
111.9639,89.57355,9.138048,
111.9297,89.58065,9.168319,
111.8824,89.58104,9.202356,
111.8247,89.59621,9.262404,
111.7502,89.61144,9.333763,
111.6636,89.60979,9.401992,
111.6072,89.62323,9.458664,
111.58,89.64421,9.493906,
111.5228,89.64612,9.541327,
111.4464,89.67028,9.626472,
111.3672,89.69546,9.726861,
111.2753,89.72335,9.837912,
111.1887,89.76143,9.954474,
111.1347,89.80497,10.04167,
111.0783,89.86736,10.14687,
111.0225,89.92358,10.24726,
110.99,89.9838,10.31422,
110.9481,90.05248,10.39826,
110.9546,90.13689,10.45907,
111.0118,90.2431,10.48864,
111.063,90.33336,10.50927,
111.1216,90.45177,10.5493,
