user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.008974977,1.56284,-3.876983,2.05678,0,0,0,0,
-0.008974977,1.56284,-3.876983,2.05678,0,0,0,0,
-0.008968566,1.56285,-1.316754,0.865926,0.6165705,0.2364995,-1.710047,1.130779,
-0.03193169,1.539911,-1.316581,0.8658297,0.6171476,0.229353,-1.711993,1.129378,
-0.0321627,1.540061,-1.31675,0.8658217,0.61719,0.2287195,-1.711959,1.129232,
-0.03211732,1.540246,-1.316748,0.8658229,0.6172371,0.2280686,-1.712046,1.12895,
-0.0320491,1.540248,-1.316753,0.8658408,0.6172909,0.2274182,-1.711916,1.129076,
-0.03188067,1.540061,-1.316878,0.8656547,0.6173446,0.2267683,-1.711911,1.128823,
-0.03173344,1.540151,-1.316898,0.8656505,0.6173971,0.2261362,-1.711923,1.128475,
-0.03143629,1.540104,-1.316633,0.8656471,0.6174507,0.2254937,-1.711663,1.128632,
-0.03121811,1.540094,-1.316612,0.8657218,0.6175059,0.2248297,-1.711697,1.128172,
-0.03097597,1.540082,-1.316638,0.8657298,0.6175729,0.2241879,-1.711448,1.128295,
-0.03072014,1.540008,-1.316822,0.8657231,0.6184552,0.2117288,-1.711462,1.126747,
-0.02074216,1.541377,-1.316674,0.8656385,0.6185274,0.2103949,-1.711759,1.126478,
-0.01965962,1.54176,-1.316808,0.865599,0.6185626,0.2097268,-1.711827,1.126413,
-0.0190069,1.541863,-1.316779,0.8658062,0.6185981,0.2090743,-1.711989,1.12615,
-0.01718803,1.542324,-1.316776,0.8659734,0.6186892,0.2070894,-1.711838,1.126343,
-0.01586664,1.542402,-1.316902,0.8658397,0.6187307,0.2057602,-1.711972,1.126141,
-0.0158018,1.542454,-1.316885,0.8656646,0.6187171,0.2057588,-1.712002,1.126064,
-0.01508551,1.542621,-1.31691,0.8656852,0.6187301,0.2050977,-1.712228,1.125768,
-0.01440098,1.54273,-1.316866,0.8656635,0.6187596,0.2044408,-1.712184,1.125876,
-0.01369955,1.542815,-1.316889,0.8656601,0.6187786,0.203774,-1.712245,1.125928,
-0.01297541,1.542869,-1.316884,0.8657393,0.618801,0.2031095,-1.712462,1.125725,
-0.01224234,1.542978,-1.316878,0.8657384,0.6188291,0.2024527,-1.712494,1.125799,
-0.01138385,1.543088,-1.316856,0.8657656,0.6188492,0.2017925,-1.712641,1.125773,
-0.01068714,1.543201,-1.31686,0.8656776,0.6188633,0.201118,-1.712653,1.125835,
-0.009907341,1.543192,-1.316862,0.8656499,0.6188885,0.20046,-1.712719,1.125659,
-0.009227218,1.543311,-1.316719,0.8656324,0.6189003,0.1997886,-1.712622,1.125732,
-0.008543101,1.54339,-1.316708,0.8656114,0.6189119,0.1991272,-1.712564,1.125699,
-0.007796154,1.543409,-1.316731,0.8655999,0.6189259,0.1984363,-1.71272,1.125389,
-0.007226737,1.543714,-1.316845,0.8655912,0.6189471,0.1977613,-1.712645,1.125416,
-0.006545791,1.543845,-1.316828,0.8657264,0.6189562,0.1970882,-1.712761,1.125332,
-0.005849106,1.543906,-1.316819,0.8657322,0.6189717,0.1964238,-1.71295,1.125136,
