pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.561457,3.869334,1.561457,0,4.507173,0,
1.561457,3.869334,1.561457,0,4.507173,0,
1.908932,2.011457,2.06151,1.478748,2.11882,2.437179,
1.910563,2.058292,2.063489,1.780663,2.186942,2.089095,
1.909868,2.058806,2.062186,1.78047,2.18686,2.088275,
1.909971,2.058842,2.059796,1.780627,2.186934,2.086869,
1.909843,2.058945,2.058546,1.78051,2.187121,2.086333,
1.909935,2.058942,2.053633,1.780509,2.186864,2.083431,
1.910033,2.059237,2.052281,1.779852,2.186602,2.083078,
1.910407,2.059525,2.051992,1.780164,2.186936,2.082881,
1.910158,2.059662,2.065332,1.773623,2.193642,2.115242,
1.911022,2.061543,2.066283,1.773573,2.193866,2.117869,
1.911122,2.06153,2.068879,1.773505,2.19405,2.121112,
1.911104,2.06161,2.070167,1.773474,2.194336,2.12341,
1.911209,2.06164,2.072481,1.773641,2.194502,2.126336,
1.911225,2.061612,2.075341,1.773784,2.194689,2.129701,
1.911455,2.061562,2.077307,1.773871,2.194652,2.132503,
1.911524,2.061754,2.08004,1.774029,2.194965,2.135935,
1.911658,2.061679,2.083147,1.774166,2.195062,2.139683,
1.911932,2.061702,2.084837,1.774472,2.19531,2.142517,
1.911985,2.061714,2.08788,1.774536,2.19555,2.146435,
1.91213,2.061607,2.091221,1.774684,2.195672,2.150594,
1.912276,2.061521,2.093805,1.775028,2.195866,2.154281,
1.912477,2.061384,2.096754,1.775425,2.195779,2.158034,
1.912657,2.061273,2.100693,1.775566,2.195805,2.162982,
1.912819,2.061127,2.103665,1.776042,2.195976,2.167002,
1.913168,2.060992,2.107304,1.77651,2.195882,2.171613,
1.913383,2.060867,2.111706,1.776667,2.195719,2.176849,
1.913538,2.0609,2.114785,1.777071,2.195889,2.181021,
1.91367,2.060571,2.118717,1.777266,2.195584,2.185872,
1.913768,2.060404,2.123606,1.777321,2.195455,2.191571,
1.91413,2.060342,2.127007,1.777328,2.195264,2.196317,
1.914314,2.060169,2.132187,1.777139,2.195079,2.202539,
1.914439,2.060095,2.136172,1.777178,2.194945,2.207651,
1.914723,2.060004,2.140961,1.777733,2.194861,2.213397,
1.914868,2.059888,2.146843,1.777578,2.194452,2.22005,
1.915071,2.059778,2.150947,1.777787,2.194132,2.225287,
1.915209,2.059844,2.156025,1.778255,2.194183,2.23133,
1.915191,2.059781,2.161238,1.778208,2.193991,2.237609,
1.915202,2.059695,2.166669,1.778278,2.193848,2.244103,
1.915029,2.059562,2.17127,1.778237,2.193819,2.250347,
1.914888,2.059424,2.17713,1.777829,2.193635,2.257408,
1.914726,2.059366,2.182489,1.777596,2.193772,2.264256,
1.914729,2.059265,2.188035,1.777662,2.193765,2.271107,
1.914639,2.059254,2.194045,1.777208,2.193616,2.278229,
1.914577,2.059214,2.199477,1.777345,2.193498,2.284553,
1.914491,2.059044,2.203832,1.778166,2.193673,2.289947,
1.914407,2.059008,2.208533,1.778324,2.193379,2.295143,
1.914325,2.058963,2.212857,1.778679,2.193113,2.299763,
1.914514,2.058978,2.216224,1.779466,2.193194,2.303654,
