chair to collider angle,table to collider angle,audience to collider angle,


98.79082,36.80163,98.79082,
98.79082,36.80163,98.79082,
144.915,79.61781,35.23125,
132.2838,119.0767,77.16354,
132.2129,119.0796,77.28981,
132.2256,119.0573,77.40979,
132.2165,119.0364,77.50897,
132.1962,118.9633,77.83676,
132.2214,118.9247,78.05437,
132.2122,118.9336,78.08609,
132.1656,118.9294,81.15453,
131.6944,117.5334,79.87611,
131.6767,117.3899,79.88682,
131.6823,117.2231,79.92287,
131.6877,117.0501,79.92812,
131.7009,116.8726,79.90413,
131.7195,116.7079,79.92397,
131.7591,116.5385,79.94228,
131.823,116.3603,79.93113,
131.8784,116.1764,79.97051,
131.9191,115.9893,79.9827,
131.9803,115.7831,79.95284,
132.0204,115.5666,79.95069,
132.0636,115.3624,79.95013,
132.1212,115.1679,79.96312,
132.1833,114.9926,80.01125,
132.2746,114.812,80.05788,
132.3585,114.6445,80.09977,
132.4445,114.4714,80.18076,
132.5198,114.2908,80.24472,
132.5984,114.1367,80.2922,
132.6767,113.9757,80.39719,
132.7335,113.8383,80.48186,
132.7893,113.7222,80.62103,
132.8413,113.6221,80.76925,
132.8619,113.5415,80.89413,
132.8649,113.4686,81.08479,
132.8518,113.4016,81.25664,
132.8202,113.3439,81.43507,
132.7894,113.2866,81.60959,
132.6881,113.2634,81.84415,
132.5985,113.243,82.04102,
132.515,113.2272,82.2399,
132.4187,113.2261,82.44875,
132.2995,113.2428,82.64987,
132.1638,113.2828,82.89222,
132.0484,113.3148,83.14858,
131.9368,113.3497,83.3659,
131.8031,113.3895,83.59664,
131.6631,113.4254,83.83013,
131.509,113.4442,84.0164,
131.3375,113.4444,84.21613,
131.1371,113.4437,84.39782,
130.916,113.4284,84.54562,
130.7054,113.3835,84.65856,
130.4777,113.3144,84.72929,
130.2487,113.2466,84.80159,
130.0034,113.1541,84.85072,
129.744,113.0465,84.86902,
129.4783,112.9172,84.87115,
129.2003,112.7476,84.84478,
128.9282,112.5788,84.83798,
128.6463,112.3844,84.77531,
128.3742,112.1821,84.73389,
128.1271,111.978,84.66166,
127.8796,111.7679,84.56476,
127.6369,111.5394,84.45132,
127.3785,111.2918,84.33775,
127.0996,111.0565,84.20636,
126.8246,110.7907,84.05816,
126.6078,110.5292,83.90837,
126.4251,110.2988,83.77325,
126.2888,110.0712,83.63248,
126.1788,109.846,83.49174,
126.1017,109.6284,83.34367,
126.0137,109.4013,83.18366,
125.9298,109.164,83.02259,
125.8464,108.9212,82.8477,
125.7561,108.6735,82.65163,
125.6716,108.4048,82.43893,
125.5918,108.1537,82.23829,
125.5031,107.8995,82.04144,
125.4085,107.6182,81.79044,
125.2893,107.3295,81.54469,
125.1329,107.0496,81.31667,
124.9524,106.7471,81.0638,
124.7423,106.4253,80.79196,
124.4891,106.0842,80.50304,
124.2089,105.7176,80.19324,
123.8925,105.3353,79.88107,
123.5357,104.9206,79.52915,
123.2004,104.4797,79.16209,
122.8593,104.015,78.77435,
122.5295,103.5448,78.38888,
122.1825,103.0493,78.0135,
121.8523,102.582,77.65574,
121.6388,102.1147,77.28645,
121.5359,101.6972,76.92933,
121.5254,101.3206,76.57726,
