chair to collider angle,table to collider angle,audience to collider angle,


95.17545,67.49927,95.17545,
95.17545,67.49927,95.17545,
95.18826,67.50989,95.18826,
101.8016,69.21008,101.8016,
101.92,69.85496,101.92,
101.9559,70.01527,101.9559,
101.9474,70.09604,101.9474,
101.9583,70.29408,101.9583,
102.0157,70.32928,102.0157,
102.032,70.74428,102.032,
102.0468,70.79062,102.0468,
102.068,70.82238,102.068,
102.106,70.85817,102.106,
102.1261,70.89418,102.1261,
102.1525,70.94046,102.1525,
102.2106,70.98623,102.2106,
102.2625,71.0589,102.2625,
102.3007,71.14878,102.3007,
102.3529,71.25674,102.3529,
102.4027,71.39101,102.4027,
102.4654,71.58766,102.4654,
102.5272,71.81789,102.5272,
102.5889,72.1403,102.5889,
102.6547,72.49883,102.6547,
102.7371,72.93955,102.7371,
102.844,73.37055,102.844,
102.9603,73.81667,102.9603,
103.0538,74.26591,103.0538,
103.1824,74.73373,103.1824,
103.3271,75.17262,103.3271,
103.4814,75.61568,103.4814,
103.6025,76.06454,103.6025,
103.7494,76.48248,103.7494,
103.9024,76.89763,103.9024,
104.0699,77.28128,104.0699,
104.2341,77.65176,104.2341,
104.3905,78.019,104.3905,
104.5439,78.37785,104.5439,
104.6882,78.70156,104.6882,
104.8106,79.03516,104.8106,
104.918,79.35605,104.918,
105.0237,79.67821,105.0237,
105.0774,80.03253,105.0774,
105.1513,80.36288,105.1513,
105.2066,80.72651,105.2066,
105.2572,81.11265,105.2572,
105.2446,81.54823,105.2446,
105.2634,81.95007,105.2634,
105.2784,82.38722,105.2784,
105.2716,82.85277,105.2716,
105.2806,83.31554,105.2806,
105.3099,83.76018,105.3099,
105.3806,84.17141,105.3806,
105.479,84.5867,105.479,
105.5978,85.01029,105.5978,
105.7439,85.42552,105.7439,
105.9071,85.85347,105.9071,
106.0724,86.26176,106.0724,
106.2539,86.66924,106.2539,
106.4564,87.04409,106.4564,
106.6028,87.34579,106.6028,
106.811,87.68067,106.811,
107.0359,87.94142,107.0359,
107.519,88.41897,107.519,
107.7836,88.63812,107.7836,
108.0429,88.79263,108.0429,
108.3044,88.9784,108.3044,
108.5858,89.1011,108.5858,
108.8316,89.15974,108.8316,
109.0964,89.23026,109.0964,
109.331,89.2712,109.331,
109.5599,89.28086,109.5599,
109.7872,89.26015,109.7872,
109.9845,89.23524,109.9845,
110.18,89.19996,110.18,
110.386,89.17194,110.386,
110.5842,89.16125,110.5842,
110.7421,89.15053,110.7421,
110.9044,89.16396,110.9044,
111.0332,89.16989,111.0332,
111.1143,89.19949,111.1143,
111.1705,89.23662,111.1705,
111.2165,89.28178,111.2165,
111.234,89.33075,111.234,
111.2527,89.37997,111.2527,
111.2682,89.40597,111.2682,
111.2892,89.4291,111.2892,
111.284,89.43804,111.284,
111.2607,89.43991,111.2607,
111.2419,89.46275,111.2419,
111.2581,89.44376,111.2581,
111.2707,89.41895,111.2707,
111.3011,89.39741,111.3011,
111.3608,89.32219,111.3608,
111.4412,89.17873,111.4412,
111.544,88.96465,111.544,
111.6876,88.71973,111.6876,
111.8653,88.41501,111.8653,
112.0983,88.07196,112.0983,
112.3243,87.74309,112.3243,
112.5686,87.41663,112.5686,
