pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.811701,2.333014,2.811701,0,4.507173,0,
2.811701,2.333014,2.811701,0,4.507173,0,
1.888458,0.8522891,2.946431,1.179303,2.633198,3.2969,
1.803302,1.347079,2.471249,1.647545,0.8025878,2.364185,
1.798524,1.369464,2.439345,1.649414,0.8080382,2.349511,
1.798146,1.374523,2.417558,1.651792,0.8208594,2.322685,
1.798402,1.377962,2.406607,1.653129,0.826075,2.30878,
1.799501,1.386593,2.375473,1.655409,0.8436406,2.271361,
1.801279,1.392966,2.355227,1.655666,0.8587452,2.243516,
1.801824,1.393576,2.230488,1.646546,0.94625,2.057784,
1.831917,1.456882,2.175502,1.648091,0.9504153,2.049761,
1.833789,1.45902,2.168876,1.651025,0.9549114,2.041618,
1.835601,1.46102,2.162457,1.653383,0.9593493,2.033513,
1.837463,1.462995,2.155941,1.656324,0.9634039,2.025483,
1.839655,1.465078,2.149416,1.658947,0.9673395,2.017853,
1.84191,1.466978,2.142789,1.662138,0.9708655,2.010444,
1.844328,1.468902,2.137161,1.665725,0.9746836,2.015829,
1.846909,1.470836,2.130229,1.66979,0.9785089,2.008598,
1.849491,1.4726,2.122501,1.673067,0.981793,2.000003,
1.852221,1.474492,2.115844,1.676351,0.9845546,1.992869,
1.855175,1.476466,2.108997,1.679622,0.9871033,1.987245,
1.858289,1.478354,2.101993,1.681366,0.9874018,1.983666,
1.860964,1.48,2.095647,1.683194,0.9887107,1.978988,
1.863935,1.481514,2.089096,1.684469,0.9892299,1.975998,
1.866875,1.48314,2.082458,1.685168,0.989284,1.972947,
1.869815,1.48458,2.076359,1.685568,0.9892424,1.970851,
1.872859,1.486199,2.070973,1.686105,0.9899254,1.969106,
1.876093,1.487945,2.064801,1.68401,0.99067,1.966848,
1.879062,1.489646,2.059209,1.683013,0.991335,1.964634,
1.882468,1.491578,2.053507,1.681951,0.9928564,1.962584,
1.88602,1.493751,2.04793,1.680904,0.9941566,1.960285,
1.889612,1.496083,2.04267,1.679929,0.9957353,1.958225,
1.893816,1.498924,2.03752,1.679872,0.9989592,1.955154,
1.898593,1.502376,2.032205,1.680104,1.003897,1.950294,
1.902633,1.505068,2.027036,1.681841,1.011287,1.942814,
1.906756,1.507597,2.021887,1.683232,1.018008,1.936725,
1.911087,1.510479,2.016773,1.684442,1.023862,1.931101,
1.915523,1.513372,2.012438,1.688077,1.032075,1.923625,
1.920321,1.516642,2.007517,1.690468,1.039353,1.917389,
1.925423,1.520264,2.002689,1.693991,1.047671,1.909336,
1.929971,1.52351,1.9984,1.697427,1.055234,1.90232,
1.934942,1.526842,1.994131,1.702034,1.064197,1.894514,
1.939947,1.530524,1.989909,1.706229,1.071496,1.887529,
1.94451,1.533893,1.986011,1.711035,1.079682,1.880132,
1.949356,1.537334,1.98172,1.715883,1.087987,1.872656,
1.954128,1.541151,1.977457,1.721107,1.095437,1.864856,
1.958791,1.54461,1.973577,1.727258,1.103494,1.857061,
1.963682,1.54818,1.969335,1.733125,1.111445,1.850072,
1.968719,1.551569,1.965096,1.739082,1.11818,1.843279,
1.973416,1.554829,1.9613,1.744528,1.125182,1.837054,
