user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-2.249193,1.585452,-3.876983,2.05678,0,0,0,0,
-2.249193,1.585452,-3.876983,2.05678,0,0,0,0,
-2.253026,1.584625,-2.293426,0.8375386,-0.7450885,0.46696,-2.260234,0.801338,
-1.825132,1.737908,-2.292777,0.8387426,-0.7453269,0.466923,-2.237592,0.8465277,
-1.804986,1.732914,-2.293905,0.8371487,-0.7451911,0.4668865,-2.23703,0.8508508,
-1.800647,1.732266,-2.292508,0.8387306,-0.7451966,0.4669662,-2.236424,0.8595343,
-1.798766,1.732128,-2.293735,0.8373064,-0.7451214,0.466964,-2.236279,0.863428,
-1.793082,1.732388,-2.292042,0.8391138,-0.7451098,0.467037,-2.235898,0.875169,
-1.790057,1.733465,-2.291917,0.8393254,-0.7450842,0.4672241,-2.236061,0.8830235,
-1.790371,1.733778,-2.292666,0.838401,-0.7451056,0.4672873,-2.229415,0.9600455,
-1.771664,1.751757,-2.292576,0.8384702,-0.7451587,0.467267,-2.227786,0.9631797,
-1.772027,1.752404,-2.292518,0.838529,-0.7451689,0.4672143,-2.226553,0.9661108,
-1.772495,1.752999,-2.292608,0.8385503,-0.7451853,0.467191,-2.225099,0.9686507,
-1.772956,1.753664,-2.29257,0.8385952,-0.7451895,0.4671504,-2.223885,0.9712203,
-1.773787,1.754404,-2.292461,0.83866,-0.7451639,0.4671943,-2.223059,0.9736227,
-1.774799,1.755038,-2.29247,0.8386276,-0.7450742,0.4671803,-2.221602,0.9762161,
-1.776064,1.75573,-2.292434,0.8387061,-0.7450899,0.467175,-2.204643,0.9986038,
-1.77748,1.756432,-2.292324,0.8388772,-0.7450767,0.4672551,-2.202988,1.00194,
-1.779129,1.756982,-2.292367,0.8388276,-0.745074,0.4672334,-2.206581,1.005096,
-1.78078,1.757735,-2.292303,0.8389043,-0.7450851,0.4672403,-2.20548,1.005448,
-1.782674,1.758425,-2.292145,0.8390589,-0.7450765,0.4673002,-2.203733,1.007682,
-1.784883,1.758993,-2.292166,0.8390048,-0.7450825,0.4672794,-2.202979,1.009917,
-1.786794,1.759476,-2.292103,0.8390574,-0.7449768,0.4673529,-2.202223,1.010871,
-1.789157,1.759776,-2.291904,0.839303,-0.7449623,0.4673676,-2.201183,1.012771,
-1.791646,1.759907,-2.292021,0.8392045,-0.7450633,0.4673755,-2.200394,1.013603,
-1.794112,1.759994,-2.291952,0.8392854,-0.7450552,0.4673631,-2.199346,1.014745,
-1.796705,1.76003,-2.29173,0.8394773,-0.745057,0.4674318,-2.199059,1.015632,
-1.799481,1.759976,-2.291888,0.8393054,-0.745118,0.4674063,-2.198642,1.016481,
-1.801869,1.76002,-2.291825,0.8393779,-0.7451102,0.4674311,-2.198176,1.016652,
-1.804584,1.760058,-2.291553,0.8396481,-0.7451366,0.4673171,-2.197874,1.017501,
-1.807349,1.760166,-2.291661,0.8394361,-0.7451303,0.467315,-2.198195,1.01793,
-1.809896,1.760579,-2.291593,0.8394885,-0.7451324,0.4673281,-2.198553,1.018803,
-1.812634,1.761362,-2.291276,0.8398074,-0.7451457,0.4673014,-2.198958,1.01965,
