pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.860103,3.628693,1.860103,0,4.507173,0,
1.860103,3.628693,1.860103,0,4.507173,0,
2.111967,2.818597,2.409544,0.9838989,2.642006,3.088204,
2.165041,2.636763,2.308868,4.237865,3.949784,1.011661,
2.167843,2.642648,2.307453,4.237724,3.949675,1.016613,
2.167619,2.642531,2.305435,4.237701,3.949654,1.016186,
2.167572,2.642453,2.305143,4.237666,3.949451,1.018365,
2.166993,2.642135,2.303602,4.237414,3.949202,1.022533,
2.167321,2.642287,2.29003,4.237701,3.949532,1.010414,
2.163308,2.63527,2.288745,4.237824,3.949683,1.009111,
2.163504,2.634403,2.286752,4.237817,3.949543,1.008494,
2.163157,2.633659,2.286004,4.237871,3.949597,1.007971,
2.163623,2.632424,2.28263,4.237964,3.94951,1.00594,
2.163488,2.63096,2.279978,4.238284,3.949794,1.00486,
2.163566,2.630846,2.279792,4.23794,3.94932,1.004959,
2.163251,2.630064,2.278425,4.237947,3.949495,1.00422,
2.16371,2.629644,2.276849,4.237977,3.949608,1.004411,
2.163907,2.628905,2.275821,4.23797,3.949601,1.004127,
2.163761,2.627826,2.274231,4.237969,3.949574,1.003309,
2.164129,2.627041,2.272808,4.237936,3.949524,1.003303,
2.16444,2.626139,2.2713,4.237953,3.949513,1.003139,
2.164257,2.625053,2.270204,4.237921,3.949541,1.002965,
2.164646,2.623968,2.267969,4.237801,3.949705,1.002285,
2.164998,2.622664,2.266257,4.237768,3.949752,1.002494,
2.165175,2.620999,2.264619,4.237782,3.94979,1.002375,
2.165617,2.619417,2.262268,4.237783,3.949658,1.001705,
2.166068,2.61748,2.260437,4.237689,3.949503,1.001862,
2.16632,2.615279,2.25864,4.237679,3.94948,1.001816,
2.166798,2.613166,2.256342,4.237714,3.949417,1.001234,
2.170652,2.613783,2.252972,4.237707,3.949384,1.001225,
2.171048,2.611476,2.250595,4.237705,3.949317,1.000848,
2.171908,2.608633,2.248054,4.237739,3.949318,1.00154,
2.171499,2.605808,2.246323,4.237668,3.949241,1.001805,
2.171938,2.603598,2.243817,4.237739,3.949322,1.001578,
2.171877,2.601576,2.242169,4.237945,3.949724,1.002071,
2.171134,2.598435,2.240499,4.237976,3.94967,1.002314,
2.171355,2.596219,2.238561,4.238055,3.94972,1.002568,
2.170911,2.594523,2.237078,4.237889,3.949647,1.002781,
2.169969,2.591524,2.235653,4.23789,3.949659,1.003108,
2.169866,2.589263,2.23381,4.237884,3.949726,1.003627,
2.169583,2.587398,2.232279,4.237977,3.949945,1.004195,
2.168621,2.584629,2.230877,4.237978,3.949953,1.004829,
2.168404,2.582482,2.229017,4.237967,3.949989,1.0057,
2.168079,2.580695,2.227298,4.237901,3.94969,1.006148,
2.167286,2.57831,2.225822,4.237943,3.949625,1.006984,
2.167091,2.576653,2.223657,4.237968,3.949641,1.007401,
2.166693,2.57518,2.222121,4.237928,3.949679,1.008625,
2.166377,2.573791,2.220498,4.237895,3.949664,1.009726,
2.166053,2.572394,2.218782,4.237899,3.949628,1.010624,
2.165648,2.571528,2.217095,4.237795,3.949554,1.011573,
