chair to collider angle,table to collider angle,audience to collider angle,


100.6966,56.11761,100.6966,
100.6966,56.11761,100.6966,
128.4942,92.43475,22.58302,
146.388,125.7508,53.70457,
145.6696,126.1629,54.07414,
145.6737,126.0593,53.93821,
145.6539,125.9948,53.96033,
145.5608,125.8328,53.91544,
145.4889,125.7932,53.48429,
144.189,124.5746,51.56426,
143.9185,124.1638,50.98389,
143.7954,123.913,50.64864,
143.412,123.1847,49.64515,
143.1626,122.5622,48.83117,
143.1288,122.511,48.77388,
142.9544,122.1742,48.31315,
142.7338,121.8092,47.84167,
142.5391,121.4275,47.36086,
142.3753,121.0041,46.8205,
142.2297,120.5543,46.29333,
142.1285,120.0392,45.70583,
142.0491,119.4646,45.07009,
142.0332,118.8252,44.34922,
142.0841,118.0552,43.55889,
142.1828,117.1808,42.67264,
142.3305,116.1821,41.66613,
142.5365,115.0093,40.54716,
142.7019,113.838,39.4179,
142.888,112.5652,38.19647,
143.0315,111.3708,37.10727,
143.1777,110.0801,35.89966,
143.2622,108.8175,34.74005,
143.309,107.5368,33.57463,
143.3065,106.2491,32.39264,
143.2691,104.9544,31.24807,
143.1865,103.6607,30.09856,
143.0488,102.4018,28.9973,
142.8528,101.1501,27.92261,
142.672,99.93517,26.89326,
142.4223,98.76616,25.90563,
142.1403,97.61806,24.9535,
141.8292,96.5186,24.03839,
141.4947,95.49551,23.19712,
141.156,94.46879,22.38824,
140.8248,93.58895,21.67857,
140.4655,92.76973,20.99134,
140.1288,92.04074,20.41289,
139.805,91.40146,19.89244,
139.5043,90.84696,19.42386,
139.2346,90.37772,19.01843,
139.0041,89.97705,18.69268,
138.8027,89.66106,18.41088,
138.6525,89.43945,18.1773,
138.4719,89.19927,17.96472,
138.3393,89.04851,17.80655,
138.1783,88.84927,17.62185,
138.0466,88.71638,17.48967,
137.9262,88.58452,17.34194,
137.8056,88.43961,17.23167,
137.6697,88.29554,17.10234,
137.5534,88.16415,16.96602,
137.4397,88.03967,16.86132,
137.2982,87.9129,16.7345,
137.1878,87.79086,16.60301,
137.0892,87.66983,16.52614,
136.9998,87.52716,16.44932,
136.9597,87.42135,16.39253,
136.9308,87.29708,16.38206,
136.8846,87.17334,16.3481,
136.8792,87.08733,16.35264,
136.8916,87.01619,16.38299,
136.8941,86.96189,16.41643,
136.9117,86.95112,16.4393,
136.957,86.95042,16.53913,
137.004,86.98071,16.64015,
137.0931,87.02942,16.75549,
137.2188,87.13748,16.9631,
137.3242,87.24082,17.13554,
137.4563,87.37545,17.34427,
137.6055,87.53634,17.55283,
137.7457,87.72901,17.77561,
137.884,87.9324,17.97454,
138.0218,88.15415,18.23215,
138.1518,88.38646,18.45712,
138.2508,88.62443,18.64188,
138.3392,88.86472,18.86018,
138.4045,89.09446,19.04334,
138.4762,89.34367,19.22471,
138.5408,89.56113,19.44501,
138.5929,89.77705,19.63863,
138.6404,89.98161,19.82201,
138.7085,90.18362,20.04906,
138.7843,90.39613,20.2716,
138.8722,90.5745,20.48671,
138.9819,90.75398,20.74504,
139.0889,90.93311,20.98425,
139.2176,91.10405,21.23685,
139.3668,91.25585,21.51538,
139.5012,91.37643,21.7583,
139.626,91.45643,21.97145,
