pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.121088,2.936249,2.121088,0,4.507173,0,
2.121088,2.936249,2.121088,0,4.507173,0,
2.103788,2.447716,1.876014,1.196084,2.642258,3.188157,
1.957872,2.495411,2.263666,1.196136,2.642263,3.220803,
1.955344,2.499986,2.281886,1.196399,2.642235,3.226586,
1.955365,2.500082,2.284681,1.196455,2.642299,3.228425,
1.955688,2.50032,2.286803,1.196507,2.642291,3.230101,
1.955632,2.500037,2.318156,1.196994,2.642182,3.260331,
1.959492,2.502398,2.307508,1.19683,2.642138,3.262634,
1.960919,2.503365,2.306349,1.19684,2.642116,3.263537,
1.961865,2.50394,2.306245,1.196678,2.642144,3.264604,
1.964911,2.505625,2.305734,1.196809,2.642221,3.267734,
1.968059,2.507157,2.305199,1.196662,2.642276,3.269245,
1.96868,2.507437,2.304964,1.196652,2.642259,3.268878,
1.970989,2.508509,2.304193,1.1965,2.642224,3.269821,
1.972974,2.509217,2.301167,1.196545,2.64219,3.271361,
1.975153,2.510222,2.300258,1.196439,2.642163,3.272231,
1.977609,2.51125,2.300073,1.196204,2.64214,3.273104,
1.979769,2.512052,2.298495,1.19623,2.64215,3.273663,
1.982272,2.51301,2.297319,1.196579,2.64217,3.274148,
1.984677,2.513984,2.296083,1.19649,2.642247,3.274779,
1.987224,2.514956,2.294071,1.196533,2.64229,3.275567,
1.989723,2.515961,2.292659,1.196541,2.642285,3.276284,
1.992221,2.51685,2.29115,1.196371,2.642266,3.276791,
1.994798,2.517725,2.288974,1.196417,2.6423,3.276944,
1.997553,2.51869,2.288389,1.196439,2.642285,3.276789,
2.000501,2.51965,2.286531,1.196189,2.642261,3.277012,
2.003265,2.520378,2.284346,1.196087,2.642089,3.277608,
2.005995,2.521026,2.282734,1.196132,2.642014,3.278099,
2.008685,2.5218,2.281489,1.195898,2.642154,3.278652,
2.011244,2.522133,2.279478,1.19622,2.642111,3.27882,
2.013586,2.522448,2.277767,1.196257,2.642174,3.278623,
2.015841,2.522624,2.275899,1.196055,2.64214,3.278494,
2.017584,2.522586,2.274099,1.196017,2.642171,3.278276,
2.0194,2.522558,2.272346,1.196049,2.642154,3.2784,
2.020822,2.522283,2.270431,1.195805,2.642233,3.278285,
2.022046,2.521952,2.267667,1.195815,2.642272,3.278048,
2.023278,2.521578,2.26436,1.195827,2.642291,3.27685,
2.024559,2.521424,2.262204,1.195668,2.64237,3.275863,
2.025623,2.521061,2.258692,1.19602,2.64236,3.27446,
2.026718,2.520839,2.255531,1.196059,2.64233,3.273154,
2.028014,2.520954,2.253803,1.195652,2.642319,3.271468,
2.029075,2.520958,2.250119,1.195658,2.642188,3.269558,
2.030107,2.521051,2.246946,1.19568,2.642196,3.267998,
2.031162,2.521487,2.245645,1.195368,2.642195,3.266223,
2.032159,2.521904,2.241607,1.195735,2.642127,3.264444,
2.033016,2.522305,2.238352,1.195752,2.642151,3.26244,
2.033641,2.523048,2.234737,1.195681,2.642275,3.260157,
2.03441,2.52399,2.231413,1.195616,2.642565,3.25814,
2.035144,2.524893,2.227703,1.195498,2.642604,3.255887,
