chair to collider angle,table to collider angle,audience to collider angle,


90.94171,98.11158,90.94171,
90.94171,98.11158,90.94171,
120.1154,129.762,52.03394,
141.3752,142.1767,62.4597,
140.4557,145.978,66.77478,
140.4006,146.1915,66.98563,
140.3107,146.3552,67.1333,
140.0754,147.0398,66.91451,
134.878,148.7739,70.51914,
134.2177,148.7971,70.83491,
133.9213,148.8462,70.9782,
133.1892,149.0487,71.48333,
132.9681,149.302,71.7962,
133.1279,149.3657,71.75464,
133.1595,149.4904,71.82236,
133.2256,149.6046,71.73763,
133.3357,149.7105,71.74054,
133.4922,149.8053,71.72129,
133.6861,149.8939,71.61108,
133.9258,149.9579,71.48999,
134.1482,149.987,71.32143,
134.4057,150.0078,71.0912,
134.7511,150.0589,70.88673,
135.1786,150.1268,70.67148,
135.7061,150.2112,70.41478,
136.3933,150.3495,70.25018,
137.1716,150.5277,70.03343,
138.0909,150.7661,69.81321,
139.1733,151.0447,69.64501,
140.2386,151.2868,69.4623,
141.2961,151.5229,69.30629,
142.3009,151.6884,69.16766,
143.2194,151.7893,69.01144,
144.055,151.8303,68.85238,
144.7847,151.8135,68.67851,
145.3681,151.7136,68.46155,
145.8524,151.5613,68.17117,
146.2007,151.3454,67.84558,
146.4485,151.1158,67.56573,
146.5506,150.8778,67.2299,
146.604,150.6814,66.95326,
146.4413,150.531,66.82054,
146.1954,150.4391,66.65626,
145.8608,150.3941,66.56081,
145.3205,150.4307,66.67042,
144.7121,150.5836,66.78275,
144.0892,150.7715,66.98972,
143.2878,151.0501,67.33658,
142.3848,151.3265,67.74759,
141.3622,151.6022,68.20523,
140.1758,151.8412,68.74994,
138.898,152.0446,69.37278,
137.4418,152.1449,70.03703,
135.828,152.1637,70.81325,
134.0725,152.0767,71.71584,
132.1701,151.8665,72.69557,
130.0661,151.4705,73.87011,
127.8637,150.8794,75.16101,
125.5598,150.0916,76.47604,
123.1394,149.0612,77.8914,
120.7633,147.8817,79.28732,
118.1743,146.4341,80.77562,
115.5341,144.7991,82.28009,
112.8923,143.0216,83.77688,
110.0536,140.987,85.29334,
107.2101,138.822,86.73991,
104.4125,136.5863,88.06469,
101.6901,134.3309,89.27021,
99.03529,132.0959,90.45679,
96.5116,129.948,91.59135,
94.13103,127.8946,92.64906,
91.98669,126.049,93.63001,
89.9849,124.3236,94.57935,
88.07025,122.6656,95.51153,
86.45869,121.3057,96.39069,
84.9334,120.0509,97.31513,
83.61658,118.9816,98.21136,
82.40925,118.0114,99.06606,
81.23174,117.0484,99.90508,
80.09718,116.1155,100.694,
79.02852,115.2558,101.4578,
78.0131,114.448,102.2694,
76.98825,113.6404,103.1005,
76.05054,112.9321,103.9692,
75.18024,112.288,104.8715,
74.38309,111.7238,105.8167,
73.72375,111.3028,106.7963,
73.08974,110.8997,107.8228,
72.45578,110.4923,108.8558,
71.92568,110.1931,109.9612,
71.4221,109.9044,111.0829,
70.96667,109.6471,112.1597,
70.539,109.4029,113.2042,
70.17704,109.2022,114.197,
69.78443,108.9517,115.1385,
69.42725,108.7206,116.0062,
69.07039,108.4697,116.8574,
68.67728,108.1752,117.6445,
68.28154,107.8612,118.4032,
67.86876,107.5261,119.1039,
